cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.481373764983412,District,district
cost_total,0.4496104509316264,District,district
daily_one_minus_load_factor_average,1.3114817223475743,District,district
daily_peak_average,0.8395762501067912,District,district
discomfort_cold_delta_average,0.08557922840118408,District,district
discomfort_cold_delta_maximum,5.2283172607421875,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.016667189996720466,District,district
discomfort_hot_delta_average,6.510799739978932,District,district
discomfort_hot_delta_maximum,14.043733596801758,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9127402080593107,District,district
discomfort_proportion,0.9294073980560311,District,district
electricity_consumption_total,0.48530188745685443,District,district
monthly_one_minus_load_factor_average,1.1114737029213544,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.153219215915824,District,district
zero_net_energy,0.4195105933701564,District,district
electricity_consumption_total,0.45960869794323356,Building_1,building
zero_net_energy,0.3527801525132555,Building_1,building
carbon_emissions_total,0.45967602114659184,Building_1,building
cost_total,0.43106734604606045,Building_1,building
discomfort_proportion,0.9018232819074333,Building_1,building
discomfort_cold_proportion,0.04067321178120617,Building_1,building
discomfort_hot_proportion,0.8611500701262272,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,8.949954986572266,Building_1,building
discomfort_cold_delta_average,0.22231005562676323,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,14.934734344482422,Building_1,building
discomfort_hot_delta_average,6.956628770298428,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.4573406977462843,Building_2,building
zero_net_energy,0.41816196856248955,Building_2,building
carbon_emissions_total,0.4513826404317496,Building_2,building
cost_total,0.4156700549386315,Building_2,building
discomfort_proportion,0.9496268656716418,Building_2,building
discomfort_cold_proportion,0.009328358208955223,Building_2,building
discomfort_hot_proportion,0.9402985074626866,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,4.958457946777344,Building_2,building
discomfort_cold_delta_average,0.02855944103664822,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.35700798034668,Building_2,building
discomfort_hot_delta_average,6.0795822832319475,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5389562666810453,Building_3,building
zero_net_energy,0.487589659034724,Building_3,building
carbon_emissions_total,0.5330626333718946,Building_3,building
cost_total,0.5020939518101871,Building_3,building
discomfort_proportion,0.9367720465890182,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9367720465890182,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,1.7765388488769531,Building_3,building
discomfort_cold_delta_average,0.005868188540140788,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,12.839458465576172,Building_3,building
discomfort_hot_delta_average,6.496188166406419,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
