cost_function,value,name,level
all_time_peak_average,0.9471629819912722,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.5716854964109426,District,district
cost_total,0.5295926081687475,District,district
daily_one_minus_load_factor_average,1.2864087986817896,District,district
daily_peak_average,0.9127978673622048,District,district
discomfort_cold_delta_average,0.14627302840903952,District,district
discomfort_cold_delta_maximum,6.361186345418294,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.028940530758031654,District,district
discomfort_hot_delta_average,3.7859219657050236,District,district
discomfort_hot_delta_maximum,12.533404668172201,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.7475161342104101,District,district
discomfort_proportion,0.7764566649684418,District,district
electricity_consumption_total,0.5776021457806917,District,district
monthly_one_minus_load_factor_average,1.1028872862710437,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.3290269583600802,District,district
zero_net_energy,0.5107803844307136,District,district
electricity_consumption_total,0.5625483653031864,Building_1,building
zero_net_energy,0.46541607760330184,Building_1,building
carbon_emissions_total,0.5599047111159764,Building_1,building
cost_total,0.5182480268384899,Building_1,building
discomfort_proportion,0.7433380084151473,Building_1,building
discomfort_cold_proportion,0.061711079943899017,Building_1,building
discomfort_hot_proportion,0.6816269284712483,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,9.395814895629883,Building_1,building
discomfort_cold_delta_average,0.30396098295847573,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,11.778806686401367,Building_1,building
discomfort_hot_delta_average,3.7950903362698023,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.541836438574785,Building_2,building
zero_net_energy,0.4918622065321742,Building_2,building
carbon_emissions_total,0.5316968154953455,Building_2,building
cost_total,0.49044076595379504,Building_2,building
discomfort_proportion,0.7723880597014925,Building_2,building
discomfort_cold_proportion,0.016791044776119403,Building_2,building
discomfort_hot_proportion,0.7555970149253731,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,6.529544830322266,Building_2,building
discomfort_cold_delta_average,0.09300210740831164,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.538969039916992,Building_2,building
discomfort_hot_delta_average,3.864234113693237,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.6284216334641036,Building_3,building
zero_net_energy,0.5750628691566648,Building_3,building
carbon_emissions_total,0.6234549626215057,Building_3,building
cost_total,0.5800890317139576,Building_3,building
discomfort_proportion,0.8136439267886856,Building_3,building
discomfort_cold_proportion,0.008319467554076539,Building_3,building
discomfort_hot_proportion,0.8053244592346089,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,3.1581993103027344,Building_3,building
discomfort_cold_delta_average,0.041855994860331217,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,11.282438278198242,Building_3,building
discomfort_hot_delta_average,3.6984414471520317,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
