cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.48378029651157267,District,district
cost_total,0.4507065568844623,District,district
daily_one_minus_load_factor_average,1.3083270438559083,District,district
daily_peak_average,0.8078751782177033,District,district
discomfort_cold_delta_average,0.07535039495538783,District,district
discomfort_cold_delta_maximum,6.46747366587321,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.014170905640102432,District,district
discomfort_hot_delta_average,6.935690116882324,District,district
discomfort_hot_delta_maximum,14.931472778320312,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9176576834087816,District,district
discomfort_proportion,0.9318285890488841,District,district
electricity_consumption_total,0.4853077704005879,District,district
monthly_one_minus_load_factor_average,1.1141073275474607,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.1518810334954537,District,district
zero_net_energy,0.4133194415459854,District,district
electricity_consumption_total,0.42766543888936004,Building_1,building
zero_net_energy,0.305046183113902,Building_1,building
carbon_emissions_total,0.4265343339777698,Building_1,building
cost_total,0.3991441938727543,Building_1,building
discomfort_proportion,0.9242636746143057,Building_1,building
discomfort_cold_proportion,0.029453015427769985,Building_1,building
discomfort_hot_proportion,0.8948106591865358,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,8.441373825073242,Building_1,building
discomfort_cold_delta_average,0.16308079957962035,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.776634216308594,Building_1,building
discomfort_hot_delta_average,8.183435265223185,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.4692663135230841,Building_2,building
zero_net_energy,0.4286759811200032,Building_2,building
carbon_emissions_total,0.4665264335567464,Building_2,building
cost_total,0.4352045226383834,Building_2,building
discomfort_proportion,0.9477611940298507,Building_2,building
discomfort_cold_proportion,0.013059701492537313,Building_2,building
discomfort_hot_proportion,0.9347014925373134,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,9.710087776184082,Building_2,building
discomfort_cold_delta_average,0.05768617391586304,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.336385726928711,Building_2,building
discomfort_hot_delta_average,6.089451220300463,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5589915587893197,Building_3,building
zero_net_energy,0.5062361604040508,Building_3,building
carbon_emissions_total,0.5582801220002017,Building_3,building
cost_total,0.5177709541422493,Building_3,building
discomfort_proportion,0.9234608985024958,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9234608985024958,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,1.2509593963623047,Building_3,building
discomfort_cold_delta_average,0.005284211370680067,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.681398391723633,Building_3,building
discomfort_hot_delta_average,6.534183865123325,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
