episode,episode_reward,epsilon
1,-6600.403265594759,0.9704455335485082
2,-6558.212192993431,0.9417645335842487
3,-6407.901066069817,0.9139311852712282
4,-6456.869520623701,0.8869204367171575
5,-6330.533620374288,0.8607079764250578
6,-6151.036575813195,0.835270211411272
7,-6398.792757023223,0.8105842459701871
8,-6186.124956202692,0.7866278610665535
9,-6112.382879782056,0.7633794943368531
10,-6282.141848252002,0.7408182206817179
11,-6152.3561323891245,0.7189237334319262
12,-6228.765233788582,0.697676326071031
13,-5995.878449023,0.6770568744981647
14,-6076.471527821058,0.6570468198150567
15,-6082.963429789831,0.6376281516217733
16,-6038.430653991317,0.6187833918061408
17,-6174.257036979916,0.6004955788122659
18,-6017.726566367636,0.5827482523739896
19,-5957.347775120263,0.5655254386995371
20,-5976.55925457405,0.5488116360940265
21,-5776.920089161921,0.5325918010068972
22,-5923.019057955567,0.5168513344916993
23,-5679.80552426456,0.5015760690660556
24,-5862.204285515479,0.4867522559599717
25,-5829.700421027159,0.4723665527410147
26,-5589.400835406991,0.4584060113052235
27,-5711.341096773467,0.44485806622294116
28,-5687.634896864674,0.43171052342907973
29,-5572.216699390009,0.418951549247639
30,-5625.2509492397085,0.40656965974059917
31,-5825.7441897535355,0.39455371037160114
32,-5931.636185791953,0.38289288597511206
33,-5420.601831469876,0.3715766910220457
34,-5551.935044176713,0.3605949401730783
35,-5733.913351377242,0.3499377491111553
36,-5437.845878055012,0.3395955256449391
37,-5687.273404797034,0.3295589610751891
38,-5695.284741535596,0.31981902181630395
39,-5578.087562775567,0.31036694126548503
40,-5709.177991519475,0.30119421191220214
41,-5673.657141587334,0.2922925776808594
42,-5732.782048553479,0.2836540264997704
43,-5397.274945602503,0.27527078308975234
44,-5566.495617376973,0.2671353019658504
45,-5572.324534986698,0.3392402606458916
46,-5781.633739692323,0.2515785530597565
47,-5544.386384280901,0.2441432831534371
48,-5393.756505858555,0.23692775868212176
49,-5675.887362378479,0.22992548518672384
50,-5435.215046002222,0.22313016014842982
51,-5431.363970584839,0.21653566731600707
52,-5229.156093093772,0.21013607120076472
53,-5589.8809564620915,0.20392561173421347
54,-5349.226699133297,0.1978986990836147
55,-5515.857904111987,0.19204990862075413
56,-5430.385323588572,0.18637397603940997
57,-5281.747678766857,0.1808657926171221
58,-5554.365951207707,0.17552040061699686
59,-5392.253947271629,0.17033298882540943
60,-5483.19790172897,0.16529888822158656
61,-5391.856089974798,0.1604135677751728
62,-5454.731402037421,0.23567263036799735
63,-5659.963435744391,0.15107180883637086
64,-5432.579991090216,0.14660696213035015
65,-5607.7662866959745,0.1422740715865136
66,-5349.22001879917,0.13806923731089282
67,-5475.283296461428,0.13398867466880499
68,-5301.689980188806,0.1300287108784259
69,-5351.109917363677,0.12618578170503877
70,-5200.917478835645,0.1224564282529819
71,-5333.65453686515,0.11883729385240965
72,-5347.7177109996455,0.11532512103806251
73,-5215.415501881503,0.11191674861732888
74,-5396.060502819724,0.10860910882495801
75,-5512.777548045757,0.10539922456186433
76,-5343.341452803168,0.10228420671553748
77,-5622.852505678039,0.09926125155964566
78,-5364.477495717896,0.09632763823049303
79,-5171.498541423803,0.09348072627805847
80,-5105.566024027452,0.09071795328941251
81,-5547.300238015108,0.1680368325823726
82,-5475.522173282245,0.08543495096732123
83,-5432.103045754841,0.0829099665751727
84,-5220.054830666482,0.08045960674953244
85,-5433.577313503968,0.07808166600115317
86,-5027.870414669889,0.07577400402284548
87,-5548.472048033153,0.0735345437630571
88,-5316.950450872419,0.07136126955638608
89,-5609.91593455238,0.149252225309346
90,-5253.623738941164,0.06720551273974978
91,-5141.779484114426,0.06521928966812753
92,-5375.4052541203755,0.06329176835964073
93,-5384.843173293737,0.06142121391500013
94,-5319.761298902618,0.05960594270893937
95,-5308.513023153521,0.057844320874838456
96,-5381.407138431613,0.056134762834133725
97,-5250.918604052565,0.13447572986918988
98,-5489.969490224339,0.05286572873835037
99,-5460.447087075134,0.051303310331919136
100,-5287.041925087904,0.05
101,-5037.3523879574,0.05
102,-5093.567155305579,0.05
103,-5250.03708975068,0.05
104,-5471.4030746873,0.05
105,-5333.4334055095105,0.05
106,-5435.7854847190165,0.05
107,-5176.824842613063,0.05
108,-5337.372269709627,0.05
109,-5383.813772007988,0.05
110,-5229.525505865895,0.05
111,-5410.481952606142,0.13
112,-5480.780606562861,0.05
113,-5195.600651334601,0.05
114,-5372.821807618293,0.05
115,-5261.915073308208,0.05
116,-5105.109903867601,0.05
117,-5045.111229499954,0.05
118,-5074.444344401308,0.05
119,-5117.159432355413,0.05
120,-5341.138174683741,0.05
121,-5080.46925680659,0.05
122,-5129.847728482438,0.05
123,-5491.751294527069,0.05
124,-5289.033376164588,0.05
125,-4967.929789641664,0.05
126,-5209.9126451254015,0.05
127,-5264.241799595061,0.13
128,-5379.750461588875,0.05
129,-5086.8629452618325,0.05
130,-5098.559482616711,0.05
131,-5261.300964660997,0.05
132,-5601.761585544245,0.05
133,-5250.422425356148,0.05
134,-5185.201464223693,0.05
135,-5013.780635431064,0.13
136,-5129.190827769165,0.05
137,-5202.071762221541,0.05
138,-5108.174871244484,0.05
139,-5029.1552774350275,0.05
140,-5301.932399510104,0.05
141,-5418.723793333017,0.05
142,-5164.5400057596335,0.05
143,-5313.287315148489,0.05
144,-5291.449170232159,0.05
145,-5055.583699182186,0.05
146,-5086.876491262491,0.05
147,-5136.540131439318,0.13
148,-5357.525602909843,0.05
149,-5186.6416419979,0.05
150,-5237.22480496574,0.05
151,-5117.070140904917,0.05
152,-5317.444935704827,0.05
153,-5203.583997188828,0.05
154,-5181.601689245272,0.05
155,-5026.692654601861,0.13
156,-5220.2038424842,0.05
157,-5309.474371579605,0.05
158,-4968.627411499777,0.05
159,-5072.269434052802,0.05
160,-5000.573171134829,0.05
161,-5032.550308058311,0.05
162,-5253.850981011325,0.05
163,-5019.85097818233,0.05
164,-5202.863228343322,0.05
165,-5129.485886482399,0.05
166,-5062.913701170714,0.05
167,-5325.806085654219,0.05
168,-5204.975203412536,0.05
169,-5585.097014264397,0.05
170,-5012.9719420596,0.13
171,-5297.50109850193,0.05
172,-5027.977714123569,0.05
173,-4867.204885082802,0.05
174,-5022.121547045708,0.05
175,-4895.301183916658,0.05
176,-5099.74529282437,0.05
177,-4992.460350549939,0.05
178,-5206.295952423938,0.05
179,-5194.689153001176,0.05
180,-5037.863110764733,0.05
181,-4939.899368708833,0.05
182,-5308.222441668981,0.05
183,-5108.341590145137,0.05
184,-5054.976591884394,0.05
185,-5139.091740741055,0.13
186,-5451.798901824216,0.05
187,-5233.016324086186,0.05
188,-4975.866112510746,0.05
189,-4918.9425677806275,0.05
190,-4862.85439848449,0.05
191,-5146.274152024286,0.05
192,-5087.609348070273,0.05
193,-4822.595420824648,0.05
194,-5153.463559090833,0.05
195,-5188.082011346608,0.05
