episode,episode_reward,epsilon
1,-15238.018371193088,0.9704455335485082
2,-15628.343622793405,0.9417645335842487
3,-15265.161761196921,0.9139311852712282
4,-15045.400819060955,0.8869204367171575
5,-14845.617986020898,0.8607079764250578
6,-13953.86987483193,0.835270211411272
7,-15233.177042116531,0.8105842459701871
8,-14527.570599795203,0.7866278610665535
9,-14284.249436881528,0.7633794943368531
10,-14033.378654868331,0.7408182206817179
11,-13746.32002818949,0.7189237334319262
12,-13405.50586742413,0.697676326071031
13,-13608.57246987071,0.6770568744981647
14,-13711.553250740551,0.6570468198150567
15,-13515.78027885652,0.6376281516217733
16,-12971.944018606362,0.6187833918061408
17,-13064.069836066705,0.6004955788122659
18,-12386.992319324843,0.5827482523739896
19,-12675.046144888449,0.5655254386995371
20,-12549.05894090615,0.5488116360940265
21,-11347.931994542669,0.5325918010068972
22,-12005.256503945391,0.5168513344916993
23,-11182.140040456638,0.5015760690660556
24,-11837.776050336513,0.4867522559599717
25,-10796.725836077916,0.4723665527410147
26,-10118.929198896765,0.4584060113052235
27,-10858.94483496662,0.44485806622294116
28,-10633.267419723605,0.43171052342907973
29,-10848.50886194076,0.418951549247639
30,-10219.01963413874,0.40656965974059917
31,-10854.582168413814,0.39455371037160114
32,-9935.0777052403,0.38289288597511206
33,-9868.684694583048,0.3715766910220457
34,-10193.778570112996,0.3605949401730783
35,-9156.324605788664,0.3499377491111553
36,-9683.237047474708,0.3395955256449391
37,-9599.458415954807,0.3295589610751891
38,-9086.675661077858,0.31981902181630395
39,-8449.356418903591,0.31036694126548503
40,-8990.492324589504,0.30119421191220214
41,-8563.643212847388,0.2922925776808594
42,-9175.270698549019,0.2836540264997704
43,-8449.56234985611,0.27527078308975234
44,-8337.770757271173,0.2671353019658504
45,-8479.765050580307,0.25924026064589156
46,-8536.484059416358,0.2515785530597565
47,-8411.946983274293,0.2441432831534371
48,-7896.5221248366415,0.23692775868212176
49,-8259.073505652954,0.22992548518672384
50,-7519.69191718605,0.22313016014842982
51,-7861.171848026064,0.21653566731600707
52,-7796.427337708358,0.21013607120076472
53,-7603.609763100909,0.20392561173421347
54,-7974.753333995169,0.1978986990836147
55,-7470.514106404414,0.19204990862075413
56,-7876.4600892579,0.18637397603940997
57,-7392.703384511799,0.1808657926171221
58,-7339.455903515293,0.17552040061699686
59,-6876.30662682793,0.17033298882540943
60,-6687.31502445508,0.16529888822158656
61,-7241.447932119696,0.1604135677751728
62,-7839.122286840126,0.15567263036799733
63,-6656.270507581957,0.15107180883637086
64,-6961.399443320173,0.14660696213035015
65,-6785.823924207008,0.1422740715865136
66,-6441.136819063069,0.13806923731089282
67,-6802.173401776467,0.13398867466880499
68,-6707.692178283887,0.1300287108784259
69,-6939.833521319319,0.12618578170503877
70,-6253.34554530657,0.1224564282529819
71,-6572.343642161443,0.11883729385240965
72,-7408.831344425813,0.11532512103806251
73,-6507.8678638676265,0.11191674861732888
74,-6176.006457564631,0.10860910882495801
75,-6650.508786050035,0.10539922456186433
76,-6411.998584359546,0.10228420671553748
77,-5698.80051865727,0.09926125155964566
78,-5803.117829431052,0.09632763823049303
79,-5955.999488078,0.09348072627805847
80,-6151.820437208327,0.09071795328941251
81,-5845.5265623431305,0.08803683258237259
82,-6213.652714292647,0.08543495096732123
83,-6146.150878836378,0.0829099665751727
84,-6459.5131281896565,0.08045960674953244
85,-6548.718950588264,0.07808166600115317
86,-7485.204723368692,0.07577400402284548
87,-6571.845723500121,0.0735345437630571
88,-6866.201802663408,0.07136126955638608
89,-5947.73408158776,0.149252225309346
90,-7304.593664025597,0.06720551273974978
91,-6311.482530160901,0.06521928966812753
92,-6638.64900180632,0.06329176835964073
93,-5446.0983125063285,0.06142121391500013
94,-5320.887242783647,0.05960594270893937
95,-4966.6425353140685,0.057844320874838456
96,-4581.544001661341,0.056134762834133725
97,-4641.872233444599,0.05447572986918988
98,-5325.603916480433,0.05286572873835037
99,-4805.86760802724,0.051303310331919136
100,-5054.227039942263,0.05
101,-6109.05272732091,0.05
102,-5331.784769982114,0.05
103,-5288.185514003602,0.05
104,-4449.113748993361,0.05
105,-4711.454156656612,0.05
106,-4876.346902864953,0.05
107,-4832.225105862013,0.05
108,-5070.901564212578,0.05
109,-5843.1262650057415,0.05
110,-4767.797328071854,0.05
111,-5464.732613151526,0.05
112,-4437.5689588222485,0.05
113,-4950.935060646159,0.05
114,-4561.96034425323,0.05
115,-4745.762083408477,0.05
116,-4780.570768478814,0.05
117,-4322.7604398379335,0.05
118,-5493.477537472456,0.05
119,-4317.24139263339,0.05
120,-4723.068692183754,0.05
121,-5372.403084502176,0.05
122,-4696.226450600923,0.05
123,-4256.858211938976,0.05
124,-4374.108944109537,0.05
125,-4710.662951252712,0.13
126,-6074.848977223096,0.05
127,-4607.910005436139,0.05
128,-4659.18857804057,0.05
129,-4589.710930612078,0.05
130,-4197.0943420794465,0.05
131,-4544.468295388469,0.05
132,-4143.117900477553,0.05
