episode,episode_reward,epsilon
1,-6323.531375616789,0.9704455335485082
2,-6315.928657591343,0.9417645335842487
3,-6262.346273437142,0.9139311852712282
4,-6224.143765538931,0.8869204367171575
5,-6200.638145416975,0.8607079764250578
6,-5975.121788829565,0.835270211411272
7,-6244.623331487179,0.8105842459701871
8,-6109.2210678635165,0.7866278610665535
9,-6051.141300223768,0.7633794943368531
10,-5917.966915376484,0.7408182206817179
11,-5872.735052468255,0.7189237334319262
12,-5818.048822074197,0.697676326071031
13,-5843.77989207115,0.6770568744981647
14,-5913.1587230134755,0.6570468198150567
15,-5810.428580929525,0.6376281516217733
16,-5697.332651368517,0.6187833918061408
17,-5639.427698098123,0.6004955788122659
18,-5549.593698896468,0.5827482523739896
19,-5552.171622149646,0.5655254386995371
20,-5541.28675413318,0.5488116360940265
21,-5322.530072844587,0.5325918010068972
22,-5556.435008596629,0.5168513344916993
23,-5232.250864595175,0.5015760690660556
24,-5307.375484094955,0.4867522559599717
25,-5161.769951169379,0.4723665527410147
26,-4917.487118374556,0.4584060113052235
27,-4950.144434630871,0.44485806622294116
28,-5070.813903890783,0.43171052342907973
29,-4979.576129458845,0.418951549247639
30,-4900.672729285434,0.40656965974059917
31,-5008.813699092716,0.39455371037160114
32,-4842.1522580087185,0.38289288597511206
33,-4716.571330213221,0.3715766910220457
34,-4766.600532060955,0.3605949401730783
35,-4650.850657020899,0.3499377491111553
36,-4609.4407508648,0.3395955256449391
37,-4691.711337536573,0.3295589610751891
38,-4463.1755469371565,0.31981902181630395
39,-4355.960944046034,0.31036694126548503
40,-4567.32390589267,0.30119421191220214
41,-4439.72628806252,0.2922925776808594
42,-4573.673877177993,0.2836540264997704
43,-4210.921648394316,0.27527078308975234
44,-4200.891080659581,0.2671353019658504
45,-3943.297996874433,0.25924026064589156
46,-3977.2998086239677,0.2515785530597565
47,-4296.414431512356,0.2441432831534371
48,-4187.699814441847,0.23692775868212176
49,-4109.047243401408,0.22992548518672384
50,-4121.58835327276,0.22313016014842982
51,-3964.3913757498376,0.21653566731600707
52,-3969.4106843981426,0.21013607120076472
53,-3941.7601212514564,0.20392561173421347
54,-3900.2214500037953,0.1978986990836147
55,-3896.8290739422664,0.19204990862075413
56,-4023.809627560404,0.18637397603940997
57,-3677.3946152850986,0.1808657926171221
58,-3744.947808209341,0.17552040061699686
59,-3838.413174382411,0.17033298882540943
60,-3579.21253750287,0.16529888822158656
61,-3572.8392181657255,0.1604135677751728
62,-3480.4601277220063,0.15567263036799733
63,-3343.6923364510294,0.15107180883637086
64,-3384.719976643275,0.14660696213035015
65,-3424.8267027924303,0.1422740715865136
66,-3325.9356034595985,0.13806923731089282
67,-3398.607465716079,0.13398867466880499
68,-3689.321819265606,0.1300287108784259
69,-3747.2350412230007,0.12618578170503877
70,-3383.7185961073264,0.1224564282529819
71,-3274.3163319534506,0.11883729385240965
72,-3349.9017026522197,0.11532512103806251
73,-3198.3071894005407,0.11191674861732888
74,-2987.9561529147904,0.10860910882495801
75,-3206.710678525007,0.10539922456186433
76,-3165.644202714786,0.10228420671553748
77,-3029.871177432098,0.09926125155964566
78,-2946.904288551974,0.09632763823049303
79,-3119.9080105798785,0.09348072627805847
80,-3139.327035438502,0.09071795328941251
81,-3182.7445143053483,0.08803683258237259
82,-3369.797263822984,0.08543495096732123
83,-3247.6702500672545,0.0829099665751727
84,-2706.46263855719,0.08045960674953244
85,-2939.2527335856576,0.07808166600115317
86,-3078.9649815587327,0.15577400402284547
87,-3370.9169937777333,0.0735345437630571
88,-2934.823243201681,0.07136126955638608
89,-2852.3092996412597,0.069252225309346
90,-2820.307585758157,0.06720551273974978
91,-3005.3445690057706,0.06521928966812753
92,-2613.2839895691723,0.06329176835964073
93,-2727.828525153367,0.06142121391500013
94,-2564.4094570784364,0.05960594270893937
95,-2651.7927806286607,0.057844320874838456
96,-2738.4696612989064,0.056134762834133725
97,-3109.7266239689197,0.05447572986918988
98,-2577.0790360393876,0.05286572873835037
99,-3035.7791187015537,0.051303310331919136
100,-2500.751287530351,0.05
101,-2585.288269670913,0.05
102,-2627.267702789977,0.05
103,-2616.294746263651,0.05
104,-2706.388583054766,0.05
105,-2649.493116058089,0.05
106,-2446.70945319414,0.05
107,-2572.2128094495274,0.05
108,-2524.744417070877,0.05
109,-2612.3457726342604,0.05
110,-2639.0770799759193,0.05
111,-2541.8267711773224,0.05
112,-2686.231442209304,0.05
113,-2670.5789907022845,0.05
114,-2470.224790774897,0.05
115,-2559.4876273930713,0.05
116,-2858.3163609615876,0.05
117,-2776.067408027826,0.05
118,-2456.378432777943,0.13
119,-3095.8748873469885,0.05
120,-2772.7003043494187,0.05
121,-2585.2638636794873,0.05
122,-2541.0768306755926,0.05
123,-2536.178654369898,0.05
124,-2411.6908262923826,0.05
125,-2690.8163901048247,0.05
126,-2539.946843206184,0.05
127,-2364.655402617762,0.05
128,-2715.4533244094055,0.05
129,-2369.0932349548093,0.05
130,-2320.800636284752,0.05
131,-2271.167057166109,0.05
132,-2392.0619333928917,0.05
133,-2322.020386981545,0.05
134,-2347.8109335931367,0.05
135,-2604.059321497567,0.05
136,-2438.6307507112797,0.05
137,-2366.462485610915,0.05
138,-2346.9454940533906,0.05
139,-2291.273287257878,0.05
140,-2315.982458350947,0.05
141,-2458.3689748323523,0.05
142,-2286.6999621223367,0.13
143,-2883.6599081889726,0.05
144,-2360.510882026516,0.05
145,-2390.4128600393888,0.05
146,-2314.5839507093187,0.05
147,-2303.8395904274366,0.05
148,-2476.0511304624088,0.05
149,-2259.529298135778,0.05
150,-2221.455231454427,0.05
151,-2294.958016498218,0.05
152,-2430.371379010845,0.05
153,-2358.1884300780657,0.05
154,-2278.66454091802,0.05
155,-2312.6817023460753,0.05
156,-2283.5658967937343,0.05
157,-2229.587029915536,0.05
158,-2430.66070127298,0.05
159,-2277.569937613269,0.05
160,-2250.177169309405,0.05
161,-2223.893094431609,0.05
162,-2404.7292307938333,0.05
163,-2284.0286748295184,0.05
164,-2411.5269842091366,0.05
165,-2731.185047813924,0.05
166,-2975.7127930079296,0.05
167,-2745.220899180451,0.05
168,-2547.284585220914,0.05
169,-2621.7943119068805,0.13
170,-3228.7914833880495,0.05
171,-2856.6802757713012,0.05
172,-2415.564993235981,0.05
173,-2455.0145973069593,0.05
174,-2481.3483516284905,0.05
175,-2559.4345332763623,0.05
176,-2517.9603146817535,0.05
177,-2421.492887050059,0.13
178,-3156.9591188158374,0.05
179,-2813.581028514076,0.05
180,-2809.0300935981504,0.05
181,-2530.907580914907,0.05
182,-2387.618721450912,0.05
183,-2401.3193126644474,0.05
184,-2310.6773306350224,0.05
185,-2191.337406839477,0.13
186,-2820.0084144705907,0.05
187,-2376.752148350468,0.05
188,-2475.239510799758,0.05
189,-2542.693345975131,0.05
190,-2519.25640460031,0.05
191,-2382.6393006076105,0.05
192,-2401.5490699016955,0.05
193,-2657.6752074279357,0.13
194,-3069.133179246681,0.05
195,-2626.111980286194,0.05
196,-2545.8340508693364,0.05
197,-2492.90853229654,0.05
198,-2349.5322836395353,0.05
199,-2353.1298735635355,0.05
200,-2430.6047261569183,0.05
