episode,episode_reward,epsilon
1,-4289.664653629065,0.9704455335485082
2,-4311.097856551409,0.9417645335842487
3,-4112.047055184841,0.9139311852712282
4,-4084.753154538572,0.8869204367171575
5,-3988.9585344344378,0.8607079764250578
6,-3864.931924149394,0.835270211411272
7,-3962.405415598303,0.8105842459701871
8,-3888.839009948075,0.7866278610665535
9,-3738.1085851043463,0.7633794943368531
10,-3645.5716245770454,0.7408182206817179
11,-3656.7682158127427,0.7189237334319262
12,-3447.563409066759,0.697676326071031
13,-3464.2188904434443,0.6770568744981647
14,-3448.026917507872,0.6570468198150567
15,-3453.535203590989,0.6376281516217733
16,-3410.632380500436,0.6187833918061408
17,-3227.84040992707,0.6004955788122659
18,-3160.856999527663,0.5827482523739896
19,-3213.7490703612566,0.5655254386995371
20,-3167.432502657175,0.5488116360940265
21,-2907.6504791155457,0.5325918010068972
22,-3061.780374389142,0.5168513344916993
23,-2880.147855632007,0.5015760690660556
24,-2929.3439151272178,0.4867522559599717
25,-2901.313338983804,0.4723665527410147
26,-2711.963365426287,0.4584060113052235
27,-2786.7036486268044,0.44485806622294116
28,-2770.5044390987605,0.43171052342907973
29,-2744.988016113639,0.418951549247639
30,-2646.262079678476,0.40656965974059917
31,-2682.599336400628,0.39455371037160114
32,-2604.6871117204428,0.38289288597511206
33,-2546.541152773425,0.3715766910220457
34,-2573.9876919314265,0.3605949401730783
35,-2457.509403064847,0.3499377491111553
36,-2530.2763732858,0.3395955256449391
37,-2541.5018799602985,0.3295589610751891
38,-2377.861115222797,0.31981902181630395
39,-2331.4984468249604,0.31036694126548503
40,-2495.7806572057307,0.30119421191220214
41,-2404.2946029957384,0.2922925776808594
42,-2512.2211932931095,0.2836540264997704
43,-2293.3289567902684,0.27527078308975234
44,-2301.8613129779696,0.2671353019658504
45,-2213.573169182986,0.25924026064589156
46,-2266.972668595612,0.2515785530597565
47,-2234.3984972713515,0.2441432831534371
48,-2238.6023016078398,0.23692775868212176
49,-2191.2145843515173,0.22992548518672384
50,-2112.8559575323015,0.22313016014842982
51,-2133.6881449222565,0.21653566731600707
52,-2160.528757136315,0.21013607120076472
53,-2140.3918738923967,0.20392561173421347
54,-2063.936188397929,0.1978986990836147
55,-2150.467084798962,0.19204990862075413
56,-2279.5438754335046,0.18637397603940997
57,-2006.6698100138456,0.1808657926171221
58,-2049.5185711057857,0.17552040061699686
59,-2261.3491464033723,0.17033298882540943
60,-2030.6808738447726,0.16529888822158656
61,-2061.8086545001715,0.1604135677751728
62,-2023.616020529531,0.15567263036799733
63,-1931.6462293490767,0.15107180883637086
64,-1963.757303148508,0.14660696213035015
65,-1989.1100904056802,0.1422740715865136
66,-1942.4947636080906,0.13806923731089282
67,-1963.4261186122894,0.13398867466880499
68,-1903.741609858349,0.1300287108784259
69,-1823.187267696485,0.12618578170503877
70,-1827.261231187731,0.1224564282529819
71,-1841.3022298607975,0.11883729385240965
72,-1865.2364675784484,0.11532512103806251
73,-1804.475860494189,0.11191674861732888
74,-1821.7248729243875,0.10860910882495801
75,-1966.4032635875046,0.10539922456186433
76,-1815.3592958236113,0.10228420671553748
77,-1774.9421212784946,0.09926125155964566
78,-1755.8306977581233,0.09632763823049303
79,-1852.6946095135063,0.09348072627805847
80,-1731.027842846699,0.09071795328941251
81,-1777.421647905372,0.08803683258237259
82,-1906.6282018842176,0.08543495096732123
83,-1742.0478810984641,0.0829099665751727
84,-1738.711813127622,0.08045960674953244
85,-1773.1068497309461,0.07808166600115317
86,-1875.8097971174866,0.07577400402284548
87,-1753.1020522294566,0.0735345437630571
88,-1620.4235652703792,0.07136126955638608
89,-1568.5513892220333,0.069252225309346
90,-1610.708751115948,0.06720551273974978
91,-1642.705015949905,0.06521928966812753
92,-1709.074754294008,0.06329176835964073
93,-1887.5912082558498,0.06142121391500013
94,-1687.3068347172812,0.05960594270893937
95,-1612.3020456191152,0.057844320874838456
96,-1575.2593534272164,0.056134762834133725
97,-1705.422348701395,0.05447572986918988
98,-1625.8652736935765,0.05286572873835037
99,-1457.9361604275182,0.051303310331919136
100,-1530.873221328482,0.05
101,-1796.4637321922928,0.05
102,-1752.4978223200887,0.05
103,-1553.0821210369468,0.05
104,-1605.238270712085,0.05
105,-1577.9470404693857,0.05
106,-1640.2586682764813,0.05
107,-1467.3930877950042,0.05
108,-1521.1648589260876,0.05
109,-1488.6114986939356,0.05
110,-1489.1156105082482,0.05
111,-1505.538512208499,0.05
112,-1469.2339922422543,0.05
113,-1568.6954110721126,0.05
114,-1493.2178840143606,0.05
115,-1460.946574067697,0.05
116,-1477.8231453904882,0.05
117,-1546.3626753594726,0.05
118,-1557.3077202597633,0.05
119,-1507.1275686668232,0.05
120,-1574.588520088233,0.05
121,-1590.171506544575,0.05
122,-1458.8133212383837,0.05
123,-1508.6464132983238,0.05
124,-1604.8046619296074,0.13
125,-1707.8873677132651,0.05
126,-1402.0216916250065,0.05
127,-1428.8819227563217,0.05
128,-1351.6273231441155,0.05
129,-1396.1874347198755,0.05
130,-1546.2169691063464,0.05
131,-1452.8056117361411,0.05
132,-1407.3291385220364,0.05
133,-1427.7642876030877,0.05
134,-1506.5693742753938,0.05
135,-1436.34920708742,0.05
136,-1427.3931874940172,0.05
137,-1510.6123202024028,0.05
138,-1426.5683369347826,0.13
139,-1797.2442680429667,0.05
140,-1451.8397143688053,0.05
141,-1459.8508155951276,0.05
142,-1483.4456820534542,0.05
143,-1434.9014089750126,0.05
144,-1540.909055349417,0.05
145,-1567.229673428461,0.05
146,-1530.6011327998713,0.13
147,-1681.1607948001474,0.05
148,-1353.7369668232277,0.05
149,-1362.7905660839751,0.05
150,-1379.3233147552237,0.05
151,-1495.4257762487978,0.05
152,-1471.6802864642814,0.05
153,-1478.41221728269,0.05
154,-1652.9401482893154,0.05
155,-1532.4077531872317,0.05
156,-1540.592591656372,0.05
157,-1497.0149514693767,0.05
158,-1449.5316156502813,0.05
159,-1391.816289366223,0.05
160,-1372.2347625931725,0.13
161,-1576.4862031526864,0.05
162,-1379.8599676946178,0.05
163,-1377.231030171737,0.05
164,-1407.5110639156774,0.05
165,-1415.9297731146216,0.05
166,-1471.3544164011255,0.05
167,-1347.3261323655024,0.05
168,-1465.3573840456083,0.05
169,-1423.8077661478892,0.05
170,-1382.5240512909368,0.05
171,-1319.7171354992315,0.05
172,-1351.1679982291535,0.05
173,-1319.978944869712,0.05
174,-1339.9435274135321,0.05
175,-1440.2360634487122,0.05
176,-1306.377024174668,0.05
177,-1344.9407703382894,0.05
178,-1338.0640862407163,0.05
179,-1403.063823921606,0.05
180,-1419.272701070644,0.05
181,-1423.5349599067122,0.05
182,-1363.927803421393,0.13
183,-1600.244955864735,0.05
184,-1303.5668482603505,0.05
185,-1340.3415562352166,0.05
186,-1404.1789011480287,0.05
187,-1349.2851064866409,0.05
188,-1431.6921782428399,0.05
189,-1421.214775459841,0.05
190,-1371.6949836947024,0.13
191,-1625.734070315957,0.05
192,-1375.0394779713824,0.05
193,-1434.1488199653104,0.05
194,-1523.0825249422342,0.05
195,-1359.1502534719184,0.05
196,-1379.3291997406632,0.05
197,-1355.964898550883,0.05
198,-1339.7746497886255,0.13
199,-1730.9509029584005,0.05
200,-1369.4805502537638,0.05
