episode,episode_reward,epsilon
1,-4374.529267527163,0.9704455335485082
2,-4404.277432475123,0.9417645335842487
3,-4260.7128760102205,0.9139311852712282
4,-4223.32130771043,0.8869204367171575
5,-4141.521770553663,0.8607079764250578
6,-4019.6429752374534,0.835270211411272
7,-4148.256755573966,0.8105842459701871
8,-4072.7623033858836,0.7866278610665535
9,-3928.7838935360487,0.7633794943368531
10,-3856.250285066082,0.7408182206817179
11,-3875.5530992363347,0.7189237334319262
12,-3718.8651007839944,0.697676326071031
13,-3715.9135169154033,0.6770568744981647
14,-3722.1322659538127,0.6570468198150567
15,-3690.8137180036865,0.6376281516217733
16,-3630.867540979176,0.6187833918061408
17,-3469.6948874824448,0.6004955788122659
18,-3454.4729693797417,0.5827482523739896
19,-3494.952899457421,0.5655254386995371
20,-3457.8881804849952,0.5488116360940265
21,-3229.5970508073224,0.5325918010068972
22,-3350.9797319457866,0.5168513344916993
23,-3178.696086173877,0.5015760690660556
24,-3235.3861871810514,0.4867522559599717
25,-3141.6402632733807,0.4723665527410147
26,-2892.0960785020143,0.4584060113052235
27,-3080.3783965636394,0.44485806622294116
28,-3012.818696666858,0.43171052342907973
29,-3026.982843083155,0.418951549247639
30,-2946.2634580340236,0.40656965974059917
31,-2919.446673083119,0.39455371037160114
32,-2845.7022440675646,0.38289288597511206
33,-2807.811129935959,0.3715766910220457
34,-2831.4876824597013,0.3605949401730783
35,-2735.6002781800344,0.3499377491111553
36,-2766.7583189996076,0.3395955256449391
37,-2805.0608440451324,0.3295589610751891
38,-2634.2801325307228,0.31981902181630395
39,-2547.81795119273,0.31036694126548503
40,-2691.8138259194093,0.30119421191220214
41,-2639.1634772628313,0.2922925776808594
42,-2670.357097888831,0.2836540264997704
43,-2565.681295344082,0.27527078308975234
44,-2562.116900944151,0.2671353019658504
45,-2415.0184047902003,0.25924026064589156
46,-2470.8218955494813,0.2515785530597565
47,-2496.449594521313,0.2441432831534371
48,-2443.446322812233,0.23692775868212176
49,-2437.869292578136,0.22992548518672384
50,-2344.860014444217,0.22313016014842982
51,-2390.281185305619,0.21653566731600707
52,-2338.665260835027,0.21013607120076472
53,-2340.88787887746,0.20392561173421347
54,-2446.8288674522773,0.1978986990836147
55,-2367.280685921607,0.19204990862075413
56,-2419.0418296959833,0.18637397603940997
57,-2214.4452929552062,0.1808657926171221
58,-2211.20271942619,0.17552040061699686
59,-2305.4427563961945,0.17033298882540943
60,-2226.768780739454,0.16529888822158656
61,-2236.6088749804185,0.1604135677751728
62,-2116.089949023386,0.15567263036799733
63,-2013.6954495305545,0.15107180883637086
64,-2116.086817977426,0.14660696213035015
65,-2184.4520777882426,0.1422740715865136
66,-2136.41312330449,0.13806923731089282
67,-2142.1515018426,0.13398867466880499
68,-2011.9140258529224,0.1300287108784259
69,-2134.692757564131,0.12618578170503877
70,-2081.6273596872925,0.1224564282529819
71,-2038.363846724329,0.11883729385240965
72,-1995.8109594098642,0.11532512103806251
73,-1941.9542651404045,0.11191674861732888
74,-1978.5162728342693,0.10860910882495801
75,-2005.7719659538707,0.10539922456186433
76,-2079.1068848380237,0.10228420671553748
77,-1966.9962186608464,0.09926125155964566
78,-1878.1525770574226,0.09632763823049303
79,-2005.2225476758322,0.09348072627805847
80,-1974.9753149059252,0.09071795328941251
81,-2014.5977579908795,0.08803683258237259
82,-2057.027836509573,0.08543495096732123
83,-1791.1109593281872,0.0829099665751727
84,-1773.7730980688357,0.08045960674953244
85,-1982.6420294757118,0.07808166600115317
86,-1820.343391706061,0.07577400402284548
87,-1892.1157465338474,0.0735345437630571
88,-1884.7454044999904,0.07136126955638608
89,-1878.0321065140306,0.069252225309346
90,-1778.0424113454646,0.06720551273974978
91,-1723.4753181026317,0.06521928966812753
92,-2069.351789417502,0.06329176835964073
93,-1802.5182936947094,0.06142121391500013
94,-1837.1882951044827,0.05960594270893937
95,-1881.4599273339263,0.057844320874838456
96,-1665.6787051293068,0.056134762834133725
97,-1853.4287406851654,0.05447572986918988
98,-1948.7311681382707,0.05286572873835037
99,-1736.573220206832,0.051303310331919136
100,-1727.2316736187786,0.05
101,-1776.2008571386687,0.05
102,-1824.3130337152397,0.05
103,-1805.8340819450095,0.05
104,-1716.866476225201,0.05
105,-1843.083455142798,0.05
106,-1783.701867429365,0.05
107,-1852.3797459905036,0.05
108,-1899.7594996821717,0.05
109,-1628.3754020328633,0.05
110,-1800.6721721224603,0.05
111,-1699.8583717155852,0.05
112,-1612.2863420918002,0.05
113,-1659.3406153659453,0.05
114,-1603.0048971896176,0.05
115,-1529.7088063483243,0.05
116,-1611.2977157557034,0.05
117,-1630.4863103245734,0.05
118,-1592.692377239815,0.05
119,-1654.4173696300131,0.05
120,-1712.5064911138616,0.05
121,-1658.991866575845,0.05
122,-1611.281828324718,0.05
123,-1580.089573757141,0.05
124,-1728.1494388364372,0.05
125,-1642.162754146906,0.05
126,-1678.2578041120432,0.13
127,-1932.2544551542378,0.05
128,-1634.5676342502702,0.05
129,-1564.9297707747319,0.05
130,-1641.0018898960552,0.05
131,-1606.948166036571,0.05
132,-1602.1279107694863,0.05
133,-1474.3711748686037,0.05
134,-1555.4762053930317,0.05
135,-1543.1980624157586,0.05
136,-1505.067713288474,0.05
137,-1559.9612181860139,0.05
138,-1598.4124480762403,0.05
139,-1507.423046537151,0.05
140,-1596.856063423038,0.05
141,-1550.6449684168329,0.05
142,-1509.0708648358705,0.05
143,-1513.0892424833728,0.05
144,-1684.1187311436515,0.05
145,-1692.1022519746912,0.13
146,-1953.3534978571115,0.05
147,-1709.6250436794944,0.05
148,-1669.2195918975049,0.05
149,-1616.4067649156204,0.05
150,-1540.881754043803,0.05
151,-1559.0324804069824,0.05
152,-1584.0464154038928,0.05
153,-1750.5379618344596,0.13
154,-1814.2673897799104,0.05
155,-1607.0781415227102,0.05
156,-1564.0076698832563,0.05
157,-1573.004706988635,0.05
158,-1527.4164693076164,0.05
159,-1556.5921570978244,0.05
160,-1522.8942485091393,0.05
161,-1609.2008096348145,0.13
162,-1886.6085153803579,0.05
163,-1556.0369246071205,0.05
164,-1506.4645520414342,0.05
165,-1498.1557324876194,0.05
166,-1497.2957236480433,0.05
167,-1426.0899853299488,0.05
168,-1432.060108381731,0.05
169,-1521.5848776010098,0.05
170,-1504.3610596072976,0.05
171,-1469.4309079417144,0.05
172,-1651.095629457268,0.05
173,-1542.1220016087173,0.05
174,-1579.1870232675574,0.05
175,-1523.7180632178788,0.05
176,-1482.0055344303837,0.05
177,-1473.6277355931816,0.05
178,-1485.5504823436495,0.05
179,-1511.531480816484,0.13
180,-1850.3688760143123,0.05
181,-1525.3935416850727,0.05
182,-1547.8942135653924,0.05
183,-1492.5757365715108,0.05
184,-1472.7828733784263,0.05
185,-1386.292002380651,0.05
186,-1439.6953208156046,0.05
187,-1419.3791884629172,0.05
188,-1479.703309269913,0.05
189,-1480.6444348421064,0.05
190,-1635.4444848997518,0.05
191,-1454.1799378441065,0.05
192,-1502.3983838318964,0.05
193,-1537.696204494161,0.05
194,-1607.1293552940479,0.05
195,-1537.7233910937794,0.05
196,-1593.3137405824964,0.13
197,-1899.0639736581943,0.05
198,-1547.2274656821392,0.05
199,-1593.3382149672252,0.05
200,-1552.7084848083323,0.05
