episode,episode_reward,epsilon
1,-5691.518870390952,0.9704455335485082
2,-5832.986862173188,0.9417645335842487
3,-5475.24293067446,0.9139311852712282
4,-5428.812352646317,0.8869204367171575
5,-5201.181132047903,0.8607079764250578
6,-4914.837409231113,0.835270211411272
7,-5025.3085089224915,0.8105842459701871
8,-4942.645790225826,0.7866278610665535
9,-4926.093270227517,0.7633794943368531
10,-4828.237809966522,0.7408182206817179
11,-5015.676234255487,0.7189237334319262
12,-4768.640240330598,0.697676326071031
13,-4715.552773268428,0.6770568744981647
14,-4662.427955558989,0.6570468198150567
15,-4573.219683677657,0.6376281516217733
16,-4385.747324265132,0.6187833918061408
17,-4060.0891478667036,0.6004955788122659
18,-3909.518147420604,0.5827482523739896
19,-3925.1154432818294,0.5655254386995371
20,-3792.3831228976487,0.5488116360940265
21,-3722.9690014602966,0.5325918010068972
22,-3772.3698834734387,0.5168513344916993
23,-3972.7597049367614,0.5015760690660556
24,-4115.896950200375,0.4867522559599717
25,-4241.802910974162,0.4723665527410147
26,-4115.068068810739,0.4584060113052235
27,-4275.969608262647,0.44485806622294116
28,-3933.8830429937225,0.43171052342907973
29,-3783.7823684472824,0.418951549247639
30,-3608.839281369874,0.35
31,-3292.797168197809,0.39455371037160114
32,-3549.4403416718415,0.38289288597511206
33,-3222.5705598830245,0.3715766910220457
34,-3703.6028444017284,0.3605949401730783
35,-3597.596623003483,0.3499377491111553
36,-3766.168954570254,0.3395955256449391
37,-3739.127507869358,0.3295589610751891
38,-3494.9263368258253,0.31981902181630395
39,-3446.4693646203377,0.31036694126548503
40,-3362.5154843151104,0.30119421191220214
41,-3249.5800834102556,0.2922925776808594
42,-3090.0602372174617,0.2836540264997704
43,-2925.864060599357,0.27527078308975234
44,-2843.944873300323,0.2671353019658504
45,-2503.9192745214095,0.25924026064589156
46,-3030.477305703971,0.2515785530597565
47,-3102.0054855763447,0.2441432831534371
48,-3378.481235578656,0.23692775868212176
49,-3457.2814077226794,0.22992548518672384
50,-3661.549794789811,0.22313016014842982
51,-3794.251173130062,0.21653566731600707
52,-3201.2852303736145,0.21013607120076472
53,-3401.4210479168687,0.20392561173421347
54,-2892.9354970989225,0.2778986990836147
55,-2948.851290846709,0.19204990862075413
56,-2730.2172207161784,0.18637397603940997
57,-2680.8173435967765,0.1808657926171221
58,-2876.20631034908,0.17552040061699686
59,-2922.458305411914,0.17033298882540943
60,-3222.8883678668353,0.16529888822158656
61,-3258.0224427389912,0.1604135677751728
62,-3030.807369977905,0.15567263036799733
63,-2707.1823975695297,0.15107180883637086
64,-2662.4004534526903,0.14660696213035015
65,-2668.6143089211255,0.1422740715865136
66,-2314.4015816040337,0.13806923731089282
67,-2119.5799279266503,0.13398867466880499
68,-2365.8443052101647,0.1300287108784259
69,-2059.406119094754,0.12618578170503877
70,-2214.7588368692086,0.1224564282529819
71,-2507.182559001085,0.11883729385240965
72,-2770.465683905757,0.11532512103806251
73,-3087.911722982186,0.11191674861732888
74,-3228.5822947071283,0.10860910882495801
75,-3299.4136702381657,0.10539922456186433
76,-3139.1259097707807,0.10228420671553748
77,-2764.993685154943,0.09926125155964566
78,-2214.9660556274466,0.17632763823049302
79,-2378.7693642813247,0.09348072627805847
80,-2212.7350567214016,0.09071795328941251
81,-2186.9520173235505,0.08803683258237259
82,-2384.6534535477986,0.08543495096732123
83,-2505.0945891425945,0.0829099665751727
84,-2922.547862099018,0.08045960674953244
85,-2858.9962921271217,0.07808166600115317
86,-2908.2033627489,0.15577400402284547
87,-2947.325772967888,0.0735345437630571
88,-2343.7217263898347,0.07136126955638608
89,-2161.3567102516536,0.069252225309346
90,-1989.9915670405608,0.06720551273974978
91,-1767.608246565098,0.06521928966812753
92,-1831.293582584709,0.06329176835964073
