cost_function,value,name,level
all_time_peak_average,0.886341788072768,District,district
annual_normalized_unserved_energy_total,0.00806451159814737,District,district
carbon_emissions_total,0.5593529472264369,District,district
cost_total,0.524405645282534,District,district
daily_one_minus_load_factor_average,1.1720291420133506,District,district
daily_peak_average,0.8081319808142748,District,district
discomfort_cold_delta_average,0.003427639387655949,District,district
discomfort_cold_delta_maximum,1.638967514038086,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.0,District,district
discomfort_hot_delta_average,7.894342725691588,District,district
discomfort_hot_delta_maximum,15.975650787353516,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9616858237547893,District,district
discomfort_proportion,0.9616858237547893,District,district
electricity_consumption_total,0.5562443559951732,District,district
monthly_one_minus_load_factor_average,1.1445327184868133,District,district
one_minus_thermal_resilience_proportion,1.0,District,district
power_outage_normalized_unserved_energy_total,0.5394949839781098,District,district
ramping_average,0.9075196050493591,District,district
zero_net_energy,0.5065001057211334,District,district
electricity_consumption_total,0.5562443559951732,Building_3,building
zero_net_energy,0.5065001057211334,Building_3,building
carbon_emissions_total,0.5593529472264369,Building_3,building
cost_total,0.524405645282534,Building_3,building
discomfort_proportion,0.9616858237547893,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9616858237547893,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,1.638967514038086,Building_3,building
discomfort_cold_delta_average,0.003427639387655949,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,15.975650787353516,Building_3,building
discomfort_hot_delta_average,7.894342725691588,Building_3,building
one_minus_thermal_resilience_proportion,1.0,Building_3,building
power_outage_normalized_unserved_energy_total,0.5394949839781098,Building_3,building
annual_normalized_unserved_energy_total,0.00806451159814737,Building_3,building
