time_step,reward,cumulative_reward,grid_import_Building_3_kwh,grid_import_kwh,cumulative_grid_import_kwh
0,-3.1730923652648926,-3.1730923652648926,1.2692369222640991,1.2692369222640991,1.2692369222640991
1,-1.0500664710998535,-4.223158836364746,0.42002660036087036,0.42002660036087036,1.6892635226249695
2,-1.0441349744796753,-5.267293810844421,0.41765397787094116,0.41765397787094116,2.1069175004959106
3,-1.0514752864837646,-6.318769097328186,0.4205901026725769,0.4205901026725769,2.5275076031684875
4,-1.0991977453231812,-7.417966842651367,0.4396790862083435,0.4396790862083435,2.967186689376831
5,-1.2727737426757812,-8.690740585327148,0.5091094970703125,0.5091094970703125,3.4762961864471436
6,-2.3281569480895996,-11.018897533416748,0.931262731552124,0.931262731552124,4.407558917999268
7,-1.4851012229919434,-12.503998756408691,0.5940405130386353,0.5940405130386353,5.001599431037903
8,-4.590189568533333,-17.094188324942024,1.8183987140655518,1.8183987140655518,6.819998145103455
9,-4.175551915278751,-21.269740240220777,1.6428214311599731,1.6428214311599731,8.462819576263428
10,-2.3331738850901727,-23.60291412531095,0.8982958197593689,0.8982958197593689,9.361115396022797
11,-0.5835094451904297,-24.18642357050138,0.5835094451904297,0.5835094451904297,9.944624841213226
12,-0.5446231961250305,-24.73104676662641,0.21784928441047668,0.21784928441047668,10.162474125623703
13,-3.34533429145813,-28.07638105808454,1.338133692741394,1.338133692741394,11.500607818365097
14,-1.1124048233032227,-29.188785881387762,1.1124048233032227,1.1124048233032227,12.61301264166832
15,-5.09699821472168,-34.28578409610944,2.038799285888672,2.038799285888672,14.651811927556992
16,-4.239327430725098,-38.525111526834536,1.6957309246063232,1.6957309246063232,16.347542852163315
17,-4.709254264831543,-43.23436579166608,1.8837016820907593,1.8837016820907593,18.231244534254074
18,-5.546149253845215,-48.780515045511294,2.2184596061706543,2.2184596061706543,20.44970414042473
19,-5.935416221618652,-54.715931267129946,2.374166488647461,2.374166488647461,22.82387062907219
20,-6.152272701263428,-60.868203968393374,2.460909128189087,2.460909128189087,25.284779757261276
21,-8.381113052368164,-69.24931702076154,3.352445125579834,3.352445125579834,28.63722488284111
22,-8.394747734069824,-77.64406475483136,3.3578991889953613,3.3578991889953613,31.99512407183647
23,-8.56697940826416,-86.21104416309552,3.4267919063568115,3.4267919063568115,35.42191597819328
24,-4.529824733734131,-90.74086889682965,1.8119299411773682,1.8119299411773682,37.23384591937065
25,-4.522193908691406,-95.26306280552106,1.8088774681091309,1.8088774681091309,39.04272338747978
26,-4.642418278462067,-99.90548108398312,1.8065049648284912,1.8065049648284912,40.84922835230827
27,-6.674020048838125,-106.57950113282125,2.5781614780426025,2.5781614780426025,43.427389830350876
28,-4.811880344944803,-111.39138147776605,1.8285300731658936,1.8285300731658936,45.25591990351677
29,-4.947797786497419,-116.33917926426346,1.8979605436325073,1.8979605436325073,47.15388044714928
30,-4.643136978149414,-120.98231624241288,1.8572547435760498,1.8572547435760498,49.01113519072533
31,-4.81583309173584,-125.79814933414872,1.9263333082199097,1.9263333082199097,50.937468498945236
32,-4.92296028137207,-130.7211096155208,1.969184160232544,1.969184160232544,52.90665265917778
33,-4.75105128707052,-135.4721609025913,1.8446779251098633,1.8446779251098633,54.75133058428764
34,-4.058439128346542,-139.53060003093785,1.5710362195968628,1.5710362195968628,56.322366803884506
