source_dir,algorithm,reward_name,reward_key,episodes,policy,grid_import_kwh,export_kwh,net_consumption_kwh,discomfort_proportion,discomfort_cold_proportion,discomfort_hot_proportion,all_rewards,cost_total_ratio,carbon_emissions_total_ratio,daily_peak_average_ratio,ramping_average_ratio,savings_vs_fixed_pct,train_sec,stability_episode,last_10_episode_reward_mean
outputs_ddpg0305_02_copy,DDPG,NightPrecharge reward,nightprecharge,40.0,DDPG (NightPrecharge reward),1073.285,137.037,936.248,0.9758,0.0,0.9758,-1182.822,0.4069,0.4336,0.6883,1.0335,73.956,645.15,38.0,-1264.951
outputs_ddpg0305_02_copy copy,DDPG,NightPrecharge reward,nightprecharge,40.0,DDPG (NightPrecharge reward),1073.285,137.037,936.248,0.9758,0.0,0.9758,-1182.822,0.4069,0.4336,0.6883,1.0335,73.956,645.15,38.0,-1264.951
outputs_ddpg,DDPG,Weather reward,weather,40.0,DDPG (Weather reward),410.04,,278.008,0.9804,,,-901.408,,,,,76.273,515.91,22.0,-1065.755
outputs_ddpg0305_01,DDPG,Weather reward,weather,50.0,DDPG (Weather reward),1059.285,161.274,898.011,0.9782,0.0,0.9782,-2171.119,0.3872,0.4125,0.6858,0.9356,74.296,855.65,22.0,-2506.384
outputs_ddpg0505_01,DDPG decentral,NightPrecharge reward,nightprecharge,40.0,DDPG decentral (NightPrecharge reward),1149.566,223.96,925.606,0.9782,0.0,0.9782,-973.09,0.4394,0.4661,0.8685,1.2318,72.105,774.76,,-1260.212
outputs_ddpg,Fixed,fixed,fixed,,Fixed(cool=0.50),1728.141,,1727.784,0.9748,,,-3750.742,,,,,0.0,,,
outputs_ddpg0305_01,Fixed,fixed,fixed,,Fixed(cool=0.50),4121.091,0.0,4121.091,0.837,0.8351,0.0019,-7918.719,1.5106,1.5555,1.1472,0.8896,0.0,,,
outputs_ddpg0305_02_copy,Fixed,fixed,fixed,,Fixed(cool=0.50),4121.091,0.0,4121.091,0.837,0.8351,0.0019,-12360.254,1.5106,1.5555,1.1472,0.8896,0.0,,,
outputs_ddpg0305_02_copy copy,Fixed,fixed,fixed,,Fixed(cool=0.50),4121.091,0.0,4121.091,0.837,0.8351,0.0019,-12360.254,1.5106,1.5555,1.1472,0.8896,0.0,,,
outputs_ddpg0505_01,Fixed,fixed,fixed,,Fixed(cool=0.50),4121.091,0.0,4121.091,0.837,0.8351,0.0019,-12360.254,1.5106,1.5555,1.1472,0.8896,0.0,,,
outputs_q_learning0105_02,Fixed,fixed,fixed,,Fixed(cool=0.00),1053.555,,894.726,0.9782,,,-3392.731,,,,,0.0,,,
outputs_q_learning0105_03,Fixed,fixed,fixed,,Fixed(cool=0.00),1053.555,,894.726,0.9782,,,-3392.731,,,,,0.0,,,
outputs_q_learning0105_04,Fixed,fixed,fixed,,Fixed(cool=0.00),1054.236,14.799,1039.437,0.4067,,,-3311.124,,,,,0.0,,,
outputs_q_learning0105_06,Fixed,fixed,fixed,,Fixed(cool=0.00),1054.236,14.799,1039.437,0.4067,,,-3311.124,,,,,0.0,,,
outputs_q_learning0105_07,Fixed,fixed,fixed,,Fixed(cool=0.00),1054.236,14.799,1039.437,0.4067,,,-3311.124,,,,,0.0,,,
outputs_q_learning0105_08,Fixed,fixed,fixed,,Fixed(cool=0.00),1053.555,158.829,894.726,0.9782,,,-3392.731,,,,,0.0,,,
outputs_q_learning0205_02,Fixed,fixed,fixed,,Fixed(cool=0.25),2507.947,0.039,2507.909,0.4125,0.341,0.0715,-7595.735,0.9109,0.9468,0.915,0.8888,0.0,,,
outputs_q_learning0205_02,Fixed,fixed,fixed,,Fixed(cool=0.50),4121.091,0.0,4121.091,0.837,0.8351,0.0019,-12360.254,1.5106,1.5555,1.1472,0.8896,0.0,,,
outputs_q_learning0305_02,Fixed,fixed,fixed,,Fixed(cool=0.50),4121.091,0.0,4121.091,0.837,0.8351,0.0019,-12360.254,1.5106,1.5555,1.1472,0.8896,0.0,,,
outputs_q_learning0505_02,Fixed,fixed,fixed,,Fixed(cool=0.50),4121.091,0.0,4121.091,0.837,0.8351,0.0019,-12360.254,1.5106,1.5555,1.1472,0.8896,0.0,,,
