algorithm,reward_key,episodes,discomfort_proportion,grid_import_kwh,savings_vs_fixed_pct,stability_episode,train_sec
DDPG,nightprecharge,40.0,0.9758,1073.285,73.956,38.0,645.15
DDPG,weather,40.0,0.9804,410.04,76.273,22.0,515.91
DDPG,weather,50.0,0.9782,1059.285,74.296,22.0,855.65
DDPG decentral,nightprecharge,40.0,0.9782,1149.566,72.105,,774.76
FixedCooling,0.50,80.0,0.9748,1728.141,0.0,,
FixedCooling,0.50,400.0,0.9748,1728.141,0.0,,
FixedCooling,0.50,700.0,0.9748,1728.141,0.0,,
FixedCooling,0.70,10.0,0.9804,2308.419,0.0,,
FixedCooling,0.70,80.0,0.9804,2308.419,,,
FixedCooling,0.90,80.0,0.9804,2888.697,,,
OwnAdaptiveTabularQLearning,unknown,80.0,0.6452,709.557,53.873,67.0,201.52
OwnAdaptiveTabularQLearning,unknown,400.0,0.9748,417.869,75.82,82.0,1003.76
OwnAdaptiveTabularQLearning,unknown,700.0,0.9804,412.001,76.159,82.0,1792.32
OwnTabularQLearning,unknown,10.0,0.6381,802.066,65.255,,29.16
Q-learning,3_actions,400.0,0.6648,663.454,61.609,95.0,1031.35
Q-learning,3_actions_+_solar,800.0,0.7097,708.088,59.026,82.0,2070.81
Q-learning,combined,1.0,0.6144,1853.796,55.017,,8.23
Q-learning,combined,2.0,0.5372,2434.482,-131.073,,17.56
Q-learning,combined,30.0,0.4842,2748.047,-160.836,25.0,237.26
Q-learning,combined,50.0,0.4898,3119.171,24.312,38.0,414.4
Q-learning,combined,200.0,0.7447,3286.115,20.261,38.0,1626.54
Q-learning,comfort,1.0,0.6144,1853.796,55.017,,7.77
Q-learning,comfort,2.0,0.5372,2434.482,-131.073,,15.49
Q-learning,comfort,50.0,0.8469,4347.348,-5.49,20.0,400.97
Q-learning,comfort,200.0,0.6342,3486.317,15.403,20.0,1525.74
Q-learning,energy,1.0,0.7248,1549.233,62.407,,7.53
Q-learning,energy,2.0,0.7904,1504.786,-42.829,,16.81
Q-learning,energy,50.0,0.8183,1500.157,63.598,,398.94
Q-learning,energy,200.0,0.8911,1272.885,69.113,102.0,1570.29
Q-learning,energy,400.0,0.6438,678.771,60.722,77.0,1070.02
Q-learning,grid_import_only,50.0,0.4067,1114.202,-5.688,20.0,158.02
Q-learning,nightprecharge,1.0,0.8972,1417.629,65.601,,7.67
Q-learning,nightprecharge,2.0,0.9645,1140.729,-8.274,,17.16
Q-learning,nightprecharge,30.0,0.9599,1115.534,-5.883,,236.05
Q-learning,nightprecharge,50.0,0.5674,1747.06,57.607,,406.32
Q-learning,nightprecharge,200.0,0.9711,1112.857,72.996,,1614.84
Q-learning,peak_shaving,1.0,0.7248,1549.233,62.407,,7.61
Q-learning,peak_shaving,2.0,0.7904,1504.786,-42.829,,16.05
Q-learning,peak_shaving,50.0,0.4067,1085.3,-2.947,20.0,167.84
Q-learning,peak_shaving,200.0,0.5734,1752.008,57.487,,1536.8
Q-learning,pricing,1.0,0.7248,1549.233,62.407,,7.92
Q-learning,pricing,2.0,0.7904,1504.786,-42.829,,15.8
Q-learning,pricing,30.0,0.9492,1193.776,-13.309,,255.78
Q-learning,pricing,50.0,0.4067,1088.398,-3.24,20.0,130.42
Q-learning,pricing,200.0,0.8511,1342.089,67.434,103.0,1597.55
Q-learning,ramping,1.0,0.558,2536.845,38.442,,7.69
Q-learning,ramping,2.0,0.7253,1798.435,-70.702,,18.84
Q-learning,ramping,50.0,0.6792,1720.949,58.24,,382.49
Q-learning,ramping,200.0,0.8647,1322.184,67.917,116.0,1772.91
Q-learning,selective_export,50.0,0.8665,1396.555,-32.556,,384.75
Q-learning,selfsufficiency,1.0,0.8895,1337.484,67.545,,7.86
Q-learning,selfsufficiency,2.0,0.9782,1058.061,-0.428,,19.2
Q-learning,selfsufficiency,50.0,0.7559,1672.873,59.407,,394.0
Q-learning,selfsufficiency,200.0,0.9294,1232.561,70.091,87.0,1628.8
Q-learning,solar,1.0,0.7248,1549.233,62.407,,7.69
Q-learning,solar,2.0,0.7904,1504.786,-42.829,,15.53
Q-learning,solar,50.0,0.7464,1623.659,60.601,,383.68
Q-learning,solar,200.0,0.7765,1470.652,64.314,153.0,1594.0
Q-learning,solar_alignment,50.0,0.4067,1080.409,-2.483,20.0,161.29
Q-learning,solar_price_arbitrage,50.0,0.4067,1078.898,-2.339,20.0,128.54
Q-learning,storage,1.0,0.7248,1549.233,62.407,,7.57
Q-learning,storage,2.0,0.7904,1504.786,-42.829,,16.37
Q-learning,storage,30.0,0.935,1197.251,-13.639,,236.03
Q-learning,storage,50.0,0.4067,1114.202,-5.688,20.0,131.18
Q-learning,storage,200.0,0.8911,1272.885,69.113,102.0,1625.2
Q-learning,storage,250.0,0.9611,1125.956,72.678,102.0,2175.16
Q-learning,timeofuse,1.0,0.6136,1874.889,54.505,,7.56
Q-learning,timeofuse,2.0,0.7904,1504.786,-42.829,,19.29
Q-learning,timeofuse,30.0,0.9258,1262.318,-19.815,,236.83
Q-learning,timeofuse,50.0,0.4067,1070.895,-1.58,,162.05
Q-learning,timeofuse,200.0,0.9268,1240.166,69.907,,1562.67
Q-learning,weather,1.0,0.7248,1549.233,62.407,,7.68
Q-learning,weather,2.0,0.7904,1504.786,-42.829,,19.36
Q-learning,weather,50.0,0.6458,1673.256,59.398,,444.85
Q-learning,weather,200.0,0.9318,1209.938,70.64,82.0,1539.26
Q-learning,weather,400.0,0.6648,663.454,61.609,95.0,1132.3
Q-learning,"weather,_seed=7",400.0,0.975,1099.203,73.327,82.0,3211.51
