source_dir,algorithm,reward_key,episodes,grid_import_kwh,grid_import_ratio_vs_fixed,savings_vs_fixed_pct,discomfort_proportion,discomfort_ratio_vs_fixed,cost_total_ratio,cost_ratio_vs_fixed,carbon_emissions_total_ratio,daily_peak_average_ratio,ramping_average_ratio,train_sec,stability_episode,last_10_episode_reward_mean
outputs_ddpg0305_02_copy,DDPG,nightprecharge,40.0,1073.285,0.26043710269926096,73.956,0.9758,1.1658303464755078,0.4069,0.2693631669535284,0.4336,0.6883,1.0335,645.15,38.0,-1264.951
outputs_ddpg0305_02_copy copy,DDPG,nightprecharge,40.0,1073.285,0.26043710269926096,73.956,0.9758,1.1658303464755078,0.4069,0.2693631669535284,0.4336,0.6883,1.0335,645.15,38.0,-1264.951
outputs_ddpg,DDPG,weather,40.0,410.04,0.2372723059055945,76.273,0.9804,1.0057447681575709,,,,,,515.91,22.0,-1065.755
outputs_ddpg0305_01,DDPG,weather,50.0,1059.285,0.2570399440342375,74.296,0.9782,1.1686977299880525,0.3872,0.2563219912617503,0.4125,0.6858,0.9356,855.65,22.0,-2506.384
outputs_ddpg0505_01,DDPG decentral,nightprecharge,40.0,1149.566,0.2789470069940217,72.105,0.9782,1.1686977299880525,0.4394,0.2908777969018933,0.4661,0.8685,1.2318,774.76,,-1260.212
outputs_ddpg,Fixed,fixed,,1728.141,,0.0,0.9748,,,,,,,,,
outputs_ddpg0305_01,Fixed,fixed,,4121.091,,0.0,0.837,,1.5106,,1.5555,1.1472,0.8896,,,
outputs_ddpg0305_02_copy,Fixed,fixed,,4121.091,,0.0,0.837,,1.5106,,1.5555,1.1472,0.8896,,,
outputs_ddpg0305_02_copy copy,Fixed,fixed,,4121.091,,0.0,0.837,,1.5106,,1.5555,1.1472,0.8896,,,
outputs_ddpg0505_01,Fixed,fixed,,4121.091,,0.0,0.837,,1.5106,,1.5555,1.1472,0.8896,,,
outputs_q_learning0105_02,Fixed,fixed,,1053.555,,0.0,0.9782,,,,,,,,,
outputs_q_learning0105_03,Fixed,fixed,,1053.555,,0.0,0.9782,,,,,,,,,
outputs_q_learning0105_04,Fixed,fixed,,1054.236,,0.0,0.4067,,,,,,,,,
outputs_q_learning0105_06,Fixed,fixed,,1054.236,,0.0,0.4067,,,,,,,,,
outputs_q_learning0105_07,Fixed,fixed,,1054.236,,0.0,0.4067,,,,,,,,,
outputs_q_learning0105_08,Fixed,fixed,,1053.555,,0.0,0.9782,,,,,,,,,
outputs_q_learning0205_02,Fixed,fixed,,2507.947,,0.0,0.4125,,0.9109,,0.9468,0.915,0.8888,,,
outputs_q_learning0205_02,Fixed,fixed,,4121.091,,0.0,0.837,,1.5106,,1.5555,1.1472,0.8896,,,
outputs_q_learning0305_02,Fixed,fixed,,4121.091,,0.0,0.837,,1.5106,,1.5555,1.1472,0.8896,,,
outputs_q_learning0505_02,Fixed,fixed,,4121.091,,0.0,0.837,,1.5106,,1.5555,1.1472,0.8896,,,
outputs_q_learning1604_03,Fixed,fixed,,1728.141,,0.0,0.9748,,,,,,,,,
outputs_q_learning1704_01_withSolar,Fixed,fixed,,1728.141,,0.0,0.9748,,,,,,,,,
outputs_q_learning1804_01_backup,Fixed,fixed,,1728.141,,0.0,0.9748,,,,,,,,,
outputs_q_learning1804_03,Fixed,fixed,,4121.091,,0.0,0.837,,,,,,,,,
outputs_q_learning1804_05,Fixed,fixed,,4121.091,,0.0,0.837,,,,,,,,,
outputs_q_learning1804_05_2,Fixed,fixed,,4121.091,,0.0,0.837,,,,,,,,,
outputs_q_learning1804_05_200_copy,Fixed,fixed,,4121.091,,0.0,0.837,,,,,,,,,
outputs_q_learning2004_02,Fixed,fixed,,4121.091,,0.0,0.837,,,,,,,,,
outputs_q_learning2104_weather_only,Fixed,fixed,,4336.148,,0.0,0.8779,,,,,,,,,
outputs_q_learning2404_02_01,Fixed,fixed,,4121.091,,0.0,0.837,,,,,,,,,
outputs_q_learning1504_06,FixedCooling,0.50,,1728.141,,0.0,0.9748,,,,,,,,,
outputs_q_learning1504_06,FixedCooling,0.50,,1728.141,,0.0,0.9748,,,,,,,,,
outputs_q_learning1504_06,FixedCooling,0.50,,1728.141,,0.0,0.9748,,,,,,,,,
outputs_q_learning1504_06,FixedCooling,0.50,,1728.141,,0.0,0.9748,,,,,,,,,
outputs_q_learning1504_03,FixedCooling,0.50,80.0,1728.141,,,0.9748,,,,,,,,,
outputs_q_learning1504_04,FixedCooling,0.50,80.0,1728.141,,,0.9748,,,,,,,,,
outputs_q_learning1504_05,FixedCooling,0.50,80.0,1728.141,,0.0,0.9748,,,,,,,,,
outputs_q_learning1604_01,FixedCooling,0.50,400.0,1728.141,,0.0,0.9748,,,,,,,,,
outputs_q_learning1604_02,FixedCooling,0.50,700.0,1728.141,,0.0,0.9748,,,,,,,,,
outputs_q_learning1504_02,FixedCooling,0.70,10.0,2308.419,,0.0,0.9804,,,,,,,,,
outputs_q_learning1504_03,FixedCooling,0.70,80.0,2308.419,,,0.9804,,,,,,,,,
outputs_q_learning1504_04,FixedCooling,0.70,80.0,2308.419,,,0.9804,,,,,,,,,
outputs_q_learning1504_03,FixedCooling,0.90,80.0,2888.697,,,0.9804,,,,,,,,,
outputs_q_learning1504_04,FixedCooling,0.90,80.0,2888.697,,,0.9804,,,,,,,,,
outputs_q_learning1504_06,OwnAdaptiveTabularQLearning,unknown,,797.137,,53.873,0.6059,,,,,,,197.01,,-872.536
outputs_q_learning1504_06,OwnAdaptiveTabularQLearning,unknown,,708.594,,58.997,0.6297,,,,,,,196.21,,-1487.122
outputs_q_learning1504_06,OwnAdaptiveTabularQLearning,unknown,,746.123,,56.825,0.6241,,,,,,,197.41,56.0,-1193.401
outputs_q_learning1504_06,OwnAdaptiveTabularQLearning,unknown,,821.212,,52.48,0.5624,,,,,,,200.85,,-1874.59
outputs_q_learning1504_03,OwnAdaptiveTabularQLearning,unknown,80.0,709.557,,,0.6452,,,,,,,201.52,67.0,-844.261
outputs_q_learning1504_04,OwnAdaptiveTabularQLearning,unknown,80.0,797.137,,,0.6059,,,,,,,203.52,,-872.536
outputs_q_learning1504_04,OwnAdaptiveTabularQLearning,unknown,80.0,821.212,,,0.5624,,,,,,,209.31,,-1874.59
outputs_q_learning1504_05,OwnAdaptiveTabularQLearning,unknown,80.0,797.137,,53.873,0.6059,,,,,,,217.98,,-872.536
outputs_q_learning1504_05,OwnAdaptiveTabularQLearning,unknown,80.0,821.212,,52.48,0.5624,,,,,,,225.81,,-1874.59
outputs_q_learning1604_01,OwnAdaptiveTabularQLearning,unknown,400.0,417.869,,75.82,0.9748,,,,,,,1003.76,82.0,-1057.643
outputs_q_learning1604_02,OwnAdaptiveTabularQLearning,unknown,700.0,412.001,,76.159,0.9804,,,,,,,1792.32,82.0,-1088.45
outputs_q_learning1504_02,OwnTabularQLearning,unknown,10.0,802.066,,65.255,0.6381,,,,,,,29.16,,-1485.591
outputs_q_learning1604_03,Q-learning,3_actions,400.0,663.454,0.38391196088745067,61.609,0.6648,0.6819860484201887,,,,,,1031.35,95.0,-1608.523
outputs_q_learning1704_01_withSolar,Q-learning,3_actions_+_solar,800.0,708.088,0.4097397145256087,59.026,0.7097,0.7280467788264259,,,,,,2070.81,82.0,-1652.765
outputs_q_learning2404_02_01,Q-learning,combined,1.0,1853.796,0.44983136747041014,55.017,0.6144,0.7340501792114695,,,,,,8.23,,-6600.403
outputs_q_learning0105_02,Q-learning,combined,2.0,2434.482,2.310730811395703,-131.073,0.5372,0.5491719484767942,,,,,,17.56,,-6769.021
outputs_q_learning1804_05_2,Q-learning,combined,2.0,2207.142,0.535572255016936,46.443,0.4509,0.5387096774193549,,,,,,15.32,,-6579.308
outputs_q_learning0105_03,Q-learning,combined,30.0,2748.047,2.6083564692873176,-160.836,0.4842,0.49499079942752,,,,,,237.26,25.0,-6076.786
outputs_q_learning1804_05,Q-learning,combined,50.0,3119.171,0.7568799135956958,24.312,0.4898,0.5851851851851853,,,,,,414.4,38.0,-5577.341
outputs_q_learning1804_05_200_copy,Q-learning,combined,200.0,3286.115,0.7973895747509578,20.261,0.7447,0.8897252090800478,,,,,,1626.54,38.0,-5075.844
outputs_q_learning2404_02_01,Q-learning,comfort,1.0,1853.796,0.44983136747041014,55.017,0.6144,0.7340501792114695,,,,,,7.77,,-12781.504
outputs_q_learning0105_02,Q-learning,comfort,2.0,2434.482,2.310730811395703,-131.073,0.5372,0.5491719484767942,,,,,,15.49,,-13626.664
outputs_q_learning1804_05_2,Q-learning,comfort,2.0,2812.254,0.6824052174533394,31.759,0.5335,0.6373954599761051,,,,,,15.47,,-12700.562
outputs_q_learning1804_05,Q-learning,comfort,50.0,4347.348,1.0549022091480142,-5.49,0.8469,1.0118279569892474,,,,,,400.97,20.0,-10947.558
outputs_q_learning1804_05_200_copy,Q-learning,comfort,200.0,3486.317,0.8459694289691734,15.403,0.6342,0.7577060931899642,,,,,,1525.74,20.0,-10312.986
outputs_q_learning2404_02_01,Q-learning,energy,1.0,1549.233,0.37592787929215826,62.407,0.7248,0.8659498207885306,,,,,,7.53,,-4374.529
outputs_q_learning0105_02,Q-learning,energy,2.0,1504.786,1.4282937293259488,-42.829,0.7904,0.8080147209159682,,,,,,16.81,,-4368.297
outputs_q_learning1804_05_2,Q-learning,energy,2.0,1838.63,0.44615127401942833,55.385,0.5755,0.6875746714456392,,,,,,16.3,,-4389.403
outputs_q_learning1804_05,Q-learning,energy,50.0,1500.157,0.364019382246109,63.598,0.8183,0.9776583034647551,,,,,,398.94,,-2504.578
outputs_q_learning1804_03,Q-learning,energy,200.0,1272.885,0.3088708790948804,69.113,0.8911,1.0646356033452808,,,,,,1570.29,102.0,-1582.478
outputs_q_learning1804_05_200_copy,Q-learning,energy,200.0,1272.885,0.3088708790948804,69.113,0.8911,1.0646356033452808,,,,,,1622.8,102.0,-1582.478
outputs_q_learning1804_01_backup,Q-learning,energy,400.0,678.771,0.3927752422979375,60.722,0.6438,0.6604431678292983,,,,,,1070.02,77.0,-719.966
outputs_q_learning0105_06,Q-learning,grid_import_only,50.0,1114.202,1.056881001976787,-5.688,0.4067,1.0,,,,,,158.02,20.0,-1130.137
outputs_q_learning2404_02_01,Q-learning,nightprecharge,1.0,1417.629,0.34399361722417676,65.601,0.8972,1.0719235364396655,,,,,,7.67,,-4227.929
outputs_q_learning0105_02,Q-learning,nightprecharge,2.0,1140.729,1.0827427139541836,-8.274,0.9645,0.9859946841136783,,,,,,17.16,,-4247.939
outputs_q_learning1804_05_2,Q-learning,nightprecharge,2.0,1248.679,0.30299719176305495,69.7,0.9492,1.1340501792114697,,,,,,15.36,,-4254.387
outputs_q_learning0105_03,Q-learning,nightprecharge,30.0,1115.534,1.0588284427485988,-5.883,0.9599,0.9812921692905336,,,,,,236.05,,-2875.611
outputs_q_learning1804_05,Q-learning,nightprecharge,50.0,1747.06,0.4239314298082716,57.607,0.5674,0.6778972520908005,,,,,,406.32,,-2299.038
outputs_q_learning1804_05_200_copy,Q-learning,nightprecharge,200.0,1112.857,0.27003941432013995,72.996,0.9711,1.1602150537634408,,,,,,1614.84,,-1550.752
outputs_q_learning2404_02_01,Q-learning,peak_shaving,1.0,1549.233,0.37592787929215826,62.407,0.7248,0.8659498207885306,,,,,,7.61,,-15238.018
outputs_q_learning0105_02,Q-learning,peak_shaving,2.0,1504.786,1.4282937293259488,-42.829,0.7904,0.8080147209159682,,,,,,16.05,,-16186.314
outputs_q_learning1804_05_2,Q-learning,peak_shaving,2.0,1675.802,0.40664037751168314,59.336,0.7516,0.8979689366786142,,,,,,15.14,,-15433.181
outputs_q_learning0105_06,Q-learning,peak_shaving,50.0,1085.3,1.029465888093368,-2.947,0.4067,1.0,,,,,,167.84,20.0,-3334.001
outputs_q_learning1804_05,Q-learning,peak_shaving,50.0,1962.024,0.4760933451845639,52.391,0.5681,0.6787335722819595,,,,,,386.76,,-8362.973
outputs_q_learning1804_05_200_copy,Q-learning,peak_shaving,200.0,1752.008,0.425132082742167,57.487,0.5734,0.6850657108721625,,,,,,1536.8,,-4846.85
outputs_q_learning2404_02_01,Q-learning,pricing,1.0,1549.233,0.37592787929215826,62.407,0.7248,0.8659498207885306,,,,,,7.92,,-4646.238
outputs_q_learning0105_02,Q-learning,pricing,2.0,1504.786,1.4282937293259488,-42.829,0.7904,0.8080147209159682,,,,,,15.8,,-4639.697
outputs_q_learning1804_05_2,Q-learning,pricing,2.0,1838.63,0.44615127401942833,55.385,0.5755,0.6875746714456392,,,,,,16.15,,-4662.812
outputs_q_learning0105_03,Q-learning,pricing,30.0,1193.776,1.1330931939955673,-13.309,0.9492,0.9703537108975671,,,,,,255.78,,-3231.666
outputs_q_learning0105_04,Q-learning,pricing,50.0,1088.398,1.03240450904731,-3.24,0.4067,1.0,,,,,,130.42,20.0,-1200.306
outputs_q_learning0205_02,Q-learning,pricing,50.0,1806.14,0.7201667339860053,27.983,0.6905,1.673939393939394,0.6666,0.7318037106158743,0.7049,1.0142,1.5399,420.97,,-2645.785
outputs_q_learning1804_05,Q-learning,pricing,50.0,1806.14,0.43826743937467044,56.173,0.6905,0.8249701314217444,,,,,,405.05,,-2645.785
outputs_q_learning1804_03,Q-learning,pricing,200.0,1342.089,0.3256635196844719,67.434,0.8511,1.0168458781362006,,,,,,1597.55,103.0,-1602.951
outputs_q_learning1804_05_200_copy,Q-learning,pricing,200.0,1342.089,0.3256635196844719,67.434,0.8511,1.0168458781362006,,,,,,1513.55,103.0,-1602.951
outputs_q_learning2404_02_01,Q-learning,ramping,1.0,2536.845,0.6155760695408083,38.442,0.558,0.6666666666666667,,,,,,7.69,,-6323.531
outputs_q_learning0105_02,Q-learning,ramping,2.0,1798.435,1.707015770415403,-70.702,0.7253,0.7414639133101615,,,,,,18.84,,-6379.903
outputs_q_learning1804_05_2,Q-learning,ramping,2.0,2430.367,0.5897387366597826,41.026,0.5481,0.6548387096774194,,,,,,15.23,,-6319.73
outputs_q_learning1804_05,Q-learning,ramping,50.0,1720.949,0.4175954862438126,58.24,0.6792,0.8114695340501793,,,,,,382.49,,-4206.056
outputs_q_learning1804_05_200_copy,Q-learning,ramping,200.0,1322.184,0.32083348802537964,67.917,0.8647,1.033094384707288,,,,,,1772.91,116.0,-2530.912
outputs_q_learning0105_08,Q-learning,selective_export,50.0,1396.555,1.3255643986313006,-32.556,0.8665,0.885810672664077,,,,,,384.75,,-5413.869
outputs_q_learning2404_02_01,Q-learning,selfsufficiency,1.0,1337.484,0.3245460971378695,67.545,0.8895,1.0627240143369177,,,,,,7.86,,-4289.665
outputs_q_learning0105_02,Q-learning,selfsufficiency,2.0,1058.061,1.0042769480473253,-0.428,0.9782,1.0,,,,,,19.2,,-4242.202
outputs_q_learning1804_05_2,Q-learning,selfsufficiency,2.0,1274.404,0.30923947081003544,69.076,0.9148,1.0929510155316606,,,,,,15.15,,-4300.381
outputs_q_learning1804_05,Q-learning,selfsufficiency,50.0,1672.873,0.4059296433881222,59.407,0.7559,0.9031063321385903,,,,,,394.0,,-2276.932
outputs_q_learning1804_05_200_copy,Q-learning,selfsufficiency,200.0,1232.561,0.29908609152285154,70.091,0.9294,1.110394265232975,,,,,,1628.8,87.0,-1449.266
outputs_q_learning2404_02_01,Q-learning,solar,1.0,1549.233,0.37592787929215826,62.407,0.7248,0.8659498207885306,,,,,,7.69,,-3831.115
