cost_function,value,name,level
all_time_peak_average,0.8315982931383273,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.4914618436779494,District,district
cost_total,0.4650756089684205,District,district
daily_one_minus_load_factor_average,1.302211561228404,District,district
daily_peak_average,0.7042396094803861,District,district
discomfort_cold_delta_average,0.001561144546226219,District,district
discomfort_cold_delta_maximum,0.31232961018880206,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.0,District,district
discomfort_hot_delta_average,8.247910464251483,District,district
discomfort_hot_delta_maximum,14.946734746297201,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.977605471962263,District,district
discomfort_proportion,0.977605471962263,District,district
electricity_consumption_total,0.5046043424126148,District,district
monthly_one_minus_load_factor_average,1.1280249867230703,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.1803567380158355,District,district
zero_net_energy,0.35789573689508153,District,district
electricity_consumption_total,0.4413359453378226,Building_1,building
zero_net_energy,0.2752768016305702,Building_1,building
carbon_emissions_total,0.43090969780866745,Building_1,building
cost_total,0.40939377801364324,Building_1,building
discomfort_proportion,0.9803646563814866,Building_1,building
discomfort_cold_proportion,0.0,Building_1,building
discomfort_hot_proportion,0.9803646563814866,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,0.12356948852539062,Building_1,building
discomfort_cold_delta_average,0.0003257698482937283,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.79342269897461,Building_1,building
discomfort_hot_delta_average,9.51630789173974,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.5050181572824325,Building_2,building
zero_net_energy,0.34992164000063347,Building_2,building
carbon_emissions_total,0.48993520039865723,Building_2,building
cost_total,0.4577894161767312,Building_2,building
discomfort_proportion,0.9757462686567164,Building_2,building
discomfort_cold_proportion,0.0,Building_2,building
discomfort_hot_proportion,0.9757462686567164,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,0.5813179016113281,Building_2,building
discomfort_cold_delta_average,0.003684753841824002,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.772623062133789,Building_2,building
discomfort_hot_delta_average,7.190356665187412,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5674589246175893,Building_3,building
zero_net_energy,0.448488769054041,Building_3,building
carbon_emissions_total,0.5535406328265233,Building_3,building
cost_total,0.528043632714887,Building_3,building
discomfort_proportion,0.9767054908485857,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9767054908485857,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.274158477783203,Building_3,building
discomfort_hot_delta_average,8.037066835827298,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
