time_step,reward,all_rewards,grid_import_Building_1_kwh,export_Building_1_kwh,grid_import_Building_2_kwh,export_Building_2_kwh,grid_import_Building_3_kwh,export_Building_3_kwh,grid_import_kwh,export_kwh,cumulative_grid_import_kwh,cumulative_export_kwh
0,-4.285096645355225,-4.285096645355225,2.033644199371338,0.0,0.5619984865188599,0.0,1.689454197883606,0.0,4.285096883773804,0.0,4.285096883773804,0.0
1,-2.8952441215515137,-7.180340766906738,0.8462807536125183,0.0,0.18591776490211487,0.0,0.47319296002388,0.0,1.5053914785385132,0.0,5.790488362312317,0.0
2,-1.4302563667297363,-8.610597133636475,0.7249863147735596,0.0,0.18461598455905914,0.0,0.4455188810825348,0.0,1.3551211804151535,0.0,7.14560954272747,0.0
3,-1.3070952892303467,-9.917692422866821,0.6327978372573853,0.0,0.1873515099287033,0.0,0.433448851108551,0.0,1.2535981982946396,0.0,8.39920774102211,0.0
4,-1.265671968460083,-11.183364391326904,0.6071555614471436,0.0,0.20223666727542877,0.0,0.4351603388786316,0.0,1.244552567601204,0.0,9.643760308623314,0.0
5,-2.900500774383545,-14.08386516571045,1.6178332567214966,0.0,0.23087537288665771,0.0,0.49980950355529785,0.0,2.348518133163452,0.0,11.992278441786766,0.0
6,-2.8979876041412354,-16.981852769851685,1.064932107925415,0.0,0.24817126989364624,0.0,1.033126950263977,0.0,2.3462303280830383,0.0,14.338508769869804,0.0
7,-2.1418323516845703,-19.123685121536255,0.5140800476074219,0.0,0.3452141582965851,0.0,0.8840543627738953,0.0,1.7433485686779022,0.0,16.081857338547707,0.0
8,-13.789714813232422,-32.91339993476868,4.653266429901123,0.0,2.933849573135376,0.0,2.187143325805664,0.0,9.774259328842163,0.0,25.85611666738987,0.0
9,-6.530452728271484,-39.44385266304016,0.48263463377952576,0.0,0.6722479462623596,0.0,2.1317636966705322,0.0,3.2866462767124176,0.0,29.142762944102287,0.0
10,-2.602308988571167,-42.04616165161133,0.0,0.3569531738758087,0.6334824562072754,0.0,1.284489393234253,0.0,1.5610186755657196,0.0,30.703781619668007,0.0
11,-4.57956075668335,-46.62572240829468,1.8172708749771118,0.0,0.6685148477554321,0.0,1.0507572889328003,0.0,3.5365430116653442,0.0,34.24032463133335,0.0
12,-3.023508071899414,-49.64923048019409,0.26597872376441956,0.0,0.9704316258430481,0.0,0.6702291965484619,0.0,1.9066395461559296,0.0,36.14696417748928,0.0
13,-0.953319787979126,-50.60255026817322,0.0,0.6901364326477051,0.0,0.2805768847465515,0.0,0.6326680779457092,0.0,1.6033813953399658,36.14696417748928,1.6033813953399658
14,0.0,-50.60255026817322,0.0,0.9919833540916443,0.0,0.163893923163414,0.0,0.7738050222396851,0.0,1.9296822994947433,36.14696417748928,3.533063694834709
15,-1.743293046951294,-52.34584331512451,0.0,0.3237629532814026,1.0962364673614502,0.0,0.06595885753631592,0.0,0.8384323716163635,0.0,36.985396549105644,3.533063694834709
16,-0.7267373204231262,-53.07258063554764,0.0,0.17738355696201324,0.2912794053554535,0.0,0.0,0.2320985496044159,0.0,0.11820270121097565,36.985396549105644,3.651266396045685
