cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.46000192854552324,District,district
cost_total,0.4285840033011961,District,district
daily_one_minus_load_factor_average,1.3155650962955994,District,district
daily_peak_average,0.7845985260836906,District,district
discomfort_cold_delta_average,0.005655830877798575,District,district
discomfort_cold_delta_maximum,2.7138792673746743,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.001089398728656856,District,district
discomfort_hot_delta_average,7.346562853565923,District,district
discomfort_hot_delta_maximum,14.05156389872233,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9691119238758704,District,district
discomfort_proportion,0.9702013226045274,District,district
electricity_consumption_total,0.463452019237846,District,district
monthly_one_minus_load_factor_average,1.1182119327366857,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.0675045871084234,District,district
zero_net_energy,0.39870539041196223,District,district
electricity_consumption_total,0.40612576677795137,Building_1,building
zero_net_energy,0.2902115837500896,Building_1,building
carbon_emissions_total,0.40338000540492763,Building_1,building
cost_total,0.3794446072260088,Building_1,building
discomfort_proportion,0.9691444600280504,Building_1,building
discomfort_cold_proportion,0.001402524544179523,Building_1,building
discomfort_hot_proportion,0.967741935483871,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,5.309858322143555,Building_1,building
discomfort_cold_delta_average,0.008999164899190266,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,14.934799194335938,Building_1,building
discomfort_hot_delta_average,8.630931888686286,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.45560744001764636,Building_2,building
zero_net_energy,0.4187172987900542,Building_2,building
carbon_emissions_total,0.4514545550114922,Building_2,building
cost_total,0.4168828791502804,Building_2,building
discomfort_proportion,0.9664179104477612,Building_2,building
discomfort_cold_proportion,0.0018656716417910447,Building_2,building
discomfort_hot_proportion,0.9645522388059702,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,2.5996780395507812,Building_2,building
discomfort_cold_delta_average,0.007295417785644531,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.036474227905273,Building_2,building
discomfort_hot_delta_average,6.515605529149373,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5286228509179404,Building_3,building
zero_net_energy,0.48718728869574296,Building_3,building
carbon_emissions_total,0.52517122522015,Building_3,building
cost_total,0.48942452352729915,Building_3,building
discomfort_proportion,0.9750415973377704,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9750415973377704,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.183418273925781,Building_3,building
discomfort_hot_delta_average,6.893151142862108,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
