cost_function,value,name,level
all_time_peak_average,1.0168555398665535,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.645614276062084,District,district
cost_total,0.6013043397622775,District,district
daily_one_minus_load_factor_average,1.3203481561472696,District,district
daily_peak_average,1.0467199306283756,District,district
discomfort_cold_delta_average,0.2073102765613132,District,district
discomfort_cold_delta_maximum,7.21162478129069,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.03990177742159212,District,district
discomfort_hot_delta_average,3.5129757607424703,District,district
discomfort_hot_delta_maximum,12.812539418538412,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.7135638938626045,District,district
discomfort_proportion,0.7534656712841966,District,district
electricity_consumption_total,0.6562961720934064,District,district
monthly_one_minus_load_factor_average,1.1062140470815869,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.6641463331768482,District,district
zero_net_energy,0.5340629678956647,District,district
electricity_consumption_total,0.6236701952663474,Building_1,building
zero_net_energy,0.48860067824800435,Building_1,building
carbon_emissions_total,0.6171129874006316,Building_1,building
cost_total,0.574806230648605,Building_1,building
discomfort_proportion,0.7124824684431977,Building_1,building
discomfort_cold_proportion,0.07573632538569425,Building_1,building
discomfort_hot_proportion,0.6367461430575035,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,8.808576583862305,Building_1,building
discomfort_cold_delta_average,0.3971255858739217,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,12.776180267333984,Building_1,building
discomfort_hot_delta_average,3.506773331430223,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.6631361918722887,Building_2,building
zero_net_energy,0.5207682942441948,Building_2,building
carbon_emissions_total,0.6465101000921889,Building_2,building
cost_total,0.5982210887563232,Building_2,building
discomfort_proportion,0.789179104477612,Building_2,building
discomfort_cold_proportion,0.03731343283582089,Building_2,building
discomfort_hot_proportion,0.7518656716417911,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,8.930734634399414,Building_2,building
discomfort_cold_delta_average,0.17026047971513536,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.525716781616211,Building_2,building
discomfort_hot_delta_average,3.723802108234829,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.6820821291415831,Building_3,building
zero_net_energy,0.5928199311947947,Building_3,building
carbon_emissions_total,0.6732197406934316,Building_3,building
cost_total,0.6308856998819042,Building_3,building
discomfort_proportion,0.7587354409317804,Building_3,building
discomfort_cold_proportion,0.0066555740432612314,Building_3,building
discomfort_hot_proportion,0.7520798668885191,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,3.8955631256103516,Building_3,building
discomfort_cold_delta_average,0.05454476409488254,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,11.135721206665039,Building_3,building
discomfort_hot_delta_average,3.3083518425623577,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
