episode,episode_reward,epsilon
1,-12781.50398952514,0.9704455335485082
2,-12619.620046896394,0.9417645335842487
3,-12286.520314103458,0.9139311852712282
4,-12794.361321214354,0.8869204367171575
5,-12188.595791783184,0.8607079764250578
6,-11882.147152853198,0.835270211411272
7,-12143.692601091228,0.8105842459701871
8,-11791.048646127805,0.7866278610665535
9,-11647.481187755067,0.7633794943368531
10,-12699.989242057083,0.7408182206817179
11,-12563.595379959792,0.7189237334319262
12,-12524.690289201448,0.697676326071031
13,-11755.172717836453,0.6770568744981647
14,-11638.056064284407,0.6570468198150567
15,-12103.051406025654,0.6376281516217733
16,-12105.616688968614,0.6187833918061408
17,-12626.053134496673,0.35
18,-11179.030542966444,0.5827482523739896
19,-12029.062842407031,0.5655254386995371
20,-12049.133174552582,0.5488116360940265
21,-11034.694617297268,0.5325918010068972
22,-11286.193977942225,0.5168513344916993
23,-11103.448376539163,0.5015760690660556
24,-11515.034359998768,0.4867522559599717
25,-11455.47685981961,0.4723665527410147
26,-11822.543954377063,0.4584060113052235
27,-12036.632830105715,0.44485806622294116
28,-11432.804042374715,0.43171052342907973
29,-11142.18653465202,0.418951549247639
30,-11985.18162440625,0.40656965974059917
31,-11777.54798089806,0.39455371037160114
32,-10809.94950197637,0.38289288597511206
33,-10876.541869056178,0.35
34,-11250.360810145736,0.3605949401730783
35,-11361.58702707477,0.3499377491111553
36,-11386.36591555673,0.3395955256449391
37,-11339.095439873636,0.3295589610751891
38,-11345.466150797904,0.31981902181630395
39,-11227.611572645023,0.31036694126548503
40,-11581.647723033675,0.30119421191220214
41,-11090.703652534168,0.2922925776808594
42,-10920.428919705562,0.2836540264997704
43,-10942.050729999755,0.27527078308975234
44,-11040.145416733983,0.2671353019658504
45,-10873.586810850538,0.25924026064589156
46,-10659.256306705996,0.2515785530597565
47,-11097.371722156648,0.2441432831534371
48,-10526.18001246918,0.23692775868212176
49,-11167.747425720096,0.22992548518672384
50,-11158.104454980115,0.22313016014842982
51,-10547.443030204624,0.21653566731600707
52,-11054.572072995361,0.21013607120076472
53,-10953.316824840382,0.20392561173421347
54,-10202.154168890323,0.1978986990836147
55,-10804.415173325688,0.19204990862075413
56,-10842.888471899088,0.18637397603940997
57,-11052.987595431507,0.1808657926171221
58,-10753.942946676165,0.17552040061699686
59,-10800.949880174827,0.17033298882540943
60,-10721.233740121126,0.16529888822158656
61,-10906.98408800736,0.1604135677751728
62,-11212.099911172874,0.15567263036799733
63,-11157.088307514787,0.23107180883637085
64,-10769.708256692626,0.14660696213035015
65,-10884.147857969161,0.1422740715865136
66,-11316.892889826326,0.13806923731089282
67,-10580.688755908282,0.13398867466880499
68,-10493.073232119903,0.1300287108784259
69,-10627.319281356875,0.12618578170503877
70,-10881.30199017562,0.1224564282529819
71,-11215.465514505282,0.19883729385240967
72,-11145.35134952399,0.11532512103806251
73,-10369.357210224716,0.11191674861732888
74,-10693.439059796045,0.10860910882495801
75,-10906.841664291453,0.10539922456186433
76,-10062.480114083737,0.10228420671553748
77,-11034.187131183222,0.09926125155964566
78,-10558.487445345148,0.09632763823049303
79,-10688.865881802514,0.09348072627805847
80,-10483.556405755691,0.09071795328941251
81,-10143.56086157728,0.08803683258237259
82,-11202.815778636257,0.08543495096732123
83,-10929.49215436168,0.0829099665751727
84,-10345.161294091493,0.08045960674953244
85,-10848.55948372744,0.07808166600115317
86,-10470.290398005396,0.07577400402284548
87,-10425.088716111844,0.0735345437630571
88,-10280.7475521772,0.07136126955638608
89,-10399.330851611448,0.069252225309346
90,-10172.335455629975,0.06720551273974978
91,-11151.36110549816,0.06521928966812753
92,-10305.191520427354,0.06329176835964073
93,-10594.053112343885,0.06142121391500013
94,-11263.021765833022,0.05960594270893937
95,-10856.496283942368,0.057844320874838456
96,-10526.535445348825,0.056134762834133725
97,-10261.19015556015,0.05447572986918988
98,-10435.524120185291,0.13286572873835037
99,-11285.948732089251,0.051303310331919136
100,-10340.761675097048,0.05
101,-10313.444037185516,0.05
102,-10462.099425062072,0.05
103,-10942.908942353912,0.05
104,-10946.69077736279,0.05
105,-10330.149250600487,0.05
106,-9810.530086777173,0.13
107,-10251.968771838583,0.05
108,-10183.886578624137,0.05
109,-10132.453319232678,0.05
110,-10630.119171834318,0.05
111,-9622.832548929378,0.05
112,-10023.983143454418,0.05
113,-10449.373425377999,0.05
114,-10090.375388856977,0.05
115,-10197.390179482987,0.05
116,-10261.646066190675,0.05
117,-9853.97174217808,0.05
118,-10132.391681684181,0.05
119,-9884.464762422256,0.05
120,-10605.461303861812,0.05
121,-10600.651312528484,0.05
122,-10419.878852358088,0.05
123,-10191.669956570491,0.05
124,-10369.757697653578,0.05
125,-11172.051175995264,0.05
126,-11065.101953031262,0.05
127,-10538.794615963474,0.13
128,-10482.908898105845,0.05
129,-10188.968104724307,0.05
130,-10394.280091010965,0.05
131,-9420.01700725971,0.05
132,-9734.346993989311,0.05
133,-10110.75556964759,0.05
134,-10560.469721242785,0.05
135,-9853.404025621712,0.05
136,-10486.299526154995,0.05
