episode,episode_reward,epsilon
1,-5598.924285800703,0.9704455335485082
2,-5624.212058364551,0.9417645335842487
3,-5462.0686792662145,0.9139311852712282
4,-5412.938107067055,0.8869204367171575
5,-5353.292410903692,0.8607079764250578
6,-5203.35085847817,0.835270211411272
7,-5355.253286055841,0.8105842459701871
8,-5287.139518145821,0.7866278610665535
9,-5084.698283459439,0.7633794943368531
10,-5077.382206674444,0.7408182206817179
11,-5104.50496150257,0.7189237334319262
12,-4916.966898711943,0.697676326071031
13,-4865.353438274117,0.6770568744981647
14,-4939.360954260316,0.6570468198150567
15,-4901.033432139819,0.6376281516217733
16,-4851.15523306355,0.6187833918061408
17,-4766.0832590109585,0.6004955788122659
18,-4668.756272576034,0.5827482523739896
19,-4661.075026179017,0.5655254386995371
20,-4725.45745626578,0.5488116360940265
21,-4375.265286038801,0.5325918010068972
22,-4654.492524802703,0.5168513344916993
23,-4490.728364225531,0.5015760690660556
24,-4402.030797304305,0.4867522559599717
25,-4464.766018617005,0.4723665527410147
26,-4262.879998831077,0.4584060113052235
27,-4393.168163553091,0.44485806622294116
28,-4443.58334188171,0.43171052342907973
29,-4294.015164529945,0.418951549247639
30,-4186.389289352675,0.40656965974059917
31,-4147.321041501401,0.39455371037160114
32,-4256.618987742971,0.38289288597511206
33,-4274.621915322358,0.3715766910220457
34,-4049.530668273446,0.3605949401730783
35,-4223.228208433995,0.3499377491111553
36,-4123.750210289444,0.3395955256449391
37,-4096.748484762023,0.3295589610751891
38,-4031.175476567654,0.31981902181630395
39,-4143.9826881527215,0.31036694126548503
40,-4160.254003452032,0.30119421191220214
41,-3956.312441843313,0.2922925776808594
42,-3923.3549456476517,0.2836540264997704
43,-3985.378571701498,0.27527078308975234
44,-3903.663735731437,0.2671353019658504
45,-3957.8586104574188,0.25924026064589156
46,-3923.839704419821,0.2515785530597565
47,-3986.17119739202,0.2441432831534371
48,-4054.3370055781957,0.23692775868212176
49,-3895.7729189732736,0.22992548518672384
50,-4069.0049039776263,0.22313016014842982
51,-3674.792442939044,0.21653566731600707
52,-3806.258391221196,0.21013607120076472
53,-3927.984482875915,0.20392561173421347
54,-3800.073195378267,0.1978986990836147
55,-3693.3420596865453,0.19204990862075413
56,-3776.640962331819,0.18637397603940997
57,-3729.533908052783,0.1808657926171221
58,-3717.4240013237545,0.17552040061699686
59,-3676.0440211932914,0.17033298882540943
60,-3892.0732995052044,0.16529888822158656
61,-3778.0054767674847,0.1604135677751728
62,-3876.135125013079,0.15567263036799733
63,-3509.402137111265,0.15107180883637086
64,-3283.3421130564975,0.14660696213035015
65,-3444.182666911286,0.1422740715865136
66,-3648.2533570320743,0.13806923731089282
67,-3636.566207953383,0.13398867466880499
68,-3772.795245718451,0.1300287108784259
69,-3614.3326052880857,0.12618578170503877
70,-3646.0660496560968,0.1224564282529819
71,-3502.028624785749,0.11883729385240965
72,-3530.105246657237,0.11532512103806251
73,-3603.2407866752387,0.11191674861732888
74,-3535.651371247344,0.10860910882495801
75,-3379.0229655436983,0.18539922456186433
76,-3815.7008059625377,0.10228420671553748
77,-3693.077620260383,0.09926125155964566
78,-3741.7151807796536,0.09632763823049303
79,-3805.0303142311805,0.09348072627805847
80,-3414.8551498651696,0.09071795328941251
81,-3655.743874858914,0.08803683258237259
82,-3633.5657568887455,0.08543495096732123
83,-3394.26599869329,0.1629099665751727
84,-3521.8522691421604,0.08045960674953244
85,-3440.43157468378,0.07808166600115317
86,-3430.6570063041313,0.07577400402284548
87,-3392.4762317557565,0.0735345437630571
88,-3245.980927345372,0.07136126955638608
89,-3019.5825134390548,0.069252225309346
90,-3060.16084337581,0.06720551273974978
91,-2948.535945301828,0.06521928966812753
92,-2777.1443572856792,0.06329176835964073
93,-2928.7119858530627,0.06142121391500013
94,-3181.4557779568195,0.05960594270893937
95,-3365.7541697137517,0.057844320874838456
96,-3506.299021812739,0.056134762834133725
97,-3455.8019821761977,0.05447572986918988
98,-3132.728694680382,0.05286572873835037
99,-3193.8062290471858,0.051303310331919136
100,-3264.5569053291974,0.05
101,-3327.712058572675,0.13
102,-3238.370511371036,0.05
103,-3107.7367631262155,0.05
104,-3293.9024620527443,0.05
105,-3637.6457658243958,0.05
106,-3473.8188548990574,0.05
107,-3329.917713586137,0.05
108,-3437.1156886777326,0.05
109,-3192.2387650043856,0.13
110,-3485.916828093475,0.05
111,-3174.8231300324865,0.05
112,-3178.7001494299357,0.05
113,-3392.7503054237563,0.05
114,-3571.3257276196973,0.05
115,-3581.354509468841,0.05
116,-3392.7825188772376,0.05
117,-3344.920406409562,0.13
118,-3345.463472151658,0.05
119,-3194.676554630824,0.05
120,-3445.031355028958,0.05
121,-3305.9753762027044,0.05
122,-3348.2301271438882,0.05
123,-3506.379002895992,0.05
124,-3253.4937876081576,0.05
125,-3286.995784531082,0.13
126,-2921.321143173553,0.05
127,-2894.8429747885366,0.05
128,-3090.1194379223434,0.05
129,-3359.0786665466644,0.05
130,-3560.6612633139734,0.05
131,-3384.7804582797535,0.05
132,-3501.140131441167,0.05
133,-3209.3305848883365,0.13
134,-3632.574673751326,0.05
135,-3584.4230473852026,0.05
136,-3228.6868271608496,0.05
137,-3299.6759392978997,0.05
138,-3457.2304332350204,0.05
139,-3362.3713432508584,0.05
140,-3296.428475104415,0.05
141,-3162.364533750983,0.13
142,-3316.5112446995086,0.05
143,-3167.238830237054,0.05
144,-3254.146526171287,0.05
145,-3372.5383030624016,0.05
146,-3342.916568257825,0.05
147,-3292.925452986443,0.05
148,-3446.8460562429045,0.05
