policy,grid_import_kwh,export_kwh,net_consumption_kwh,discomfort_proportion,discomfort_cold_proportion,discomfort_hot_proportion,all_rewards,cost_total_ratio,carbon_emissions_total_ratio,daily_peak_average_ratio,ramping_average_ratio,savings_vs_fixed_pct,train_sec,stability_episode,last_10_episode_reward_mean
Fixed(cool=0.50),4121.091,0.0,4121.091,0.837,0.8351,0.0019,-12360.254,1.5106,1.5555,1.1472,0.8896,0.0,,,
Q-learning (Weather reward),1165.409,145.082,1020.327,0.9355,0.0037,0.9318,-3628.22,0.4444,0.4646,0.7269,0.9963,71.721,2208.99,82.0,-4424.894
Q-learning (Energy-only reward),1125.9558054957888,171.89040823758114,954.0653972582077,0.9610946061384346,0.0014025245441795,0.959692081594255,-1180.4157656685566,0.4149311260303436,0.4460346253925876,0.7193619837779234,1.0075567189782098,72.67821056376118,,102.0,-1540.68485872912
Q-learning (Pricing reward),3859.2346357982024,199.59384340187535,3659.640792396327,0.8107872630764681,0.7476093090193784,0.0631779540570896,-9.372802652376382,1.3788398318088404,1.4777298257870426,1.4931093817480772,2.250431862388765,6.354054404569032,,,-10.789570802832364
Q-learning (Comfort reward),3614.0250919330865,19.53425896167755,3594.490832971409,0.6330503458721125,0.6281381197872132,0.0049122260848991,-10247.337565841151,1.3492216515647746,1.4161157398697497,1.2097179169003676,1.7326476916785405,12.304166738053437,,20.0,-10007.319329007378
Q-learning (Peak-shaving reward),1764.3469625515863,83.71933278487995,1680.6276297667064,0.6556302003783464,0.0822482477963567,0.5733819525819898,-3836.3406588654034,0.6717357448817634,0.7077171848398732,0.8900976725589236,1.344664384567319,57.187381629001,,,-4603.408249151789
Q-learning (Solar reward),1650.3264135401114,258.294271117833,1392.0321424222784,0.7534656712841966,0.0399017774215921,0.7135638938626045,-2857.293384546821,0.6013043397622775,0.645614276062084,1.0467199306283756,1.6641463331768482,59.95413802946571,,74.0,-3068.704453131568
Q-learning (Storage reward),1125.9558054957888,171.89040823758114,954.0653972582077,0.9610946061384346,0.0014025245441795,0.959692081594255,-1180.4157656685566,0.4149311260303436,0.4460346253925876,0.7193619837779234,1.0075567189782098,72.67821056376118,,102.0,-1540.68485872912
Q-learning (Ramping reward),1154.0227019092417,140.52649514283985,1013.4962067664019,0.957187963250864,0.0035813220014932,0.9536066412493708,-1752.7698698560123,0.4359413858981213,0.4649423885246646,0.7419399180938016,1.052327285906154,71.99715556125207,,116.0,-2307.9482043625494
Q-learning (TimeOfUse reward),1222.3764846645645,107.49929655063897,1114.8771881139255,0.9344001322147084,0.0077888956340318,0.9266112365806768,-2157.386146772129,0.4671526493365783,0.4890335690664367,0.7534831983618876,1.039234532296544,70.33852238000655,,,-2810.669287076972
Q-learning (SelfSufficiency reward),1173.5520959277055,151.34006861469243,1022.2120273130131,0.962294298925407,0.0035769609177115,0.9587173380076952,-1126.6625904561952,0.436504585032287,0.4679458813721712,0.7525159091104248,1.0809169068483029,71.5232666318772,,87.0,-1361.4715921856464
Q-learning (Combined reward),2951.10993588384,29.796644436195493,2921.3132914476446,0.4376674837581629,0.4156380038302767,0.0220294799278862,-5102.10690101222,1.100606678580631,1.1503011912845311,1.12485447904255,1.5518490349041396,28.390080784825187,,38.0,-5048.219332458531
Q-learning (NightPrecharge reward),1747.0599309796817,124.69758114137221,1622.3623498383095,0.567408729235857,0.1191785641386057,0.4482301650972511,-1887.9033567601,0.6554876010679802,0.6764969606783712,1.0409376218704762,1.581706513866223,57.60685869397979,,,-2299.0379076678137
