time_step,reward,all_rewards,grid_import_Building_1_kwh,export_Building_1_kwh,grid_import_Building_2_kwh,export_Building_2_kwh,grid_import_Building_3_kwh,export_Building_3_kwh,grid_import_kwh,export_kwh,cumulative_grid_import_kwh,cumulative_export_kwh
0,-5.139645386752277,-5.139645386752277,2.033644199371338,0.0,0.5619984865188599,0.0,1.689454197883606,0.0,4.285096883773804,0.0,4.285096883773804,0.0
1,-1.6839745004054711,-6.823619887157748,0.8462807536125183,0.0,0.18591776490211487,0.0,0.47319296002388,0.0,1.5053914785385132,0.0,5.790488362312317,0.0
2,-1.4726600649483959,-8.296279952106143,0.7249863147735596,0.0,0.18461598455905914,0.0,0.4455188810825348,0.0,1.3551211804151535,0.0,7.14560954272747,0.0
3,-1.3522917836373631,-9.648571735743506,0.6327978372573853,0.0,0.1873515099287033,0.0,0.433448851108551,0.0,1.2535981982946396,0.0,8.39920774102211,0.0
4,-1.3404934578582597,-10.989065193601766,0.6071555614471436,0.0,0.20223666727542877,0.0,0.4351603388786316,0.0,1.244552567601204,0.0,9.643760308623314,0.0
5,-1.9118836324615909,-12.900948826063356,1.00062894821167,0.0,0.23087537288665771,0.0,0.49980950355529785,0.0,1.7313138246536255,0.0,11.37507413327694,0.0
6,-3.354300748708435,-16.255249574771792,1.607621669769287,0.0,0.24817126989364624,0.0,1.033126950263977,0.0,2.8889198899269104,0.0,14.26399402320385,0.0
7,-1.9811749608502816,-18.236424535622074,0.5342340469360352,0.0,0.3452141582965851,0.0,0.8840543627738953,0.0,1.7635025680065155,0.0,16.027496591210365,0.0
8,-13.564181395953787,-31.80060593157586,4.653266429901123,0.0,2.933849573135376,0.0,2.187143325805664,0.0,9.774259328842163,0.0,25.80175592005253,0.0
9,-3.905401891423189,-35.70600782299905,0.48263463377952576,0.0,0.6722479462623596,0.0,2.1317636966705322,0.0,3.2866462767124176,0.0,29.088402196764946,0.0
10,-2.179013477481447,-37.885021300480496,0.0,0.3569531738758087,0.6334824562072754,0.0,1.284489393234253,0.0,1.5610186755657196,0.0,30.649420872330666,0.0
11,-4.024840580057725,-41.90986188053822,1.8172708749771118,0.0,0.6685148477554321,0.0,0.969410240650177,0.0,3.455195963382721,0.0,34.10461683571339,0.0
12,-4.211990281093831,-46.121852161632056,0.26597872376441956,0.0,0.9704316258430481,0.0,0.7307910919189453,0.0,1.967201441526413,0.0,36.0718182772398,0.0
13,-5.514216329954804,-51.63606849158686,1.7891688346862793,0.0,1.4088159799575806,0.0,1.4514431953430176,0.0,4.649428009986877,0.0,40.72124628722668,0.0
14,-5.970012163361216,-57.60608065494808,2.1316745281219482,0.0,1.525498867034912,0.0,1.3094712495803833,0.0,4.966644644737244,0.0,45.68789093196392,0.0
15,-14.438435101291061,-72.04451575623914,1.191725492477417,0.0,1.6593674421310425,0.0,0.7603843212127686,0.0,3.611477255821228,0.0,49.29936818778515,0.0
16,-18.762361974841834,-90.80687773108097,2.9125845432281494,0.0,0.8544104099273682,0.0,0.46232691407203674,0.0,4.229321867227554,0.0,53.5286900550127,0.0
17,-17.311370245392325,-108.1182479764733,1.2073426246643066,0.0,0.8695511221885681,0.0,0.8444862961769104,0.0,2.921380043029785,0.0,56.45007009804249,0.0
18,-12.040774385935222,-120.15902236240852,2.5173251628875732,0.0,1.2874456644058228,0.0,2.156512975692749,0.0,5.961283802986145,0.0,62.41135390102863,0.0
19,-11.06829792578216,-131.22732028819067,3.131718397140503,0.0,1.5174624919891357,0.0,2.3699629306793213,0.0,7.01914381980896,0.0,69.4304977208376,0.0
20,-8.788916077088235,-140.0162363652789,2.583674430847168,0.0,1.9071152210235596,0.0,2.459411382675171,0.0,6.950201034545898,0.0,76.38069875538349,0.0
21,-12.524438540299801,-152.5406749055787,1.9639720916748047,0.0,0.9507495164871216,0.0,2.657177448272705,0.0,5.571899056434631,0.0,81.95259781181812,0.0
22,-14.149945133896107,-166.6906200394748,1.448914885520935,0.0,5.647619247436523,0.0,2.662625312805176,0.0,9.759159445762634,0.0,91.71175725758076,0.0
23,-9.45835401322672,-176.1489740527015,1.383483648300171,0.0,2.596863269805908,0.0,2.7313830852508545,0.0,6.711730003356934,0.0,98.42348726093769,0.0
24,-6.004025661795449,-182.15299971449696,1.3816155195236206,0.0,2.447998523712158,0.0,1.1165059804916382,0.0,4.946120023727417,0.0,103.36960728466511,0.0
25,-10.186852773893937,-192.3398524883909,3.434953451156616,0.0,1.8686013221740723,0.0,2.5022780895233154,0.0,7.805832862854004,0.0,111.17544014751911,0.0
26,-3.6820019834617326,-196.02185447185263,1.3788419961929321,0.0,0.7318140864372253,0.0,1.1110284328460693,0.0,3.221684515476227,0.0,114.39712466299534,0.0
27,-4.726200949927543,-200.74805542178018,1.377483606338501,0.0,0.7504824995994568,0.0,1.881975531578064,0.0,4.009941637516022,0.0,118.40706630051136,0.0
28,-2.044091344960898,-202.79214676674107,1.3546943664550781,0.0,0.0,0.7330616116523743,0.4351603388786316,0.0,1.0567930936813354,0.0,119.4638593941927,0.0
29,-2.131171979689749,-204.92331874643082,1.3658525943756104,0.0,0.0,1.8337033987045288,0.49980950355529785,0.0,0.031958699226379395,0.0,119.49581809341908,0.0
30,-2.29510092471316,-207.21841967114398,1.3301458358764648,0.0,0.24327263236045837,0.0,0.4589728116989136,0.0,2.032391279935837,0.0,121.52820937335491,0.0
31,-2.47316632204932,-209.69158599319329,0.07796920090913773,0.0,0.19240280985832214,0.0,0.49188804626464844,0.0,0.7622600570321083,0.0,122.29046943038702,0.0
32,-5.281633161398123,-214.97321915459142,0.0,0.36149874329566956,1.8357616662979126,0.0,0.49013590812683105,0.0,1.964398831129074,0.0,124.2548682615161,0.0
33,-3.169583568542396,-218.14280272313383,0.5955699682235718,0.0,1.2658371925354004,0.0,0.9425197243690491,0.0,2.8039268851280212,0.0,127.05879514664412,0.0
34,-3.81036521236119,-221.953167935495,1.0900592803955078,0.0,0.9449445009231567,0.0,0.6761959195137024,0.0,2.711199700832367,0.0,129.76999484747648,0.0
35,-4.681514779089179,-226.6346827145842,1.3498703241348267,0.0,0.7865223288536072,0.0,0.47950679063796997,0.0,2.615899443626404,0.0,132.3858942911029,0.0
36,-18.228293312584455,-244.86297602716866,7.879584789276123,0.0,1.6435843706130981,0.0,1.635791540145874,0.0,11.158960700035095,0.0,143.54485499113798,0.0
37,-9.425739087682224,-254.28871511485087,3.8069448471069336,0.0,0.9558195471763611,0.0,0.7919212579727173,0.0,5.554685652256012,0.0,149.099540643394,0.0
38,-9.005661014736464,-263.29437612958736,1.5404163599014282,0.0,1.0664689540863037,0.0,1.3248486518859863,0.0,3.9317339658737183,0.0,153.0312746092677,0.0
39,-10.435001005338494,-273.72937713492587,1.399733543395996,0.0,1.8983535766601562,0.0,1.1420280933380127,0.0,4.440115213394165,0.0,157.47138982266188,0.0
40,-14.280620354531742,-288.0099974894576,2.5025556087493896,0.0,1.3194069862365723,0.0,1.876941204071045,0.0,5.698903799057007,0.0,163.17029362171888,0.0
41,-7.803872182784475,-295.81386967224205,1.9090077877044678,0.0,1.6794472932815552,0.0,1.7554574012756348,0.0,5.343912482261658,0.0,168.51420610398054,0.0
42,-12.386255391197984,-308.20012506344005,3.163917303085327,0.0,1.4173407554626465,0.0,2.4634814262390137,0.0,7.044739484786987,0.0,175.55894558876753,0.0
43,-7.875108925812097,-316.0752339892521,2.81315541267395,0.0,1.3454039096832275,0.0,2.115232467651367,0.0,6.273791790008545,0.0,181.83273737877607,0.0
44,-10.133782911430911,-326.209016900683,4.345648288726807,0.0,1.3279529809951782,0.0,1.8396000862121582,0.0,7.513201355934143,0.0,189.34593873471022,0.0
45,-7.6118882215807,-333.82090512226375,2.6901395320892334,0.0,1.3225005865097046,0.0,2.0881357192993164,0.0,6.100775837898254,0.0,195.44671457260847,0.0
46,-9.633452138789144,-343.4543572610529,1.5709470510482788,0.0,0.7563884258270264,0.0,1.3866462707519531,0.0,3.7139817476272583,0.0,199.16069632023573,0.0
47,-7.057317646699464,-350.51167490775237,1.4023902416229248,0.0,0.7521432042121887,0.0,1.1211706399917603,0.0,3.275704085826874,0.0,202.4364004060626,0.0
48,-15.074036709796808,-365.5857116175492,0.35421058535575867,0.0,0.18733283877372742,0.0,0.42208048701286316,0.0,0.9636239111423492,0.0,203.40002431720495,0.0
49,-6.766137780834895,-372.35184939838405,2.407548666000366,0.0,1.312179684638977,0.0,1.8078527450561523,0.0,5.527581095695496,0.0,208.92760541290045,0.0
50,-6.759155843002998,-379.11100524138703,2.4062469005584717,0.0,1.3108779191970825,0.0,1.805453896522522,0.0,5.522578716278076,0.0,214.45018412917852,0.0
51,-1.3211554270853612,-380.4321606684724,0.3348560631275177,0.0,0.1873515099287033,0.0,0.4188297688961029,0.0,0.9410373419523239,0.0,215.39122147113085,0.0
52,-3.797526169785664,-384.2296868382581,0.34860697388648987,0.0,0.20223666727542877,0.0,0.4351603388786316,0.0,0.9860039800405502,0.0,216.3772254511714,0.0
53,-3.856807885725276,-388.0864947239834,1.3761818408966064,0.0,0.79400634765625,0.0,1.1942349672317505,0.0,3.364423155784607,0.0,219.741648606956,0.0
54,-3.743962772278234,-391.8304574962616,1.3299883604049683,0.0,0.8021014332771301,0.0,1.1447938680648804,0.0,3.2768836617469788,0.0,223.01853226870298,0.0
55,-3.927097695910936,-395.75755519217256,1.5471336841583252,0.0,0.8617960810661316,0.0,1.0048121213912964,0.0,3.413741886615753,0.0,226.43227415531874,0.0
56,-6.363194938056966,-402.1207501302295,1.8221806287765503,0.0,1.8937938213348389,0.0,1.5604077577590942,0.0,5.276382207870483,0.0,231.70865636318922,0.0
57,-4.143717891851345,-406.26446802208085,0.4870434105396271,0.0,1.917726993560791,0.0,1.12003755569458,0.0,3.524807959794998,0.0,235.23346432298422,0.0
58,-10.726549169566466,-416.9910171916473,3.26505708694458,0.0,1.1743378639221191,0.0,3.574007034301758,0.0,8.013401985168457,0.0,243.24686630815268,0.0
59,-8.562637359721414,-425.5536545513687,2.038179636001587,0.0,2.963977336883545,0.0,1.7608380317687988,0.0,6.762995004653931,0.0,250.0098613128066,0.0
60,-4.316630985248791,-429.8702855366175,0.968116044998169,0.0,1.4920241832733154,0.0,1.2707399129867554,0.0,3.7308801412582397,0.0,253.74074145406485,0.0
61,-18.23159294018265,-448.10187847680015,1.290348768234253,0.0,0.9435139298439026,0.0,8.39208698272705,0.0,10.625949680805206,0.0,264.36669113487005,0.0
62,-4.220469526941887,-452.32234800374204,1.3718637228012085,0.0,0.9573377966880798,0.0,1.3289703130722046,0.0,3.658171832561493,0.0,268.02486296743155,0.0
63,-8.632737631833244,-460.9550856355753,3.6161797046661377,0.0,1.112687587738037,0.0,1.9139076471328735,0.0,6.642774939537048,0.0,274.6676379069686,0.0
64,-8.582177532854807,-469.5372631684301,2.9555418491363525,0.0,1.137540578842163,0.0,2.6106719970703125,0.0,6.703754425048828,0.0,281.3713923320174,0.0
65,-6.870144881392316,-476.40740804982244,2.1987667083740234,0.0,1.3441309928894043,0.0,2.071558952331543,0.0,5.614456653594971,0.0,286.9858489856124,0.0
66,-10.320593732498903,-486.7280017823213,3.041545867919922,0.0,1.4397622346878052,0.0,3.354757070541382,0.0,7.836065173149109,0.0,294.8219141587615,0.0
67,-9.078666514019744,-495.80666829634106,2.887971878051758,0.0,1.4853764772415161,0.0,2.71083664894104,0.0,7.084185004234314,0.0,301.9060991629958,0.0
68,-8.487558654096814,-504.29422695043786,2.665567398071289,0.0,1.4909443855285645,0.0,2.5525734424591064,0.0,6.70908522605896,0.0,308.6151843890548,0.0
69,-8.677585946887966,-512.9718128973258,2.6901395320892334,0.0,1.5740883350372314,0.0,2.5788698196411133,0.0,6.843097686767578,0.0,315.45828207582235,0.0
70,-6.996980100122456,-519.9687929974482,2.5373358726501465,0.0,1.3195194005966187,0.0,1.8248319625854492,0.0,5.681687235832214,0.0,321.13996931165457,0.0
71,-7.5909604487370705,-527.5597534461853,2.9260518550872803,0.0,1.3152742385864258,0.0,1.815596103668213,0.0,6.056922197341919,0.0,327.1968915089965,0.0
72,-6.782415808102959,-534.3421692542883,2.4142777919769287,0.0,1.3135948181152344,0.0,1.8109314441680908,0.0,5.538804054260254,0.0,332.73569556325674,0.0
73,-6.766137780834895,-541.1083070351232,2.407548666000366,0.0,1.312179684638977,0.0,1.8078527450561523,0.0,5.527581095695496,0.0,338.26327665895224,0.0
74,-6.759155843002998,-547.8674628781262,2.4062469005584717,0.0,1.3108779191970825,0.0,1.805453896522522,0.0,5.522578716278076,0.0,343.7858553752303,0.0
75,-6.7407713223099215,-554.6082342004361,2.3896658420562744,0.0,1.3136134147644043,0.0,1.8076807260513306,0.0,5.510959982872009,0.0,349.2968153581023,0.0
76,-6.803493606630494,-561.4117278070665,2.403416872024536,0.0,1.3284986019134521,0.0,1.8240113258361816,0.0,5.55592679977417,0.0,354.8527421578765,0.0
77,-8.61290916805656,-570.0246369751231,3.4225449562072754,0.0,1.3571373224258423,0.0,1.9166030883789062,0.0,6.696285367012024,0.0,361.5490275248885,0.0
78,-2.9857909784323082,-573.0104279535554,0.3598918616771698,0.0,0.25422030687332153,0.0,1.9131399393081665,0.0,2.527252107858658,0.0,364.0762796327472,0.0
79,-1.6119579529806567,-574.6223859065361,0.500566840171814,0.0,0.3611260652542114,0.0,0.6291292905807495,0.0,1.490822196006775,0.0,365.56710182875395,0.0
80,-6.952936644437436,-581.5753225509735,1.1729929447174072,0.0,2.054269790649414,0.0,2.417238712310791,0.0,5.644501447677612,0.0,371.21160327643156,0.0
81,-10.579863498813701,-592.1551860497872,1.855061650276184,0.0,4.142265796661377,0.0,1.922224521636963,0.0,7.919551968574524,0.0,379.1311552450061,0.0
