time_step,reward,all_rewards,grid_import_Building_1_kwh,export_Building_1_kwh,grid_import_Building_2_kwh,export_Building_2_kwh,grid_import_Building_3_kwh,export_Building_3_kwh,grid_import_kwh,export_kwh,cumulative_grid_import_kwh,cumulative_export_kwh
0,-11.275240898132324,-11.275240898132324,2.033644199371338,0.0,0.5619984865188599,0.0,1.689454197883606,0.0,4.285096883773804,0.0,4.285096883773804,0.0
1,-4.0847843289375305,-15.360025227069855,0.8462807536125183,0.0,0.18591776490211487,0.0,0.47319296002388,0.0,1.5053914785385132,0.0,5.790488362312317,0.0
2,-3.636069416999817,-18.99609464406967,0.7249863147735596,0.0,0.18461598455905914,0.0,0.4455188810825348,0.0,1.3551211804151535,0.0,7.14560954272747,0.0
3,-3.6214816570281982,-22.61757630109787,0.6327978372573853,0.0,0.1873515099287033,0.0,0.433448851108551,0.0,1.2535981982946396,0.0,8.39920774102211,0.0
4,-3.5679948925971985,-26.18557119369507,0.6071555614471436,0.0,0.20223666727542877,0.0,0.4351603388786316,0.0,1.244552567601204,0.0,9.643760308623314,0.0
5,-5.101128995418549,-31.286700189113617,1.00062894821167,0.0,0.23087537288665771,0.0,0.49980950355529785,0.0,1.7313138246536255,0.0,11.37507413327694,0.0
6,-8.166998147964478,-39.453698337078094,1.607621669769287,0.0,0.24817126989364624,0.0,1.033126950263977,0.0,2.8889198899269104,0.0,14.26399402320385,0.0
7,-5.449971318244934,-44.90366965532303,0.5342340469360352,0.0,0.3452141582965851,0.0,0.8840543627738953,0.0,1.7635025680065155,0.0,16.027496591210365,0.0
8,-28.785768032073975,-73.689437687397,4.653266429901123,0.0,2.933849573135376,0.0,2.187143325805664,0.0,9.774259328842163,0.0,25.80175592005253,0.0
9,-9.824753284454346,-83.51419097185135,0.48263463377952576,0.0,0.6722479462623596,0.0,2.1317636966705322,0.0,3.2866462767124176,0.0,29.088402196764946,0.0
10,-5.8040266036987305,-89.31821757555008,0.0,0.3569531738758087,0.6334824562072754,0.0,1.284489393234253,0.0,1.5610186755657196,0.0,30.649420872330666,0.0
11,-7.760065853595734,-97.07828342914581,1.8172708749771118,0.0,0.6685148477554321,0.0,0.969410240650177,0.0,3.455195963382721,0.0,34.10461683571339,0.0
12,-18.068639397621155,-115.14692282676697,0.26597872376441956,0.0,0.9704316258430481,0.0,0.7307910919189453,0.0,1.967201441526413,0.0,36.0718182772398,0.0
13,-21.58654823899269,-136.73347106575966,0.0,0.26564109325408936,0.28255409002304077,0.0,1.4514431953430176,0.0,1.468356192111969,0.0,37.54017446935177,0.0
14,-9.97236156463623,-146.7058326303959,3.1590793132781982,0.0,2.088629961013794,0.0,2.003896951675415,0.0,7.251606225967407,0.0,44.791780695319176,0.0
15,-71.27005806565285,-217.97589069604874,0.16432055830955505,0.0,1.0962364673614502,0.0,0.06595885753631592,0.0,1.3265158832073212,0.0,46.1182965785265,0.0
16,-137.04476916790009,-355.0206598639488,2.9125845432281494,0.0,0.2912794053554535,0.0,0.0,0.2320985496044159,2.971765398979187,0.0,49.090061977505684,0.0
