cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.4460346253925876,District,district
cost_total,0.41493112603034366,District,district
daily_one_minus_load_factor_average,1.3070881854504652,District,district
daily_peak_average,0.7193619837779234,District,district
discomfort_cold_delta_average,0.01175285401167693,District,district
discomfort_cold_delta_maximum,3.566455523173014,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.001402524544179523,District,district
discomfort_hot_delta_average,7.6807457650149304,District,district
discomfort_hot_delta_maximum,15.081984202067057,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.959692081594255,District,district
discomfort_proportion,0.9610946061384346,District,district
electricity_consumption_total,0.44918859637940955,District,district
monthly_one_minus_load_factor_average,1.1253030782341604,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.0075567189782098,District,district
zero_net_energy,0.3694728176512438,District,district
electricity_consumption_total,0.40091668909014366,Building_1,building
zero_net_energy,0.27975076876259436,Building_1,building
carbon_emissions_total,0.3987491230558303,Building_1,building
cost_total,0.3748308512695944,Building_1,building
discomfort_proportion,0.967741935483871,Building_1,building
discomfort_cold_proportion,0.004207573632538569,Building_1,building
discomfort_hot_proportion,0.9635343618513323,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,8.565276145935059,Building_1,building
discomfort_cold_delta_average,0.02693607144885593,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.79342269897461,Building_1,building
discomfort_hot_delta_average,8.930059109793769,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.4242537191311225,Building_2,building
zero_net_energy,0.3713287027252523,Building_2,building
carbon_emissions_total,0.4203119166121258,Building_2,building
cost_total,0.38619637839796545,Building_2,building
discomfort_proportion,0.9421641791044776,Building_2,building
discomfort_cold_proportion,0.0,Building_2,building
discomfort_hot_proportion,0.9421641791044776,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,1.9019889831542969,Building_2,building
discomfort_cold_delta_average,0.007649580637613933,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.77113151550293,Building_2,building
discomfort_hot_delta_average,6.572800215085348,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5223953809169626,Building_3,building
zero_net_energy,0.45733898146588453,Building_3,building
carbon_emissions_total,0.5190428365098068,Building_3,building
cost_total,0.4837661484234712,Building_3,building
discomfort_proportion,0.9733777038269551,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9733777038269551,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.681398391723633,Building_3,building
discomfort_hot_delta_average,7.539377970165677,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
