cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.4890335690664367,District,district
cost_total,0.4671526493365783,District,district
daily_one_minus_load_factor_average,1.266359308736948,District,district
daily_peak_average,0.7534831983618876,District,district
discomfort_cold_delta_average,0.037186424820511425,District,district
discomfort_cold_delta_maximum,4.310174942016602,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.007788895634031804,District,district
discomfort_hot_delta_average,6.23820098594383,District,district
discomfort_hot_delta_maximum,13.83969243367513,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9266112365806768,District,district
discomfort_proportion,0.9344001322147085,District,district
electricity_consumption_total,0.4916279625065043,District,district
monthly_one_minus_load_factor_average,1.1086514720591314,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.039234532296544,District,district
zero_net_energy,0.4352560883775534,District,district
electricity_consumption_total,0.4433434483056297,Building_1,building
zero_net_energy,0.3327995897131928,Building_1,building
carbon_emissions_total,0.44123769772977695,Building_1,building
cost_total,0.41367963561053195,Building_1,building
discomfort_proportion,0.908835904628331,Building_1,building
discomfort_cold_proportion,0.019635343618513323,Building_1,building
discomfort_hot_proportion,0.8892005610098177,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,8.275472640991211,Building_1,building
discomfort_cold_delta_average,0.08428785536024305,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,14.770130157470703,Building_1,building
discomfort_hot_delta_average,6.8691563579771255,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.48544823029970485,Building_2,building
zero_net_energy,0.46580907726405163,Building_2,building
carbon_emissions_total,0.48419164248851265,Building_2,building
cost_total,0.47649162932985095,Building_2,building
discomfort_proportion,0.9309701492537313,Building_2,building
discomfort_cold_proportion,0.0037313432835820895,Building_2,building
discomfort_hot_proportion,0.9272388059701493,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,4.422950744628906,Building_2,building
discomfort_cold_delta_average,0.026598509152730307,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.022443771362305,Building_2,building
discomfort_hot_delta_average,5.804388973448011,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5460922089141783,Building_3,building
zero_net_energy,0.5071595981554159,Building_3,building
carbon_emissions_total,0.5416713669810205,Building_3,building
cost_total,0.5112866830693521,Building_3,building
discomfort_proportion,0.9633943427620633,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9633943427620633,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,12.726503372192383,Building_3,building
discomfort_hot_delta_average,6.041057626406352,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
