episode,episode_reward,epsilon
1,-13097.798822335899,0.9704455335485082
2,-13196.510919265915,0.9417645335842487
3,-12700.324947477318,0.9139311852712282
4,-12690.60902207275,0.8869204367171575
5,-12388.284209743142,0.8607079764250578
6,-11992.815702578053,0.835270211411272
7,-12397.237557553453,0.8105842459701871
8,-12255.566989295185,0.7866278610665535
9,-11767.093738383497,0.7633794943368531
10,-11515.75168059743,0.7408182206817179
11,-11577.898383881373,0.7189237334319262
12,-11124.159745251294,0.697676326071031
13,-11070.82834018441,0.6770568744981647
14,-11024.888045964763,0.6570468198150567
15,-10973.977588179987,0.6376281516217733
16,-10821.72471743729,0.6187833918061408
17,-10432.602520121029,0.6004955788122659
18,-10214.657617168967,0.5827482523739896
19,-10390.416100813592,0.5655254386995371
20,-10295.957266254874,0.5488116360940265
21,-9703.854979359312,0.5325918010068972
22,-9949.976762202568,0.5168513344916993
23,-9252.245347253978,0.5015760690660556
24,-9593.18487903662,0.4867522559599717
25,-9487.919547929429,0.4723665527410147
26,-8889.046970756492,0.4584060113052235
27,-9030.167054283782,0.44485806622294116
28,-9208.74567262386,0.43171052342907973
29,-8838.687490066048,0.418951549247639
30,-8523.709222508594,0.40656965974059917
31,-8878.965678038541,0.39455371037160114
32,-8509.257984193973,0.38289288597511206
33,-8290.993816687493,0.3715766910220457
34,-8301.851161755389,0.3605949401730783
35,-8146.1455804656725,0.3499377491111553
36,-8113.623105306178,0.3395955256449391
37,-8236.53658302559,0.3295589610751891
38,-7806.4300114978105,0.31981902181630395
39,-7613.909048474336,0.31036694126548503
40,-7998.725334657356,0.30119421191220214
41,-7857.257475800347,0.2922925776808594
42,-7916.31657075882,0.2836540264997704
43,-7766.457325941883,0.27527078308975234
44,-7397.585668907501,0.2671353019658504
45,-7364.624472711002,0.25924026064589156
46,-7632.243108542636,0.2515785530597565
47,-7618.139112312347,0.2441432831534371
48,-7633.3997735204175,0.23692775868212176
49,-7334.331030741101,0.22992548518672384
50,-6933.244402755052,0.22313016014842982
51,-6941.434956036275,0.21653566731600707
52,-6839.139344235649,0.21013607120076472
53,-6853.967432033038,0.20392561173421347
54,-6829.749367940007,0.1978986990836147
55,-7053.78902934771,0.19204990862075413
56,-7028.829481653869,0.18637397603940997
57,-6545.415509825572,0.1808657926171221
58,-6415.607171546901,0.17552040061699686
59,-6937.589783577248,0.17033298882540943
60,-6467.822423833888,0.16529888822158656
61,-6683.142034422606,0.1604135677751728
62,-6515.875726683065,0.15567263036799733
63,-6194.288770917337,0.15107180883637086
64,-6297.3952204464,0.14660696213035015
65,-6494.0682161368895,0.1422740715865136
66,-6463.891251800582,0.13806923731089282
67,-6446.267605784116,0.13398867466880499
68,-6164.458748669829,0.1300287108784259
69,-6596.695476007648,0.12618578170503877
