time_step,reward,all_rewards,grid_import_Building_1_kwh,export_Building_1_kwh,grid_import_Building_2_kwh,export_Building_2_kwh,grid_import_Building_3_kwh,export_Building_3_kwh,grid_import_kwh,export_kwh,cumulative_grid_import_kwh,cumulative_export_kwh
0,-5.265020516915225,-5.265020516915225,2.033644199371338,0.0,0.5619984865188599,0.0,1.689454197883606,0.0,4.285096883773804,0.0,4.285096883773804,0.0
1,-3.2178145246587033,-8.482835041573928,0.8462807536125183,0.0,0.18591776490211487,0.0,0.47319296002388,0.0,1.5053914785385132,0.0,5.790488362312317,0.0
2,-3.5578388578963764,-12.040673899470304,0.7249863147735596,0.0,0.18461598455905914,0.0,0.4455188810825348,0.0,1.3551211804151535,0.0,7.14560954272747,0.0
3,-5.5487676106546076,-17.589441510124914,0.6327978372573853,0.0,0.1873515099287033,0.0,0.433448851108551,0.0,1.2535981982946396,0.0,8.39920774102211,0.0
4,-5.881938934326172,-23.471380444451086,0.6071555614471436,0.0,0.20223666727542877,0.0,0.4351603388786316,0.0,1.244552567601204,0.0,9.643760308623314,0.0
5,-6.53942346572876,-30.010803910179845,1.00062894821167,0.0,0.23087537288665771,0.0,0.49980950355529785,0.0,1.7313138246536255,0.0,11.37507413327694,0.0
6,-8.102548599243164,-38.11335250942301,1.607621669769287,0.0,0.24817126989364624,0.0,1.033126950263977,0.0,2.8889198899269104,0.0,14.26399402320385,0.0
7,-6.583591461181641,-44.69694397060465,0.5342340469360352,0.0,0.3452141582965851,0.0,0.8840543627738953,0.0,1.7635025680065155,0.0,16.027496591210365,0.0
8,-17.398468017578125,-62.095411988182775,4.653266429901123,0.0,2.933849573135376,0.0,2.187143325805664,0.0,9.774259328842163,0.0,25.80175592005253,0.0
9,-8.640545845031738,-70.73595783321451,0.48263463377952576,0.0,0.6722479462623596,0.0,2.1317636966705322,0.0,3.2866462767124176,0.0,29.088402196764946,0.0
10,-7.043096542358398,-77.77905437557291,0.0,0.3569531738758087,0.6334824562072754,0.0,1.284489393234253,0.0,1.5610186755657196,0.0,30.649420872330666,0.0
11,-7.931988184328331,-85.71104255990124,1.8172708749771118,0.0,0.6685148477554321,0.0,0.969410240650177,0.0,3.455195963382721,0.0,34.10461683571339,0.0
12,-4.23628045814509,-89.94732301804633,0.26597872376441956,0.0,0.9704316258430481,0.0,0.7307910919189453,0.0,1.967201441526413,0.0,36.0718182772398,0.0
13,0.0,-89.94732301804633,0.0,1.293045997619629,0.0,0.2805768847465515,0.0,0.6318330764770508,0.0,2.205455958843231,36.0718182772398,2.205455958843231
14,0.0,-89.94732301804633,0.0,0.95054030418396,0.0,0.163893923163414,0.0,0.7738050222396851,0.0,1.888239249587059,36.0718182772398,4.09369520843029
15,-1.3265158832073212,-91.27383890125365,0.16432055830955505,0.0,1.0962364673614502,0.0,0.06595885753631592,0.0,1.3265158832073212,0.0,37.39833416044712,4.09369520843029
16,-0.2912794053554535,-91.56511830660911,0.0,0.1696302890777588,0.2912794053554535,0.0,0.0,0.2320985496044159,0.0,0.11044943332672119,37.39833416044712,4.204144641757011
17,-0.6364186704158783,-92.20153697702499,0.1799376904964447,0.0,0.3064201772212982,0.0,0.15006080269813538,0.0,0.6364186704158783,0.0,38.034752830863,4.204144641757011
18,-1.3913612067699432,-93.59289818379493,0.4625154137611389,0.0,0.16118374466896057,0.0,0.7676620483398438,0.0,1.3913612067699432,0.0,39.42611403763294,4.204144641757011
19,-2.4492211639881134,-96.04211934778304,1.0769085884094238,0.0,0.3912005126476288,0.0,0.9811120629310608,0.0,2.4492211639881134,0.0,41.875335201621056,4.204144641757011
20,-2.3802784085273743,-98.42239775631042,0.5288646817207336,0.0,0.780853271484375,0.0,1.0705604553222656,0.0,2.3802784085273743,0.0,44.25561361014843,4.204144641757011
21,-5.571899056434631,-103.99429681274505,1.9639720916748047,0.0,0.9507495164871216,0.0,2.657177448272705,0.0,5.571899056434631,0.0,49.82751266658306,4.204144641757011
22,-4.867928624153137,-108.86222543689819,1.448914885520935,0.0,0.7563884258270264,0.0,2.662625312805176,0.0,4.867928624153137,0.0,54.6954412907362,4.204144641757011
23,-4.867009937763214,-113.7292353746614,1.383483648300171,0.0,0.7521432042121887,0.0,2.7313830852508545,0.0,4.867009937763214,0.0,59.56245122849941,4.204144641757011
24,-4.343591406057779,-118.07282678071918,1.3816155195236206,0.0,0.7504638433456421,0.0,1.1165059804916382,0.0,3.248585343360901,0.0,62.81103657186031,4.204144641757011
25,-9.834789714934045,-127.90761649565323,3.554816246032715,0.0,3.3812859058380127,0.0,1.9707965850830078,0.0,8.906898736953735,0.0,71.71793530881405,4.204144641757011
26,-2.6941534759671257,-130.60176997162034,0.3514370918273926,0.0,0.16868312656879425,0.0,0.4166029393672943,0.0,0.9367231577634811,0.0,72.65465846657753,4.204144641757011
27,-4.565525054931641,-135.16729502655198,0.35007867217063904,0.0,0.1873515099287033,0.0,1.1875500679016113,0.0,1.7249802500009537,0.0,74.37963871657848,4.204144641757011
28,-4.927340507507324,-140.0946355340593,1.3546943664550781,0.0,0.20223666727542877,0.0,0.4351603388786316,0.0,1.9920913726091385,0.0,76.37173008918762,4.204144641757011
29,-5.0695576667785645,-145.16419320083787,1.3658525943756104,0.0,0.23087537288665771,0.0,0.49980950355529785,0.0,2.096537470817566,0.0,78.46826756000519,4.204144641757011
30,-4.669992446899414,-149.83418564773729,0.0,0.047654762864112854,0.0,1.1898976564407349,0.0,0.9063526391983032,0.0,2.143905058503151,78.46826756000519,6.348049700260162
31,-6.714064598083496,-156.54825024582078,0.0,1.4331380128860474,0.0,1.266248106956482,0.4677984118461609,0.0,0.0,2.2315877079963684,78.46826756000519,8.57963740825653
32,-8.41100025177002,-164.9592504975908,0.0,0.371807336807251,2.437044620513916,0.0,0.49013590812683105,0.0,2.555373191833496,0.0,81.02364075183868,8.57963740825653
33,-8.940299034118652,-173.89954953170945,2.768331289291382,0.0,3.332940101623535,0.0,1.799170970916748,0.0,7.900442361831665,0.0,88.92408311367035,8.57963740825653
34,-2.1982154846191406,-176.0977650163286,0.2160319685935974,0.0,0.5366774201393127,0.0,1.141411542892456,0.0,1.8941209316253662,0.0,90.81820404529572,8.57963740825653
35,-0.7944045370913668,-176.89216955341996,0.3307456970214844,0.0,0.231516033411026,0.0,0.0,0.1660853773355484,0.396176353096962,0.0,91.21438039839268,8.57963740825653
36,-5.7059623157298835,-182.59813186914985,3.894463300704956,0.0,0.0,0.9773421287536621,0.0,0.8659595251083374,2.0511616468429565,0.0,93.26554204523563,8.57963740825653
37,-0.6814809441566467,-183.2796128133065,0.6814809441566467,0.0,0.0,1.676586389541626,0.0,1.0640321969985962,0.0,2.0591376423835754,93.26554204523563,10.638775050640106
38,-0.9359683096408844,-184.21558112294738,0.4717845320701599,0.0,0.4641837775707245,0.0,0.0,0.3477395176887512,0.5882287919521332,0.0,93.85377083718777,10.638775050640106
39,-2.155153900384903,-186.3707350233323,0.3723286986351013,0.0,1.335222601890564,0.0,0.44760259985923767,0.0,2.155153900384903,0.0,96.00892473757267,10.638775050640106
40,-3.4139423966407776,-189.78467741997306,1.4751505851745605,0.0,0.7562760710716248,0.0,1.1825157403945923,0.0,3.4139423966407776,0.0,99.42286713421345,10.638775050640106
41,-1.9426348805427551,-191.72731230051582,0.881602942943573,0.0,0.0,0.00994577631354332,1.0610319375991821,0.0,1.9326891042292118,0.0,101.35555623844266,10.638775050640106
