episode,episode_reward,epsilon
1,-11299.971895096756,0.9704455335485082
2,-11417.818146594755,0.9417645335842487
3,-11060.796226291533,0.9139311852712282
4,-10947.741839387838,0.8869204367171575
5,-10828.875809605855,0.8607079764250578
6,-10645.350020399706,0.835270211411272
7,-10722.654009613001,0.8105842459701871
8,-10605.865629194326,0.7866278610665535
9,-10020.108396496416,0.7633794943368531
10,-10167.681343533579,0.7408182206817179
11,-9685.174718922803,0.7189237334319262
12,-9564.329190390716,0.697676326071031
13,-9581.60578700665,0.6770568744981647
14,-9640.381236053072,0.6570468198150567
15,-9405.80814878138,0.6376281516217733
16,-9158.494355340505,0.6187833918061408
17,-8937.102716648551,0.6004955788122659
18,-8995.993689624334,0.5827482523739896
19,-8906.523803002376,0.5655254386995371
20,-8502.79217119334,0.5488116360940265
21,-8385.437045482358,0.5325918010068972
22,-8341.468377272105,0.5168513344916993
23,-8131.911784955994,0.5015760690660556
24,-8235.714387210839,0.4867522559599717
25,-7658.364425021255,0.4723665527410147
26,-7816.464116854025,0.4584060113052235
27,-7837.509723681727,0.44485806622294116
28,-7770.389812185196,0.43171052342907973
29,-7600.817347407417,0.418951549247639
30,-7574.473622445732,0.40656965974059917
31,-7326.1266866068945,0.39455371037160114
32,-7205.268489841853,0.38289288597511206
33,-7214.191057487915,0.3715766910220457
34,-7034.800916567975,0.3605949401730783
35,-7067.803104354382,0.3499377491111553
36,-7058.206661669318,0.3395955256449391
37,-6824.9217928582775,0.3295589610751891
38,-6530.623551245642,0.31981902181630395
39,-6805.410798432523,0.31036694126548503
40,-6931.890064954641,0.30119421191220214
41,-6815.671716223159,0.2922925776808594
42,-6439.043007467209,0.2836540264997704
43,-6342.8633071331915,0.27527078308975234
44,-6217.752265272291,0.2671353019658504
45,-6341.318287113966,0.25924026064589156
46,-6427.423710472556,0.2515785530597565
47,-6495.499781383132,0.2441432831534371
48,-6411.562774329127,0.23692775868212176
49,-6181.037493451912,0.22992548518672384
50,-6055.577733501596,0.22313016014842982
51,-6037.426001151156,0.21653566731600707
52,-6114.503989734145,0.21013607120076472
53,-6232.3805826974,0.20392561173421347
54,-5968.068722528275,0.1978986990836147
55,-6073.979543624005,0.19204990862075413
56,-5779.570119527695,0.18637397603940997
57,-5787.738238823182,0.1808657926171221
58,-5801.114470092064,0.17552040061699686
59,-5822.407837825659,0.17033298882540943
60,-5794.706740422501,0.16529888822158656
61,-5349.5405693852945,0.1604135677751728
62,-5633.663490760418,0.15567263036799733
63,-5573.458418382989,0.15107180883637086
64,-5621.8243743332905,0.14660696213035015
65,-5675.821605981838,0.1422740715865136
66,-5667.48238768812,0.13806923731089282
67,-5320.409005237602,0.13398867466880499
68,-5458.115274496964,0.1300287108784259
69,-5435.492385095723,0.12618578170503877
70,-5208.636582458673,0.1224564282529819
71,-5276.93187466605,0.11883729385240965
72,-5297.43935576652,0.11532512103806251
73,-5655.191159810403,0.11191674861732888
74,-5463.406379252717,0.10860910882495801
75,-5396.020033614409,0.10539922456186433
76,-5141.330037512099,0.10228420671553748
77,-5133.662882353634,0.09926125155964566
78,-5309.921255554546,0.09632763823049303
79,-4992.135869107947,0.09348072627805847
80,-5149.109080193014,0.09071795328941251
81,-5180.60909728981,0.08803683258237259
82,-5041.857086354812,0.08543495096732123
83,-5214.173528683232,0.0829099665751727
84,-5221.761281129236,0.08045960674953244
85,-5126.207692599377,0.07808166600115317
86,-4969.236666461663,0.07577400402284548
87,-4907.078349643935,0.0735345437630571
88,-4798.102364109743,0.07136126955638608
89,-4955.484581764193,0.069252225309346
90,-5062.562041279619,0.06720551273974978
91,-5047.540386614507,0.06521928966812753
92,-4813.303570987468,0.06329176835964073
93,-5006.031523468327,0.06142121391500013
94,-4903.455258578151,0.05960594270893937
95,-4750.202137837004,0.057844320874838456
96,-4650.118221068535,0.056134762834133725
97,-4984.6232621927675,0.05447572986918988
98,-5247.888971709649,0.05286572873835037
99,-4891.501951967461,0.051303310331919136
100,-4873.067123199489,0.05
101,-4912.817057475323,0.05
102,-4625.385451621542,0.05
103,-4925.6268826938085,0.05
104,-4808.330891850363,0.13
105,-5669.077743105261,0.05
106,-4527.42830701828,0.05
107,-4660.281080618735,0.05
108,-4524.686747729847,0.05
109,-4744.79299719706,0.05
110,-4704.857954213293,0.05
111,-4591.208803876265,0.05
112,-4409.053797592454,0.05
113,-4508.413718221856,0.05
114,-4599.606101456219,0.05
115,-4630.791299387348,0.05
116,-4904.277041767116,0.05
117,-4686.966742333417,0.05
118,-4532.217584368033,0.05
119,-4482.030819523252,0.05
120,-4512.981848524122,0.05
121,-4468.499845043301,0.05
122,-4490.510584969092,0.05
123,-4444.097847964341,0.05
124,-4498.91390033352,0.05
125,-4408.859959311431,0.05
126,-4448.9413384020445,0.05
127,-4460.403306800877,0.05
128,-4420.7985375322005,0.05
129,-4322.082762019889,0.05
130,-4359.820236011091,0.05
131,-4407.909992129058,0.05
132,-4395.513955456704,0.05
133,-4365.748986085918,0.05
134,-4519.224882546612,0.05
135,-4580.25557010026,0.05
136,-4443.337868801241,0.05
137,-4427.303303835747,0.05
138,-4566.44842357941,0.05
139,-4454.170157047672,0.05
140,-4521.321735380665,0.05
141,-4473.934245407341,0.13
142,-5044.158836022947,0.05
143,-4238.71138117267,0.05
144,-4205.723739403424,0.05
145,-4381.268865604133,0.05
146,-4094.0366755592145,0.05
147,-4463.730675447419,0.05
148,-4267.714395577596,0.05
149,-4110.308776813559,0.05
150,-4646.15005589505,0.05
151,-4436.677319141455,0.05
152,-4165.845765878262,0.05
153,-4244.804687256638,0.05
154,-4297.120150652025,0.05
155,-4257.532048647975,0.05
156,-4274.945133630092,0.05
157,-4466.917229072778,0.05
158,-4330.908739527652,0.05
159,-4364.4920061648745,0.05
160,-4287.1308558173805,0.05
161,-4229.106733703234,0.05
162,-4276.508289190287,0.05
163,-4216.451018114256,0.05
164,-4424.375081511211,0.13
165,-5012.640434506167,0.05
166,-3929.3380969304894,0.05
167,-4045.1051373763203,0.05
168,-3999.223438114061,0.05
169,-3992.868155004757,0.05
170,-4148.31547201923,0.05
171,-4123.933127938046,0.05
172,-4161.955651681112,0.05
173,-4233.895680316335,0.05
174,-4377.313505398146,0.05
175,-4410.898186600409,0.05
176,-4338.920274137402,0.05
177,-4052.0874461805834,0.05
178,-4109.253415978657,0.13
179,-5060.066345565925,0.05
180,-3832.7965771493077,0.05
181,-3694.46987050024,0.05
182,-3932.9490055211727,0.05
183,-3907.063434078408,0.05
184,-4149.260401285298,0.05
185,-4323.115734509773,0.05
186,-4226.567856878551,0.05
187,-4103.052644531933,0.05
188,-4178.847356355459,0.05
189,-4315.870166456089,0.05
190,-4346.718245070037,0.05
191,-4311.476501540913,0.05
192,-4165.061560888963,0.13
193,-4914.910376646229,0.05
194,-3813.7317626818294,0.05
195,-3691.4036902975713,0.05
196,-4047.6174931692103,0.05
197,-3953.8563085719707,0.05
198,-4090.0362507589507,0.05
199,-4040.9219903889457,0.05
200,-3899.4474781690797,0.13
201,-4712.459337829843,0.05
202,-3838.7016920969304,0.05
203,-3917.5718258003267,0.05
204,-3917.589251897059,0.05
205,-4099.154420982261,0.05
206,-4012.307706112191,0.05
207,-4162.693269037336,0.05
208,-4061.140300031957,0.13
209,-4735.9264691774315,0.05
210,-3931.708571795583,0.05
211,-3811.873070106781,0.05
212,-3854.989462902113,0.05
213,-3830.1738342132817,0.05
214,-3828.912235902642,0.05
215,-3826.9396620247453,0.05
216,-3777.855107075055,0.05
217,-4032.717368042298,0.05
218,-3834.533472497428,0.05
219,-3682.4764285310052,0.05
220,-3808.8588238771313,0.05
221,-3959.7216849040433,0.05
222,-3470.6636193648114,0.05
223,-3746.8203054552932,0.05
224,-3754.7539425530776,0.05
225,-3830.0414264328765,0.05
226,-3945.932578470434,0.05
227,-3785.224670660344,0.05
228,-3843.3632190913354,0.05
229,-3854.1314610535733,0.05
230,-3764.646293232692,0.05
231,-3879.0296891251965,0.13
232,-4291.721663361344,0.05
233,-3616.3274721362845,0.05
234,-3704.4293906810635,0.05
235,-3805.960540039123,0.05
236,-3879.369472695391,0.05
237,-3877.360993675795,0.05
238,-3876.9822062517246,0.05
239,-4029.2397226535636,0.13
240,-4479.330127754077,0.05
241,-3719.592537538229,0.05
242,-3857.345769327635,0.05
243,-3837.750081102094,0.05
244,-3654.8594246874877,0.05
245,-3697.8168613569865,0.05
246,-3782.858909599674,0.05
247,-3816.275550401319,0.13
248,-4649.484255859781,0.05
249,-3824.5796575178274,0.05
250,-3643.2643439319354,0.05
251,-3807.9324694862357,0.05
252,-3755.9914557231764,0.05
253,-3817.178437089139,0.05
254,-3816.9415643985794,0.05
255,-3756.969146984953,0.13
256,-4416.34836969674,0.05
257,-3794.0048888035535,0.05
258,-3540.9620440206604,0.05
259,-3546.941535045527,0.05
260,-3694.9409803808717,0.05
261,-3661.738013556397,0.05
262,-3640.9831242213013,0.05
263,-3695.969822000512,0.05
264,-3725.769879379338,0.05
265,-3845.640644548056,0.05
266,-3532.5993439599974,0.05
267,-3590.201358647155,0.05
268,-3746.266255716469,0.05
269,-3820.79102756765,0.05
270,-3716.0136299394267,0.13
271,-4607.909950872277,0.05
272,-3588.681705531617,0.05
273,-3570.6993262475103,0.05
274,-3631.845292122564,0.05
275,-3700.990500385063,0.05
276,-3485.20458657448,0.05
277,-3706.561042099826,0.05
278,-3849.817094186619,0.05
279,-3861.8027910838687,0.05
280,-3926.7876030753428,0.05
281,-3688.2507354466934,0.05
282,-3881.762595776207,0.05
283,-3701.943379333854,0.05
284,-3858.696562896493,0.13
285,-4227.65453008329,0.05
286,-3492.616820276295,0.05
287,-3338.702938519279,0.05
288,-3617.351309746066,0.05
289,-3601.4967716627434,0.05
290,-3706.611177666169,0.05
291,-3674.216276069083,0.05
292,-3687.1282734721217,0.05
293,-3536.374249766063,0.05
294,-3680.03489067242,0.05
295,-3758.479558957689,0.05
296,-3442.4260983651657,0.05
297,-3550.1487655275505,0.05
298,-3605.9872745872085,0.13
299,-4239.977018103054,0.05
300,-3563.1084814833357,0.05
