episode,episode_reward,epsilon
1,-1791.8398765325546,0.9704455335485082
2,-1819.6443571941927,0.9417645335842487
3,-1772.6850098561845,0.9139311852712282
4,-1748.754068103619,0.8869204367171575
5,-1812.494540259242,0.8607079764250578
6,-1798.5220833942294,0.835270211411272
7,-1705.744877193123,0.8105842459701871
8,-1724.4675140343606,0.7866278610665535
9,-1609.1844690777361,0.7633794943368531
10,-1734.001762861386,0.7408182206817179
11,-1605.6506432518363,0.7189237334319262
12,-1628.064617964439,0.697676326071031
13,-1625.2087565460242,0.6770568744981647
14,-1562.647375639528,0.6570468198150567
15,-1596.2832496562041,0.6376281516217733
16,-1541.1626830184832,0.6187833918061408
17,-1471.0778586672968,0.6004955788122659
18,-1473.4083221224137,0.5827482523739896
19,-1435.0657163001597,0.5655254386995371
20,-1460.6486161677167,0.5488116360940265
21,-1434.4851760258898,0.5325918010068972
22,-1437.0813415985322,0.5168513344916993
23,-1451.2125748746912,0.5015760690660556
24,-1399.9935180610046,0.4867522559599717
25,-1393.6894884617068,0.4723665527410147
26,-1292.917982998304,0.4584060113052235
27,-1352.6183601653565,0.44485806622294116
28,-1218.4526255214587,0.43171052342907973
29,-1212.6946260137483,0.418951549247639
30,-1273.5086814686656,0.40656965974059917
31,-1213.9959436268546,0.39455371037160114
32,-1276.8261133823544,0.38289288597511206
33,-1224.0318156676367,0.3715766910220457
34,-1292.8982905843295,0.3605949401730783
35,-1256.466178287752,0.3499377491111553
36,-1174.712559861131,0.3395955256449391
37,-1126.830025216972,0.3295589610751891
38,-1110.1677207034081,0.31981902181630395
39,-1093.7239033128135,0.31036694126548503
40,-1155.8853384060203,0.30119421191220214
41,-1132.0914351968095,0.2922925776808594
42,-1084.005923118908,0.2836540264997704
43,-1059.0599753884599,0.27527078308975234
44,-1141.351927981712,0.2671353019658504
45,-1073.0696807614877,0.25924026064589156
46,-1110.9153711190447,0.2515785530597565
47,-1058.4039742364548,0.2441432831534371
48,-1061.5518818571582,0.23692775868212176
49,-1083.8864819621667,0.22992548518672384
50,-1079.29315838404,0.22313016014842982
51,-1018.8440752923489,0.21653566731600707
52,-1102.303268333897,0.21013607120076472
53,-1066.7178151002154,0.20392561173421347
54,-1038.6135678780265,0.1978986990836147
55,-1031.6962170852348,0.19204990862075413
56,-1008.3365882979706,0.18637397603940997
57,-1018.8746398286894,0.1808657926171221
58,-1014.4551880005747,0.17552040061699686
59,-1028.0410512508824,0.17033298882540943
60,-993.2362670320435,0.16529888822158656
61,-963.1211940632202,0.1604135677751728
62,-930.1030608620495,0.15567263036799733
63,-947.6750986296684,0.15107180883637086
64,-936.2130551105365,0.14660696213035015
65,-1000.4035572572611,0.1422740715865136
66,-956.1303661963902,0.13806923731089282
67,-942.0856811376289,0.13398867466880499
68,-969.3808333603665,0.1300287108784259
69,-904.9597332663834,0.12618578170503877
70,-988.0798235484399,0.1224564282529819
71,-973.1703560883179,0.11883729385240965
72,-977.158268715255,0.11532512103806251
73,-906.985628280323,0.11191674861732888
74,-919.5863389642909,0.10860910882495801
