episode,episode_reward,epsilon
1,-3875.397051686126,0.9704455335485082
2,-3973.251776671264,0.9417645335842487
3,-3870.3857971656716,0.9139311852712282
4,-3808.328250672072,0.8869204367171575
5,-3924.884866385041,0.8607079764250578
6,-3905.6101271057432,0.835270211411272
7,-3719.094206631911,0.8105842459701871
8,-3746.8799132418358,0.7866278610665535
9,-3474.8280994738834,0.7633794943368531
10,-3758.1091003470156,0.7408182206817179
11,-3481.369652211784,0.7189237334319262
12,-3534.774363943197,0.697676326071031
13,-3514.9482536137825,0.6770568744981647
14,-3401.195777703193,0.6570468198150567
15,-3479.540807447954,0.6376281516217733
16,-3326.159901996285,0.6187833918061408
17,-3184.85187885255,0.6004955788122659
18,-3144.1098964711186,0.5827482523739896
19,-3098.574143622344,0.5655254386995371
20,-3166.0665721203127,0.5488116360940265
21,-3052.095468917823,0.5325918010068972
22,-3108.6041918211904,0.5168513344916993
23,-3131.7989291948693,0.5015760690660556
24,-2989.4709233260555,0.4867522559599717
25,-3002.468544896891,0.4723665527410147
26,-2835.957552893254,0.4584060113052235
27,-2971.7874025545125,0.44485806622294116
28,-2643.6188954400272,0.43171052342907973
29,-2553.6960741419716,0.418951549247639
30,-2703.0929873528307,0.40656965974059917
31,-2655.0109441629734,0.39455371037160114
32,-2740.1761364750323,0.38289288597511206
33,-2649.628043341249,0.3715766910220457
34,-2789.8828715423815,0.3605949401730783
35,-2695.3402886425224,0.3499377491111553
36,-2611.286788445614,0.3395955256449391
37,-2431.144815774514,0.3295589610751891
38,-2334.855703092649,0.31981902181630395
39,-2341.728955053934,0.31036694126548503
40,-2540.3169537864424,0.30119421191220214
41,-2375.8561385526086,0.2922925776808594
42,-2460.9174886270903,0.2836540264997704
43,-2399.7251626575417,0.27527078308975234
44,-2422.976802574042,0.2671353019658504
45,-2378.9599431866427,0.25924026064589156
46,-2457.025336000331,0.2515785530597565
47,-2243.4418634005997,0.2441432831534371
48,-2314.565637733239,0.23692775868212176
49,-2434.6935898181855,0.22992548518672384
50,-2315.370211208612,0.22313016014842982
51,-2241.4098983243075,0.21653566731600707
52,-2319.1479913584567,0.21013607120076472
53,-2325.904845152447,0.20392561173421347
54,-2208.3636380228327,0.1978986990836147
55,-2161.897638337721,0.19204990862075413
56,-2143.212082809646,0.18637397603940997
57,-2167.9446519372223,0.1808657926171221
58,-2084.9459647022104,0.17552040061699686
59,-2220.426361246397,0.17033298882540943
60,-2165.4267589164074,0.16529888822158656
61,-2078.948768035179,0.1604135677751728
62,-2031.6664732039994,0.15567263036799733
63,-2074.7045821135807,0.15107180883637086
64,-2032.4975595093276,0.14660696213035015
65,-2147.8981168442756,0.1422740715865136
66,-2069.1944623176423,0.13806923731089282
67,-2081.6615941908285,0.13398867466880499
68,-2102.949423046925,0.1300287108784259
69,-1908.0756792454201,0.12618578170503877
70,-2186.274228172747,0.1224564282529819
71,-2106.283527832087,0.11883729385240965
72,-2036.213656493217,0.11532512103806251
73,-2017.7753148434201,0.11191674861732888
74,-1869.4367495854053,0.10860910882495801
75,-2127.856293297204,0.10539922456186433
76,-2005.1797969176178,0.10228420671553748
77,-2062.544242665651,0.09926125155964566
78,-2135.2497325568615,0.09632763823049303
79,-1818.4516342751,0.09348072627805847
80,-1978.6825893843463,0.09071795328941251
81,-1987.6940571516125,0.08803683258237259
82,-2037.3069316689403,0.08543495096732123
83,-2004.1450538627296,0.0829099665751727
84,-1828.6340974263912,0.08045960674953244
85,-1883.6171210762786,0.07808166600115317
86,-1904.3670076839965,0.07577400402284548
87,-1867.271991763752,0.0735345437630571
88,-1937.3039595373498,0.07136126955638608
89,-2023.4117183832752,0.069252225309346
90,-1969.0908921661292,0.06720551273974978
91,-1887.6436402245747,0.06521928966812753
92,-1943.5789612505191,0.06329176835964073
93,-1944.4308166403239,0.06142121391500013
94,-1933.3915163357408,0.05960594270893937
95,-1934.1219088195433,0.057844320874838456
96,-1850.080368213782,0.13613476283413373
97,-1993.612650131796,0.05447572986918988
98,-1878.4291201177882,0.05286572873835037
99,-1998.4443180755452,0.051303310331919136
100,-1871.9741614381041,0.05
101,-1824.2776029846898,0.05
102,-1911.8293828561657,0.05
103,-1971.811418686876,0.05
104,-1936.162686437987,0.13
105,-2087.445660097888,0.05
106,-2008.180399661086,0.05
107,-1939.2678275157666,0.05
108,-2156.4162234548953,0.05
109,-2008.3760160090346,0.05
110,-1880.3507244610755,0.05
111,-1873.7356160080164,0.05
112,-1811.8774114440391,0.13
113,-2066.217720351993,0.05
114,-1893.9269464364427,0.05
115,-1873.3332902682214,0.05
116,-1877.0879291549063,0.05
117,-1825.69262774445,0.05
118,-1870.3077498668679,0.05
119,-1929.8929119400295,0.05
120,-1957.450401988456,0.05
121,-1918.556983001571,0.05
122,-1959.1565204263568,0.05
123,-2009.6786447429315,0.05
124,-1990.3613667522175,0.05
125,-1923.578121371135,0.05
126,-1975.92463224843,0.13
127,-2014.9390056324987,0.05
128,-1826.5765167440638,0.05
129,-1983.2652527696223,0.05
130,-1849.7216568903582,0.05
131,-1813.902473769855,0.05
132,-1832.2962151165284,0.05
133,-2018.401352450849,0.05
134,-2002.8981673127616,0.05
135,-1839.2588475673977,0.05
136,-1819.9715354809753,0.05
137,-1829.030075207523,0.05
138,-2014.0933583261424,0.05
139,-1897.5924629814483,0.05
140,-1974.6146494389081,0.13
141,-2093.627916634341,0.05
142,-1891.5130799199371,0.05
143,-1897.1046686105785,0.05
144,-1987.4847468916685,0.05
145,-1900.057564521134,0.05
146,-1932.3346014315327,0.05
147,-1879.8621259774857,0.05
148,-1988.7226986076812,0.13
149,-2117.6533000434183,0.05
150,-1808.5881986864435,0.05
151,-1833.4655555036059,0.05
152,-2034.8564096602622,0.05
153,-1943.1331735372412,0.05
154,-1767.9131689766327,0.05
155,-1717.8506877178304,0.05
156,-1764.123454136862,0.05
157,-1795.4995753487408,0.05
158,-1902.9636030097656,0.05
159,-1938.837520904003,0.05
160,-1740.7107023119988,0.05
161,-1851.7399348744148,0.05
162,-1783.8319163839499,0.05
163,-1820.9294006903294,0.05
164,-1856.9794908080942,0.05
165,-1849.214413074043,0.05
166,-1787.8530600468182,0.13
167,-1950.1581452828973,0.05
168,-1858.2946904411485,0.05
169,-1847.9289772960017,0.05
170,-1886.856481244541,0.05
171,-1966.7599510201867,0.05
172,-1980.0177618322225,0.05
173,-1783.7096740641512,0.05
174,-1862.4185425885478,0.13
175,-2204.726675505468,0.05
176,-1742.2542069470776,0.05
177,-1768.1800388175345,0.05
178,-1778.7942910057627,0.05
179,-1852.4002837017597,0.05
180,-1902.6350381404034,0.05
181,-1854.4386301371594,0.05
182,-1674.310520659421,0.13
183,-1923.4006361790953,0.05
184,-1672.1508819157932,0.05
185,-1758.5336475461206,0.05
186,-1807.8144164156733,0.05
187,-1927.9568647433307,0.05
188,-1819.536832506702,0.05
189,-1688.2550705856033,0.05
190,-1820.0003931095976,0.05
191,-1777.6298702621891,0.05
192,-1771.148130576284,0.05
193,-1768.421121099521,0.05
194,-1879.5581907834496,0.05
195,-1800.7112859774454,0.05
196,-1818.2600694717019,0.05
197,-1868.115758901358,0.05
198,-1734.4226253619079,0.05
199,-1939.5658195827164,0.05
200,-1825.020222818077,0.05
201,-1826.0420067989899,0.13
202,-1934.8722091621994,0.05
203,-1809.2208074965388,0.05
204,-1699.7656436776008,0.05
205,-1830.2185775349114,0.05
206,-1851.3684284289475,0.05
207,-1781.130330493716,0.05
208,-1867.003032428981,0.05
209,-1867.7809375268334,0.13
210,-1983.5377575245373,0.05
211,-1551.7893923714935,0.05
212,-1648.761076778141,0.05
213,-1743.6069679082925,0.05
214,-1825.0183876681433,0.05
215,-1819.85672525205,0.05
216,-1753.7854615040926,0.05
217,-1792.383097543906,0.05
218,-1730.2602882384545,0.05
219,-1868.5363636929687,0.05
220,-1720.3946598511131,0.05
221,-1698.3310526568662,0.05
222,-1673.7246310151309,0.05
223,-1748.7692126569082,0.13
224,-1791.7761541998125,0.05
225,-1794.5007181707515,0.05
226,-1733.491001445944,0.05
227,-1757.0917848298818,0.05
228,-1715.3982885900214,0.05
229,-1779.9466463560059,0.05
230,-1812.9873972380879,0.05
231,-1767.6481212334004,0.13
232,-2060.655856561752,0.05
233,-1739.760112057235,0.05
234,-1792.3275249948683,0.05
235,-1676.683511287783,0.05
236,-1839.0359661099687,0.05
237,-1734.7442303364849,0.05
238,-1772.3495875721753,0.05
239,-1683.2238903947714,0.13
240,-2016.808717265482,0.05
241,-1798.626695655937,0.05
242,-1759.0430291343907,0.05
243,-1711.4142467257354,0.05
244,-1659.661644402957,0.05
245,-1776.4058468027595,0.05
246,-1742.2299944520976,0.05
247,-1775.3931133035078,0.13
248,-1947.8648258301014,0.05
249,-1710.719924884871,0.05
250,-1759.8519000302585,0.05
251,-1746.3901137293471,0.05
252,-1759.3197287047708,0.05
253,-1691.0355363095612,0.05
254,-1923.7711678278338,0.05
255,-1687.5966570061819,0.13
256,-1918.2490619627051,0.05
257,-1631.0168249081714,0.05
258,-1830.9162779184762,0.05
259,-1625.3056695644898,0.05
260,-1695.6450428672217,0.05
261,-1647.9007219154676,0.05
262,-1702.4181080603976,0.05
263,-1752.7284342805888,0.05
264,-1712.053295344987,0.05
265,-1853.540022709404,0.05
266,-1683.894618671444,0.05
267,-1759.6425229239924,0.05
268,-1728.6369548070322,0.05
269,-1756.2183077336163,0.05
270,-1717.6158530589466,0.05
271,-1665.9689449707748,0.13
272,-2115.8547251236528,0.05
273,-1797.5715019392578,0.05
274,-1632.491640870575,0.05
275,-1756.5292939849116,0.05
276,-1662.4813273769919,0.05
277,-1608.2224582406454,0.05
278,-1657.4228865836164,0.05
279,-1762.457943299536,0.05
280,-1701.6012470970245,0.05
281,-1718.6086160114965,0.05
282,-1676.6077128282611,0.05
283,-1684.9422961137486,0.05
284,-1648.116867114429,0.05
285,-1604.275310111342,0.05
286,-1632.4562800762735,0.05
287,-1607.4026698806226,0.05
288,-1687.481678177938,0.05
289,-1693.611537102386,0.05
290,-1676.7606956714594,0.05
291,-1739.3470063451116,0.05
292,-1751.5968675665508,0.05
293,-1809.249360910816,0.05
294,-1718.0041419708741,0.05
295,-1767.9834429064904,0.13
296,-1991.235443278724,0.05
297,-1683.2216333864978,0.05
298,-1710.9220256265714,0.05
299,-1651.9812069113827,0.05
300,-1555.3041063242135,0.05
301,-1571.0924484735924,0.05
302,-1631.4216349737271,0.05
303,-1554.2280954740606,0.05
304,-1791.9607713713815,0.05
305,-1586.272840710061,0.05
306,-1624.7197744277134,0.05
307,-1600.1232058044743,0.05
308,-1530.653351564181,0.05
309,-1657.8022177436599,0.05
310,-1482.1094330041494,0.05
311,-1657.5501532452097,0.05
312,-1728.61751984686,0.05
313,-1573.3242378520747,0.05
314,-1570.8676053315344,0.05
315,-1572.52117203532,0.05
316,-1645.6127173577695,0.05
317,-1759.8388189342181,0.05
318,-1587.5995945707405,0.13
319,-1847.2886738074762,0.05
320,-1674.8927597934705,0.05
321,-1562.4041317196406,0.05
322,-1539.6687876168082,0.05
323,-1560.8412510336004,0.05
324,-1616.9489385316235,0.05
325,-1621.0228097693287,0.05
326,-1583.4904961352656,0.13
327,-1839.3070969464943,0.05
328,-1642.924265394746,0.05
329,-1651.4913239329662,0.05
330,-1625.6443268222079,0.05
331,-1578.7385156131265,0.05
332,-1688.3946538634955,0.05
333,-1584.800652498281,0.05
334,-1714.5191122271,0.13
335,-1966.701763238983,0.05
336,-1645.621691279949,0.05
337,-1695.6923542650134,0.05
338,-1639.0049490793665,0.05
339,-1516.267129309199,0.05
340,-1674.4293552094155,0.05
341,-1571.5861015995831,0.05
342,-1732.5197253363042,0.13
343,-1936.365609254668,0.05
344,-1628.1950602077554,0.05
345,-1662.6711912368714,0.05
346,-1494.7190137418838,0.05
347,-1578.3121326626797,0.05
348,-1543.163155231292,0.05
349,-1603.1421929825515,0.05
350,-1684.7937018725863,0.05
351,-1714.2191785849334,0.05
352,-1647.8373736848798,0.05
353,-1637.0820747104885,0.05
354,-1587.2741248946227,0.05
355,-1754.0499114800018,0.05
356,-1521.7287046606798,0.05
357,-1711.3814951233865,0.13
358,-1910.166699262269,0.05
359,-1645.2112596102254,0.05
360,-1710.8257499611054,0.05
361,-1490.4498963683716,0.05
362,-1677.7551850329749,0.05
363,-1714.0594443760185,0.05
364,-1577.679761450147,0.05
365,-1714.2512677939299,0.13
366,-2001.5166962700484,0.05
367,-1573.518031164341,0.05
368,-1676.3740160224424,0.05
369,-1503.966257683865,0.05
370,-1458.8301478934147,0.05
371,-1550.8598654803507,0.05
372,-1501.8480293739165,0.05
373,-1509.1642708349364,0.05
374,-1529.563014138503,0.05
375,-1522.6807965684975,0.05
376,-1488.3556375167636,0.05
377,-1561.3213073174438,0.05
378,-1538.3661817687093,0.05
379,-1482.0419963245383,0.05
380,-1501.4242736498793,0.05
381,-1425.8174133955883,0.05
382,-1586.3260477446624,0.05
383,-1570.385722496794,0.05
384,-1513.7313786761192,0.05
385,-1497.0233963290798,0.05
386,-1670.9796890696841,0.05
387,-1626.7864094467734,0.05
388,-1635.810779379129,0.05
389,-1631.9896165268499,0.13
390,-1878.487574551113,0.05
391,-1572.204648869591,0.05
392,-1575.8137617484158,0.05
393,-1597.7195034501824,0.05
394,-1623.2306573470285,0.05
395,-1668.4617547926669,0.05
396,-1621.3503588677252,0.05
397,-1553.8190973952799,0.13
398,-1770.028515797146,0.05
399,-1579.2886890590503,0.05
400,-1523.3164346826507,0.05
