cost_function,value,name,level
all_time_peak_average,1.2938707816845658,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,1.6985959480986097,District,district
cost_total,1.6748950195466588,District,district
daily_one_minus_load_factor_average,0.8858432093539559,District,district
daily_peak_average,1.3973180355304562,District,district
discomfort_cold_delta_average,4.701868289488333,District,district
discomfort_cold_delta_maximum,11.317127227783203,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.8383493285405472,District,district
discomfort_hot_delta_average,0.03279566146709301,District,district
discomfort_hot_delta_maximum,2.7025794982910156,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.008504689530715806,District,district
discomfort_proportion,0.846854018071263,District,district
electricity_consumption_total,1.6908311446693431,District,district
monthly_one_minus_load_factor_average,0.9354449017674432,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,2.131866392885665,District,district
zero_net_energy,1.6746827710839407,District,district
electricity_consumption_total,1.7127282310065974,Building_1,building
zero_net_energy,1.686430437377269,Building_1,building
carbon_emissions_total,1.7294552543392039,Building_1,building
cost_total,1.692347558311597,Building_1,building
discomfort_proportion,0.9607293127629734,Building_1,building
discomfort_cold_proportion,0.9607293127629734,Building_1,building
discomfort_hot_proportion,0.0,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,15.689239501953125,Building_1,building
discomfort_cold_delta_average,7.923174681928423,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,0.5060005187988281,Building_1,building
discomfort_hot_delta_average,0.001222878032260471,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,1.7763825974266492,Building_2,building
zero_net_energy,1.7601392976463661,Building_2,building
carbon_emissions_total,1.7783145655984856,Building_2,building
cost_total,1.7550685598189797,Building_2,building
discomfort_proportion,0.8227611940298507,Building_2,building
discomfort_cold_proportion,0.8022388059701493,Building_2,building
discomfort_hot_proportion,0.020522388059701493,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,11.270793914794922,Building_2,building
discomfort_cold_delta_average,3.4866102735201516,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,4.202903747558594,Building_2,building
discomfort_hot_delta_average,0.06496784951951769,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,1.5833826055747824,Building_3,building
zero_net_energy,1.5774785782281873,Building_3,building
carbon_emissions_total,1.58801802435814,Building_3,building
cost_total,1.5772689405093991,Building_3,building
discomfort_proportion,0.757071547420965,Building_3,building
discomfort_cold_proportion,0.7520798668885191,Building_3,building
discomfort_hot_proportion,0.004991680532445923,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,6.9913482666015625,Building_3,building
discomfort_cold_delta_average,2.6958199130164253,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,3.398834228515625,Building_3,building
discomfort_hot_delta_average,0.032196256849500865,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
