cost_function,value,name,level
all_time_peak_average,1.1109795926119426,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.6764969606783712,District,district
cost_total,0.6554876010679802,District,district
daily_one_minus_load_factor_average,1.2383509200223284,District,district
daily_peak_average,1.0409376218704762,District,district
discomfort_cold_delta_average,0.5194655992366649,District,district
discomfort_cold_delta_maximum,6.035071690877278,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.11917856413860577,District,district
discomfort_hot_delta_average,2.0988261920434454,District,district
discomfort_hot_delta_maximum,10.688536326090494,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.44823016509725117,District,district
discomfort_proportion,0.567408729235857,District,district
electricity_consumption_total,0.6856727261654778,District,district
monthly_one_minus_load_factor_average,1.0983487063785478,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.581706513866223,District,district
zero_net_energy,0.6199845856660445,District,district
electricity_consumption_total,0.6863280821966398,Building_1,building
zero_net_energy,0.6043298169146997,Building_1,building
carbon_emissions_total,0.6805780731601434,Building_1,building
cost_total,0.6659116267101103,Building_1,building
discomfort_proportion,0.5904628330995793,Building_1,building
discomfort_cold_proportion,0.19915848527349228,Building_1,building
discomfort_hot_proportion,0.391304347826087,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,8.194709777832031,Building_1,building
discomfort_cold_delta_average,0.9284581131405301,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,11.031288146972656,Building_1,building
discomfort_hot_delta_average,1.8355813847647773,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.6564997094538505,Building_2,building
zero_net_energy,0.5954899479736361,Building_2,building
carbon_emissions_total,0.645391286593273,Building_2,building
cost_total,0.6183301988184541,Building_2,building
discomfort_proportion,0.6026119402985075,Building_2,building
discomfort_cold_proportion,0.09514925373134328,Building_2,building
discomfort_hot_proportion,0.5074626865671642,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,5.946437835693359,Building_2,building
discomfort_cold_delta_average,0.3468029816945394,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,12.265678405761719,Building_2,building
discomfort_hot_delta_average,2.626895933681064,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.714190386845943,Building_3,building
zero_net_energy,0.6601339921097978,Building_3,building
carbon_emissions_total,0.703521522281697,Building_3,building
cost_total,0.6822209776753764,Building_3,building
discomfort_proportion,0.5091514143094842,Building_3,building
discomfort_cold_proportion,0.0632279534109817,Building_3,building
discomfort_hot_proportion,0.4459234608985025,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,3.9640674591064453,Building_3,building
discomfort_cold_delta_average,0.2831357028749254,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,8.76864242553711,Building_3,building
discomfort_hot_delta_average,1.8340012576844957,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
