cost_function,value,name,level
all_time_peak_average,1.2278048042085603,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.6329829102600101,District,district
cost_total,0.5897684134609767,District,district
daily_one_minus_load_factor_average,1.2954586895088367,District,district
daily_peak_average,1.0752857814023444,District,district
discomfort_cold_delta_average,0.35187904437383016,District,district
discomfort_cold_delta_maximum,6.257728258768718,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.08067567291276034,District,district
discomfort_hot_delta_average,3.30340266139419,District,district
discomfort_hot_delta_maximum,11.927591323852539,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.6657272297177909,District,district
discomfort_proportion,0.7464029026305511,District,district
electricity_consumption_total,0.6407814980456936,District,district
monthly_one_minus_load_factor_average,1.1214350149213952,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.6726727580222267,District,district
zero_net_energy,0.562976184479499,District,district
electricity_consumption_total,0.6146254418964396,Building_1,building
zero_net_energy,0.5243156421261832,Building_1,building
carbon_emissions_total,0.608712472767267,Building_1,building
cost_total,0.5670730152613823,Building_1,building
discomfort_proportion,0.7447405329593267,Building_1,building
discomfort_cold_proportion,0.15988779803646563,Building_1,building
discomfort_hot_proportion,0.5848527349228612,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,9.078045845031738,Building_1,building
discomfort_cold_delta_average,0.7548579017321269,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,10.990873336791992,Building_1,building
discomfort_hot_delta_average,3.089460595448812,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.641519923471471,Building_2,building
zero_net_energy,0.5624857689454235,Building_2,building
carbon_emissions_total,0.6320166006379577,Building_2,building
cost_total,0.5855884477669188,Building_2,building
discomfort_proportion,0.7873134328358209,Building_2,building
discomfort_cold_proportion,0.06716417910447761,Building_2,building
discomfort_hot_proportion,0.7201492537313433,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,6.260837554931641,Building_2,building
discomfort_cold_delta_average,0.21714950137668185,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,13.581277847290039,Building_2,building
discomfort_hot_delta_average,3.6607366614871557,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.6661991287691701,Building_3,building
zero_net_energy,0.6021271423668904,Building_3,building
carbon_emissions_total,0.6582196573748054,Building_3,building
cost_total,0.616643777354629,Building_3,building
discomfort_proportion,0.7071547420965059,Building_3,building
discomfort_cold_proportion,0.014975041597337771,Building_3,building
discomfort_hot_proportion,0.6921797004991681,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,3.4343013763427734,Building_3,building
discomfort_cold_delta_average,0.08362973001268174,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,11.210622787475586,Building_3,building
discomfort_hot_delta_average,3.1600107272466023,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
