cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.5872554538754121,District,district
cost_total,0.5535422346058133,District,district
daily_one_minus_load_factor_average,1.2989873732816029,District,district
daily_peak_average,0.9746371530538371,District,district
discomfort_cold_delta_average,0.15537414418326484,District,district
discomfort_cold_delta_maximum,5.71249516805013,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.031329828513884404,District,district
discomfort_hot_delta_average,4.228015247980753,District,district
discomfort_hot_delta_maximum,12.539110819498697,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.7869688027252127,District,district
discomfort_proportion,0.8182986312390971,District,district
electricity_consumption_total,0.592774346214702,District,district
monthly_one_minus_load_factor_average,1.0804997920693544,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.462739286661469,District,district
zero_net_energy,0.5329528876223645,District,district
electricity_consumption_total,0.5638731884139164,Building_1,building
zero_net_energy,0.4823317489842601,Building_1,building
carbon_emissions_total,0.5619827029592919,Building_1,building
cost_total,0.5314498912951239,Building_1,building
discomfort_proportion,0.7475455820476858,Building_1,building
discomfort_cold_proportion,0.07573632538569425,Building_1,building
discomfort_hot_proportion,0.6718092566619915,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,7.21832275390625,Building_1,building
discomfort_cold_delta_average,0.3649204850196838,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,12.555320739746094,Building_1,building
discomfort_hot_delta_average,3.9908667855792577,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.5894005852612856,Building_2,building
zero_net_energy,0.5254755922989855,Building_2,building
carbon_emissions_total,0.5804776510161158,Building_2,building
cost_total,0.5452789187215246,Building_2,building
discomfort_proportion,0.878731343283582,Building_2,building
discomfort_cold_proportion,0.014925373134328358,Building_2,building
discomfort_hot_proportion,0.8638059701492538,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,7.173070907592773,Building_2,building
discomfort_cold_delta_average,0.07742533683776856,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.156194686889648,Building_2,building
discomfort_hot_delta_average,4.742146102587382,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.6250492649689039,Building_3,building
zero_net_energy,0.5910513215838479,Building_3,building
carbon_emissions_total,0.6193060076508287,Building_3,building
cost_total,0.5838978938007915,Building_3,building
discomfort_proportion,0.8286189683860233,Building_3,building
discomfort_cold_proportion,0.0033277870216306157,Building_3,building
discomfort_hot_proportion,0.8252911813643927,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,2.746091842651367,Building_3,building
discomfort_cold_delta_average,0.02377661069234212,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,10.905817031860352,Building_3,building
discomfort_hot_delta_average,3.951032855775621,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
