episode,episode_reward,epsilon
1,-4374.529267527163,0.9704455335485082
2,-4404.277432475123,0.9417645335842487
3,-4260.7128760102205,0.9139311852712282
4,-4223.32130771043,0.8869204367171575
5,-4141.521770553663,0.8607079764250578
6,-4019.6429752374534,0.835270211411272
7,-4148.256755573966,0.8105842459701871
8,-4072.7623033858836,0.7866278610665535
9,-3928.7838935360487,0.7633794943368531
10,-3856.250285066082,0.7408182206817179
11,-3875.5530992363347,0.7189237334319262
12,-3718.8651007839944,0.697676326071031
13,-3715.9135169154033,0.6770568744981647
14,-3722.1322659538127,0.6570468198150567
15,-3690.8137180036865,0.6376281516217733
16,-3630.867540979176,0.6187833918061408
17,-3469.6948874824448,0.6004955788122659
18,-3454.4729693797417,0.5827482523739896
19,-3494.952899457421,0.5655254386995371
20,-3457.8881804849952,0.5488116360940265
21,-3229.5970508073224,0.5325918010068972
22,-3350.9797319457866,0.5168513344916993
23,-3178.696086173877,0.5015760690660556
24,-3235.3861871810514,0.4867522559599717
25,-3141.6402632733807,0.4723665527410147
26,-2892.0960785020143,0.4584060113052235
27,-3080.3783965636394,0.44485806622294116
28,-3012.818696666858,0.43171052342907973
29,-3026.982843083155,0.418951549247639
30,-2946.2634580340236,0.40656965974059917
31,-2919.446673083119,0.39455371037160114
32,-2845.7022440675646,0.38289288597511206
33,-2807.811129935959,0.3715766910220457
34,-2831.4876824597013,0.3605949401730783
35,-2735.6002781800344,0.3499377491111553
36,-2766.7583189996076,0.3395955256449391
37,-2805.0608440451324,0.3295589610751891
38,-2634.2801325307228,0.31981902181630395
39,-2547.81795119273,0.31036694126548503
40,-2691.8138259194093,0.30119421191220214
41,-2639.1634772628313,0.2922925776808594
42,-2670.357097888831,0.2836540264997704
43,-2565.681295344082,0.27527078308975234
44,-2562.116900944151,0.2671353019658504
45,-2415.0184047902003,0.25924026064589156
46,-2470.8218955494813,0.2515785530597565
47,-2496.449594521313,0.2441432831534371
48,-2443.446322812233,0.23692775868212176
49,-2437.869292578136,0.22992548518672384
50,-2344.860014444217,0.22313016014842982
