episode,episode_reward,epsilon
1,-4646.23823336742,0.9704455335485082
2,-4679.386662838142,0.9417645335842487
3,-4526.573805086477,0.9139311852712282
4,-4486.824198944747,0.8869204367171575
5,-4402.267713273594,0.8607079764250578
6,-4271.334773696614,0.835270211411272
7,-4413.042386526753,0.8105842459701871
8,-4320.993537070331,0.7866278610665535
9,-4186.540498837358,0.7633794943368531
10,-4109.713793850919,0.7408182206817179
11,-4107.723602599432,0.7189237334319262
12,-3929.4823530776116,0.697676326071031
13,-3961.6810044315243,0.6770568744981647
14,-3946.917407899744,0.6570468198150567
15,-3910.5001150326216,0.6376281516217733
16,-3873.626866314084,0.6187833918061408
17,-3718.1846937404625,0.6004955788122659
18,-3678.9077533127906,0.5827482523739896
19,-3716.2119786785247,0.5655254386995371
20,-3661.6370407166337,0.5488116360940265
21,-3390.6948810693107,0.5325918010068972
22,-3560.0512280796215,0.5168513344916993
23,-3371.8580382390483,0.5015760690660556
24,-3500.8779115165244,0.4867522559599717
25,-3329.0310214365113,0.4723665527410147
26,-3138.454099349496,0.4584060113052235
27,-3254.7439098674035,0.44485806622294116
28,-3206.9879486425957,0.43171052342907973
29,-3218.6751085544342,0.418951549247639
30,-3127.8879319233247,0.40656965974059917
31,-3155.646594342039,0.39455371037160114
32,-3093.2916628480084,0.38289288597511206
33,-2971.2857109143606,0.3715766910220457
34,-2962.481279122899,0.3605949401730783
35,-2884.185799830499,0.3499377491111553
36,-2921.2885752041457,0.3395955256449391
37,-2917.30666549692,0.3295589610751891
38,-2815.41923045125,0.31981902181630395
39,-2722.5096864521283,0.31036694126548503
40,-2859.7059034382664,0.30119421191220214
41,-2711.547210756076,0.2922925776808594
42,-2825.6602955382973,0.2836540264997704
43,-2729.188026818826,0.27527078308975234
44,-2669.8718681866553,0.2671353019658504
45,-2511.6176392147813,0.25924026064589156
46,-2618.295882230124,0.2515785530597565
47,-2675.982246712558,0.2441432831534371
48,-2605.108950199729,0.23692775868212176
49,-2645.0906126109994,0.22992548518672384
50,-2465.4865765496484,0.22313016014842982
