episode,episode_reward,epsilon
1,-6323.531375616789,0.9704455335485082
2,-6315.928657591343,0.9417645335842487
3,-6262.346273437142,0.9139311852712282
4,-6224.143765538931,0.8869204367171575
5,-6200.638145416975,0.8607079764250578
6,-5975.121788829565,0.835270211411272
7,-6244.623331487179,0.8105842459701871
8,-6109.2210678635165,0.7866278610665535
9,-6051.141300223768,0.7633794943368531
10,-5917.966915376484,0.7408182206817179
11,-5872.735052468255,0.7189237334319262
12,-5818.048822074197,0.697676326071031
13,-5843.77989207115,0.6770568744981647
14,-5913.1587230134755,0.6570468198150567
15,-5810.428580929525,0.6376281516217733
16,-5697.332651368517,0.6187833918061408
17,-5639.427698098123,0.6004955788122659
18,-5549.593698896468,0.5827482523739896
19,-5552.171622149646,0.5655254386995371
20,-5541.28675413318,0.5488116360940265
21,-5322.530072844587,0.5325918010068972
22,-5556.435008596629,0.5168513344916993
23,-5232.250864595175,0.5015760690660556
24,-5307.375484094955,0.4867522559599717
25,-5161.769951169379,0.4723665527410147
26,-4917.487118374556,0.4584060113052235
27,-4950.144434630871,0.44485806622294116
28,-5070.813903890783,0.43171052342907973
29,-4979.576129458845,0.418951549247639
30,-4900.672729285434,0.40656965974059917
31,-5008.813699092716,0.39455371037160114
32,-4842.1522580087185,0.38289288597511206
33,-4716.571330213221,0.3715766910220457
34,-4766.600532060955,0.3605949401730783
35,-4650.850657020899,0.3499377491111553
36,-4609.4407508648,0.3395955256449391
37,-4691.711337536573,0.3295589610751891
38,-4463.1755469371565,0.31981902181630395
39,-4355.960944046034,0.31036694126548503
40,-4567.32390589267,0.30119421191220214
41,-4439.72628806252,0.2922925776808594
42,-4573.673877177993,0.2836540264997704
43,-4210.921648394316,0.27527078308975234
44,-4200.891080659581,0.2671353019658504
45,-3943.297996874433,0.25924026064589156
46,-3977.2998086239677,0.2515785530597565
47,-4296.414431512356,0.2441432831534371
48,-4187.699814441847,0.23692775868212176
49,-4109.047243401408,0.22992548518672384
50,-4121.58835327276,0.22313016014842982
