episode,episode_reward,epsilon
1,-4289.664653629065,0.9704455335485082
2,-4311.097856551409,0.9417645335842487
3,-4112.047055184841,0.9139311852712282
4,-4084.753154538572,0.8869204367171575
5,-3988.9585344344378,0.8607079764250578
6,-3864.931924149394,0.835270211411272
7,-3962.405415598303,0.8105842459701871
8,-3888.839009948075,0.7866278610665535
9,-3738.1085851043463,0.7633794943368531
10,-3645.5716245770454,0.7408182206817179
11,-3656.7682158127427,0.7189237334319262
12,-3447.563409066759,0.697676326071031
13,-3464.2188904434443,0.6770568744981647
14,-3448.026917507872,0.6570468198150567
15,-3453.535203590989,0.6376281516217733
16,-3410.632380500436,0.6187833918061408
17,-3227.84040992707,0.6004955788122659
18,-3160.856999527663,0.5827482523739896
19,-3213.7490703612566,0.5655254386995371
20,-3167.432502657175,0.5488116360940265
21,-2907.6504791155457,0.5325918010068972
22,-3061.780374389142,0.5168513344916993
23,-2880.147855632007,0.5015760690660556
24,-2929.3439151272178,0.4867522559599717
25,-2901.313338983804,0.4723665527410147
26,-2711.963365426287,0.4584060113052235
27,-2786.7036486268044,0.44485806622294116
28,-2770.5044390987605,0.43171052342907973
29,-2744.988016113639,0.418951549247639
30,-2646.262079678476,0.40656965974059917
31,-2682.599336400628,0.39455371037160114
32,-2604.6871117204428,0.38289288597511206
33,-2546.541152773425,0.3715766910220457
34,-2573.9876919314265,0.3605949401730783
35,-2457.509403064847,0.3499377491111553
36,-2530.2763732858,0.3395955256449391
37,-2541.5018799602985,0.3295589610751891
38,-2377.861115222797,0.31981902181630395
39,-2331.4984468249604,0.31036694126548503
40,-2495.7806572057307,0.30119421191220214
41,-2404.2946029957384,0.2922925776808594
42,-2512.2211932931095,0.2836540264997704
43,-2293.3289567902684,0.27527078308975234
44,-2301.8613129779696,0.2671353019658504
45,-2213.573169182986,0.25924026064589156
46,-2266.972668595612,0.2515785530597565
47,-2234.3984972713515,0.2441432831534371
48,-2238.6023016078398,0.23692775868212176
49,-2191.2145843515173,0.22992548518672384
50,-2112.8559575323015,0.22313016014842982
