policy,grid_import_kwh,export_kwh,net_consumption_kwh,discomfort_proportion,discomfort_cold_proportion,discomfort_hot_proportion,all_rewards,cost_total_ratio,carbon_emissions_total_ratio,daily_peak_average_ratio,ramping_average_ratio,savings_vs_fixed_pct,train_sec,stability_episode,last_10_episode_reward_mean
Fixed(cool=0.50),4121.091,0.0,4121.091,0.837,0.8351,0.0019,-12360.254,1.5106,1.5555,1.1472,0.8896,0.0,,,
DDPG (Weather reward),1063.0623486598488,156.33978694688994,906.7225617129588,0.9781601031325348,0.0,0.9781601031325348,-3433.16042822646,0.3926079191398706,0.4193028273534221,0.6867744700582726,0.932092088286296,74.20434664850039,,22.0,-4050.0776773558464
DDPG (Energy-only reward),1054.262934686616,157.2946722569759,896.9682624296402,0.9781601031325348,0.0,0.9781601031325348,-1101.2224877894623,0.3843313865664998,0.4095747926300101,0.6816073341281194,0.8904825322448398,74.41786811583107,,22.0,-1298.0531579954725
DDPG (Pricing reward),2545.1954800578533,176.404685491696,2368.7907945661573,0.6575958141281654,0.3361772809669834,0.3214185331611818,-18.472234092688097,1.007229306215583,1.030812882157722,1.1354086172952274,1.7966589975819194,38.23976514816457,,,-29.134583959045166
DDPG (Comfort reward),2824.622638765257,2.4882156159728765,2822.134423149284,0.3129140032708041,0.3129140032708041,0.0,-7865.340153190307,1.132724312387671,1.143885412561616,1.0969419481556766,1.4283579633927102,31.45934805212366,,24.0,-8086.007241395954
DDPG (Peak-shaving reward),1054.4512210697285,157.42458854371216,897.0266325260163,0.9781601031325348,0.0,0.9781601031325348,-2210.716881965249,0.3834112442524685,0.4092631821460481,0.685820050378224,0.8930418916471409,74.4132992678461,,22.0,-2340.186317830697
DDPG (Solar reward),1219.8964679173077,292.11247652908787,927.7839913882199,0.977605471962263,0.0,0.977605471962263,-1925.7698506960253,0.4650756089684205,0.4914618436779494,0.7042396094803861,1.1803567380158355,70.39870102559473,,22.0,-2105.810354924891
DDPG (Storage reward),1054.2825951845734,159.0804425474489,895.2021526371245,0.9781601031325348,0.0,0.9781601031325348,-1100.5142799619352,0.3832728773862456,0.4091227164372688,0.680676972591544,0.8890875554971283,74.41739104560969,,22.0,-1291.466279856721
DDPG (Ramping reward),1063.2207587282828,165.2903582561994,897.9304004720834,0.9781601031325348,0.0,0.9781601031325348,-1573.436648032628,0.3879919277760971,0.4142750231976872,0.683739140489328,0.9001458402956402,74.20050276181033,,22.0,-1812.593766722083
DDPG (TimeOfUse reward),1064.5622777137323,160.47693162818905,904.0853460855433,0.9781601031325348,0.0,0.9781601031325348,-2043.1116955961331,0.3998770029150626,0.4268216829718296,0.6943106967704935,0.970969907107584,74.16795024148381,,,-1875.10286143266
DDPG (SelfSufficiency reward),1055.8331561628147,158.91746192111168,896.915694241703,0.9781601031325348,0.0,0.9781601031325348,-1000.6478094235064,0.3842618983240034,0.4104491579832571,0.6815404128403958,0.9068533099019244,74.37976603373197,,22.0,-1204.457319123298
DDPG (Combined reward),2628.5872329086997,0.0,2628.5872329086997,0.2563497568526718,0.2504352550279943,0.0059145018246774,-4269.048694257649,1.0425725746538652,1.0467975348896326,0.9867064118043264,1.065622057862766,36.21622932110212,,30.0,-4323.683560866708
DDPG (NightPrecharge reward),1073.2847425871296,137.03702030982822,936.2477222773014,0.9758225622255688,0.0,0.9758225622255688,-1182.822011408396,0.4068959632269802,0.4335792016131054,0.6883311560085159,1.0334880609810109,73.95629597630507,,,-1264.9509148011712
