cost_function,value,name,level
all_time_peak_average,0.8315936650709489,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.4095747926300101,District,district
cost_total,0.38433138656649984,District,district
daily_one_minus_load_factor_average,1.3015612430377421,District,district
daily_peak_average,0.6816073341281194,District,district
discomfort_cold_delta_average,0.001561144546226219,District,district
discomfort_cold_delta_maximum,0.31232961018880206,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.0,District,district
discomfort_hot_delta_average,8.295097510019938,District,district
discomfort_hot_delta_maximum,15.082380930582682,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9781601031325348,District,district
discomfort_proportion,0.9781601031325348,District,district
electricity_consumption_total,0.4143419363576339,District,district
monthly_one_minus_load_factor_average,1.131215309776776,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,0.8904825322448398,District,district
zero_net_energy,0.34531048560910715,District,district
electricity_consumption_total,0.38809987795152423,Building_1,building
zero_net_energy,0.2672332014172876,Building_1,building
carbon_emissions_total,0.38501312196357296,Building_1,building
cost_total,0.3633207775584794,Building_1,building
discomfort_proportion,0.9803646563814866,Building_1,building
discomfort_cold_proportion,0.0,Building_1,building
discomfort_hot_proportion,0.9803646563814866,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,0.12356948852539062,Building_1,building
discomfort_cold_delta_average,0.0003257698482937283,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.793426513671875,Building_1,building
discomfort_hot_delta_average,9.516325767834982,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.3596787103413626,Building_2,building
zero_net_energy,0.3325815032500186,Building_2,building
carbon_emissions_total,0.3538633080057311,Building_2,building
cost_total,0.33069142047378564,Building_2,building
discomfort_proportion,0.9757462686567164,Building_2,building
discomfort_cold_proportion,0.0,Building_2,building
discomfort_hot_proportion,0.9757462686567164,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,0.5813179016113281,Building_2,building
discomfort_cold_delta_average,0.003684753841824002,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.77232551574707,Building_2,building
discomfort_hot_delta_average,7.164999670452541,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.49524722078001476,Building_3,building
zero_net_energy,0.4361167521600152,Building_3,building
carbon_emissions_total,0.48984794792072617,Building_3,building
cost_total,0.4589819616672345,Building_3,building
discomfort_proportion,0.978369384359401,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.978369384359401,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.681390762329102,Building_3,building
discomfort_hot_delta_average,8.203967091772292,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
