cost_function,value,name,level
all_time_peak_average,1.0210444825095035,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,1.030812882157722,District,district
cost_total,1.007229306215583,District,district
daily_one_minus_load_factor_average,1.1315130697591034,District,district
daily_peak_average,1.1354086172952274,District,district
discomfort_cold_delta_average,1.6646744343969555,District,district
discomfort_cold_delta_maximum,11.189814885457357,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.3361772809669834,District,district
discomfort_hot_delta_average,1.5989507736983122,District,district
discomfort_hot_delta_maximum,11.249781926472982,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.32141853316118185,District,district
discomfort_proportion,0.6575958141281654,District,district
electricity_consumption_total,1.0383880717899114,District,district
monthly_one_minus_load_factor_average,1.0243233189615335,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.7966589975819194,District,district
zero_net_energy,0.9162947193258039,District,district
electricity_consumption_total,1.0085683944778745,Building_1,building
zero_net_energy,0.8247310429512992,Building_1,building
carbon_emissions_total,0.9723003132112894,Building_1,building
cost_total,0.9410483850485462,Building_1,building
discomfort_proportion,0.6367461430575035,Building_1,building
discomfort_cold_proportion,0.3899018232819074,Building_1,building
discomfort_hot_proportion,0.24684431977559607,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,14.273235321044922,Building_1,building
discomfort_cold_delta_average,2.3952406578593783,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,10.714122772216797,Building_1,building
discomfort_hot_delta_average,1.326987499660916,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,1.0411466843594712,Building_2,building
zero_net_energy,0.9489577035182564,Building_2,building
carbon_emissions_total,1.0584025004128337,Building_2,building
cost_total,1.039034927543398,Building_2,building
discomfort_proportion,0.707089552238806,Building_2,building
discomfort_cold_proportion,0.2891791044776119,Building_2,building
discomfort_hot_proportion,0.417910447761194,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,12.380695343017578,Building_2,building
discomfort_cold_delta_average,1.3120488829082912,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,13.275344848632812,Building_2,building
discomfort_hot_delta_average,2.17962441444397,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,1.065449136532389,Building_3,building
zero_net_energy,0.9751954115078558,Building_3,building
carbon_emissions_total,1.0617358328490427,Building_3,building
cost_total,1.041604606054805,Building_3,building
discomfort_proportion,0.6289517470881864,Building_3,building
discomfort_cold_proportion,0.32945091514143093,Building_3,building
discomfort_hot_proportion,0.2995008319467554,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,6.91551399230957,Building_3,building
discomfort_cold_delta_average,1.2867337624231974,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,9.759878158569336,Building_3,building
discomfort_hot_delta_average,1.2902404069900513,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
