cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.40912271643726883,District,district
cost_total,0.38327287738624566,District,district
daily_one_minus_load_factor_average,1.3037890512394872,District,district
daily_peak_average,0.680676972591544,District,district
discomfort_cold_delta_average,0.001561144546226219,District,district
discomfort_cold_delta_maximum,0.31232961018880206,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.0,District,district
discomfort_hot_delta_average,8.303550805868925,District,district
discomfort_hot_delta_maximum,15.082481384277344,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9781601031325348,District,district
discomfort_proportion,0.9781601031325348,District,district
electricity_consumption_total,0.4138255473520365,District,district
monthly_one_minus_load_factor_average,1.1313982239786204,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,0.8890875554971283,District,district
zero_net_energy,0.34443196528346126,District,district
electricity_consumption_total,0.3886309821956037,Building_1,building
zero_net_energy,0.2668157246568096,Building_1,building
carbon_emissions_total,0.38569146753676764,Building_1,building
cost_total,0.36393811464113474,Building_1,building
discomfort_proportion,0.9803646563814866,Building_1,building
discomfort_cold_proportion,0.0,Building_1,building
discomfort_hot_proportion,0.9803646563814866,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,0.12356948852539062,Building_1,building
discomfort_cold_delta_average,0.0003257698482937283,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.79342269897461,Building_1,building
discomfort_hot_delta_average,9.516325285699633,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.35754242799098296,Building_2,building
zero_net_energy,0.3302431341552607,Building_2,building
carbon_emissions_total,0.3517672716246153,Building_2,building
cost_total,0.32685757845621927,Building_2,building
discomfort_proportion,0.9757462686567164,Building_2,building
discomfort_cold_proportion,0.0,Building_2,building
discomfort_hot_proportion,0.9757462686567164,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,0.5813179016113281,Building_2,building
discomfort_cold_delta_average,0.003684753841824002,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.772623062133789,Building_2,building
discomfort_hot_delta_average,7.190357751316494,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.495303231869523,Building_3,building
zero_net_energy,0.4362370370383134,Building_3,building
carbon_emissions_total,0.4899094101504236,Building_3,building
cost_total,0.4590229390613829,Building_3,building
discomfort_proportion,0.978369384359401,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.978369384359401,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.681398391723633,Building_3,building
discomfort_hot_delta_average,8.203969380590651,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
