time_step,reward,all_rewards,grid_import_Building_1_kwh,export_Building_1_kwh,grid_import_Building_2_kwh,export_Building_2_kwh,grid_import_Building_3_kwh,export_Building_3_kwh,grid_import_kwh,export_kwh,cumulative_grid_import_kwh,cumulative_export_kwh
0,-5.139645386752277,-5.139645386752277,2.033644199371338,0.0,0.5619984865188599,0.0,1.689454197883606,0.0,4.285096883773804,0.0,4.285096883773804,0.0
1,-1.6839745004054711,-6.823619887157748,0.8462807536125183,0.0,0.18591776490211487,0.0,0.47319296002388,0.0,1.5053914785385132,0.0,5.790488362312317,0.0
2,-1.4726600649483959,-8.296279952106143,0.7249863147735596,0.0,0.18461598455905914,0.0,0.4455188810825348,0.0,1.3551211804151535,0.0,7.14560954272747,0.0
3,-1.3522917836373631,-9.648571735743506,0.6327978372573853,0.0,0.1873515099287033,0.0,0.433448851108551,0.0,1.2535981982946396,0.0,8.39920774102211,0.0
4,-1.3404934578582597,-10.989065193601766,0.6071555614471436,0.0,0.20223666727542877,0.0,0.4351603388786316,0.0,1.244552567601204,0.0,9.643760308623314,0.0
5,-1.9118836324615909,-12.900948826063356,1.00062894821167,0.0,0.23087537288665771,0.0,0.49980950355529785,0.0,1.7313138246536255,0.0,11.37507413327694,0.0
6,-3.354300748708435,-16.255249574771792,1.607621669769287,0.0,0.24817126989364624,0.0,1.033126950263977,0.0,2.8889198899269104,0.0,14.26399402320385,0.0
7,-1.9811749608502816,-18.236424535622074,0.5342340469360352,0.0,0.3452141582965851,0.0,0.8840543627738953,0.0,1.7635025680065155,0.0,16.027496591210365,0.0
8,-13.564181395953787,-31.80060593157586,4.653266429901123,0.0,2.933849573135376,0.0,2.187143325805664,0.0,9.774259328842163,0.0,25.80175592005253,0.0
9,-3.905401891423189,-35.70600782299905,0.48263463377952576,0.0,0.6722479462623596,0.0,2.1317636966705322,0.0,3.2866462767124176,0.0,29.088402196764946,0.0
10,-2.179013477481447,-37.885021300480496,0.0,0.3569531738758087,0.6334824562072754,0.0,1.284489393234253,0.0,1.5610186755657196,0.0,30.649420872330666,0.0
11,-4.024840580057725,-41.90986188053822,1.8172708749771118,0.0,0.6685148477554321,0.0,0.969410240650177,0.0,3.455195963382721,0.0,34.10461683571339,0.0
12,-4.211990281093831,-46.121852161632056,0.26597872376441956,0.0,0.9704316258430481,0.0,0.7307910919189453,0.0,1.967201441526413,0.0,36.0718182772398,0.0
13,-7.148964506407718,-53.27081666803977,0.0,0.18602026998996735,1.391748070716858,0.0,0.16319172084331512,0.0,1.3689195215702057,0.0,37.440737798810005,0.0
14,-4.823477088339363,-58.09429375637913,1.1413416862487793,0.0,1.8615128993988037,0.0,1.1025893688201904,0.0,4.105443954467773,0.0,41.54618175327778,0.0
15,-12.868707575381467,-70.9630013317606,3.09611439704895,0.0,2.5176239013671875,0.0,2.8193464279174805,0.0,8.433084726333618,0.0,49.9792664796114,0.0
16,-12.859970221809439,-83.82297155357003,1.5958620309829712,0.0,1.6485695838928223,0.0,2.4564435482025146,0.0,5.700875163078308,0.0,55.680141642689705,0.0
17,-6.944765050344431,-90.76773660391446,1.2886896133422852,0.0,1.9217567443847656,0.0,1.1150728464126587,0.0,4.3255192041397095,0.0,60.005660846829414,0.0
18,-8.506569566491924,-99.27430617040638,1.4295152425765991,0.0,1.6748143434524536,0.0,1.1743991374969482,0.0,4.278728723526001,0.0,64.28438957035542,0.0
19,-8.912082756436417,-108.1863889268428,2.2128801345825195,0.0,1.227257490158081,0.0,1.8394203186035156,0.0,5.279557943344116,0.0,69.56394751369953,0.0
20,-14.749145924158116,-122.93553485100091,2.285846471786499,0.0,2.411775588989258,0.0,3.1814944744110107,0.0,7.879116535186768,0.0,77.4430640488863,0.0
21,-7.953528394165382,-130.88906324516628,2.355867624282837,0.0,1.4954620599746704,0.0,2.5087616443634033,0.0,6.360091328620911,0.0,83.80315537750721,0.0
22,-8.791758189584028,-139.6808214347503,2.3203647136688232,0.0,2.2810893058776855,0.0,2.3687915802001953,0.0,6.970245599746704,0.0,90.77340097725391,0.0
23,-10.209761476111343,-149.89058291086164,2.6153059005737305,0.0,2.217148780822754,0.0,3.046008586883545,0.0,7.878463268280029,0.0,98.65186424553394,0.0
24,-5.753621810515048,-155.6442047213767,2.3209104537963867,0.0,1.7380685806274414,0.0,0.6718851327896118,0.0,4.73086416721344,0.0,103.38272841274738,0.0
25,-3.0597312181217267,-158.70393593949842,0.8989397287368774,0.0,1.3573987483978271,0.0,0.4408641457557678,0.0,2.6972026228904724,0.0,106.07993103563786,0.0
26,-3.773232539901872,-162.4771684794003,1.0177534818649292,0.0,1.1934020519256592,0.0,0.44533398747444153,0.0,2.65648952126503,0.0,108.73642055690289,0.0
27,-4.407739546973389,-166.8849080263737,1.0193257331848145,0.0,0.9258244037628174,0.0,1.2263838052749634,0.0,3.171533942222595,0.0,111.90795449912548,0.0
28,-4.418261039540419,-171.30316906591412,1.8102669715881348,0.0,0.5542671084403992,0.0,0.5102739334106445,0.0,2.8748080134391785,0.0,114.78276251256466,0.0
29,-4.083203096622322,-175.38637216253645,1.9918875694274902,0.0,0.6324796676635742,0.0,0.8494225740432739,0.0,3.4737898111343384,0.0,118.256552323699,0.0
30,-4.260034953615224,-179.64640711615166,1.914846420288086,0.0,0.562052845954895,0.0,1.148177146911621,0.0,3.625076413154602,0.0,121.8816287368536,0.0
31,-2.6742444187231666,-182.32065153487483,0.5994469523429871,0.0,0.3515583574771881,0.0,1.408346176147461,0.0,2.359351485967636,0.0,124.24098022282124,0.0
32,-6.726687204350001,-189.04733873922484,0.5914797186851501,0.0,2.7075908184051514,0.0,2.07395601272583,0.0,5.373026549816132,0.0,129.61400677263737,0.0
33,-4.3620488836238325,-193.40938762284867,0.5508348345756531,0.0,1.5647780895233154,0.0,1.6057416200637817,0.0,3.7213545441627502,0.0,133.33536131680012,0.0
34,-3.7928915250235784,-197.20227914787225,1.0747196674346924,0.0,1.557747721672058,0.0,0.6629735827445984,0.0,3.295440971851349,0.0,136.63080228865147,0.0
35,-4.852101392022514,-202.05438053989477,1.4102200269699097,0.0,1.7254090309143066,0.0,0.1455240100622177,0.0,3.281153067946434,0.0,139.9119553565979,0.0
36,-13.639154237492038,-215.69353477738682,5.742802143096924,0.0,1.6055642366409302,0.0,0.0,0.3256784975528717,7.022687882184982,0.0,146.93464323878288,0.0
37,-9.003555876946685,-224.6970906543335,3.49831485748291,0.0,1.4160703420639038,0.0,0.3910383880138397,0.0,5.305423587560654,0.0,152.24006682634354,0.0
38,-7.50039852511423,-232.19748917944773,0.9516675472259521,0.0,1.7061039209365845,0.0,1.3301417827606201,0.0,3.9879132509231567,0.0,156.2279800772667,0.0
39,-11.361354382769559,-243.55884356221728,2.3826003074645996,0.0,2.596217393875122,0.0,3.5980777740478516,0.0,8.576895475387573,0.0,164.80487555265427,0.0
40,-13.57049270872826,-257.12933627094554,3.6182243824005127,0.0,2.0031120777130127,0.0,4.194982051849365,0.0,9.81631851196289,0.0,174.62119406461716,0.0
41,-8.480607928274523,-265.6099441992201,1.1164528131484985,0.0,3.0794577598571777,0.0,2.043734073638916,0.0,6.239644646644592,0.0,180.86083871126175,0.0
42,-6.014821594239393,-271.62476579345946,1.4293485879898071,0.0,0.7104242444038391,0.0,1.539760947227478,0.0,3.6795337796211243,0.0,184.54037249088287,0.0
43,-13.354282613053853,-284.9790484065133,1.3111073970794678,0.0,0.48234808444976807,0.0,0.6950506567955017,0.0,2.4885061383247375,0.0,187.0288786292076,0.0
44,-10.613503264536384,-295.5925516710497,3.1651484966278076,0.0,1.1983438730239868,0.0,1.0104622840881348,0.0,5.373954653739929,0.0,192.40283328294754,0.0
45,-13.69832663881082,-309.29087830986055,1.6610984802246094,0.0,1.2316266298294067,0.0,1.729673147201538,0.0,4.622398257255554,0.0,197.0252315402031,0.0
46,-11.66618645745701,-320.95706476731755,2.1083335876464844,0.0,1.1428532600402832,0.0,0.47313135862350464,0.0,3.724318206310272,0.0,200.74954974651337,0.0
47,-12.349769333119156,-333.30683410043673,1.527636170387268,0.0,1.0445517301559448,0.0,1.4598007202148438,0.0,4.031988620758057,0.0,204.78153836727142,0.0
48,-7.550285354158516,-340.85711945459525,1.8270947933197021,0.0,1.5186045169830322,0.0,1.355297327041626,0.0,4.70099663734436,0.0,209.48253500461578,0.0
49,-5.919542277399838,-346.7766617319951,1.8008569478988647,0.0,1.456559419631958,0.0,1.6950620412826538,0.0,4.952478408813477,0.0,214.43501341342926,0.0
50,-3.2881449012298756,-350.064806633225,1.8757410049438477,0.0,0.8993889093399048,0.0,0.0,0.2745676636695862,2.5005622506141663,0.0,216.93557566404343,0.0
51,-3.025514797910314,-353.0903214311353,1.5529704093933105,0.0,0.44195860624313354,0.0,0.6509607434272766,0.0,2.6458897590637207,0.0,219.58146542310715,0.0
52,-2.9398137346129856,-356.0301351657483,0.9122720956802368,0.0,0.3164570927619934,0.0,1.1170251369476318,0.0,2.345754325389862,0.0,221.927219748497,0.0
53,-2.422718110125048,-358.45285327587334,0.9077532291412354,0.0,0.2789131700992584,0.0,0.7145421504974365,0.0,1.9012085497379303,0.0,223.82842829823494,0.0
54,-3.4188087026830907,-361.8716619785564,0.8493531942367554,0.0,0.501937747001648,0.0,0.5968912839889526,0.0,1.948182225227356,0.0,225.7766105234623,0.0
55,-5.187580480989902,-367.0592424595463,1.0093024969100952,0.0,0.19642934203147888,0.0,0.4533737003803253,0.0,1.6591055393218994,0.0,227.4357160627842,0.0
56,-7.674196535434762,-374.73343899498104,1.5450137853622437,0.0,0.5641136765480042,0.0,1.2900365591049194,0.0,3.3991640210151672,0.0,230.83488008379936,0.0
57,-3.1614153064900825,-377.8948543014711,0.3811553418636322,0.0,0.39384859800338745,0.0,0.9685309529304504,0.0,1.74353489279747,0.0,232.57841497659683,0.0
58,-7.2567462844039365,-385.1516005858751,0.0,0.40659448504447937,0.35620832443237305,0.0,0.9972438216209412,0.0,0.9468576610088348,0.0,233.52527263760567,0.0
59,-6.554736921959517,-391.70633750783463,0.0,0.3337078392505646,1.7238068580627441,0.0,0.0182080939412117,0.0,1.4083071127533913,0.0,234.93357975035906,0.0
60,-6.842203989829755,-398.54854149766436,0.0,0.35784003138542175,0.8359416127204895,0.0,0.3166959881782532,0.0,0.7947975695133209,0.0,235.72837731987238,0.0
61,-18.41261141617558,-416.96115291383995,0.4799130856990814,0.0,0.9593657851219177,0.0,7.960020065307617,0.0,9.399298936128616,0.0,245.127676256001,0.0
62,-7.4159704008726886,-424.37712331471266,0.4545091688632965,0.0,0.6115977764129639,0.0,0.622413158416748,0.0,1.6885201036930084,0.0,246.816196359694,0.0
63,-9.111247064120548,-433.4883703788332,2.692845344543457,0.0,0.6710448861122131,0.0,1.1380075216293335,0.0,4.501897752285004,0.0,251.318094111979,0.0
64,-12.978054063649171,-446.4664244424824,1.9329447746276855,0.0,0.49414241313934326,0.0,1.6912275552749634,0.0,4.118314743041992,0.0,255.436408855021,0.0
65,-10.508041545060832,-456.9744659875432,1.1511684656143188,0.0,0.6188573837280273,0.0,1.1130332946777344,0.0,2.8830591440200806,0.0,258.3194679990411,0.0
66,-11.400425383854508,-468.3748913713977,1.6111338138580322,0.0,0.8853075504302979,0.0,2.306598424911499,0.0,4.803039789199829,0.0,263.1225077882409,0.0
67,-8.009016756400554,-476.3839081277983,1.6020731925964355,0.0,1.084823489189148,0.0,1.76971435546875,0.0,4.4566110372543335,0.0,267.57911882549524,0.0
68,-7.9482034707703715,-484.33211159856864,1.0860645771026611,0.0,0.6506590843200684,0.0,1.4169965982437134,0.0,3.153720259666443,0.0,270.7328390851617,0.0
69,-13.624312730919314,-497.95642432948796,1.1173930168151855,0.0,0.7272949814796448,0.0,1.3930374383926392,0.0,3.2377254366874695,0.0,273.97056452184916,0.0
70,-7.2612756010512545,-505.2176999305392,1.0321056842803955,0.0,0.8815056681632996,0.0,0.5016738772392273,0.0,2.4152852296829224,0.0,276.3858497515321,0.0
71,-5.7604651925254675,-510.9781651230647,1.2797200679779053,0.0,0.5817518830299377,0.0,0.4596548080444336,0.0,2.3211267590522766,0.0,278.70697651058435,0.0
72,-5.771070521891902,-516.7492356449566,0.7402316331863403,0.0,0.7547656297683716,0.0,0.4456383287906647,0.0,1.9406355917453766,0.0,280.64761210232973,0.0
73,-5.644172046636452,-522.393407691593,0.6982134580612183,0.0,0.7438243627548218,0.0,0.47753795981407166,0.0,1.9195757806301117,0.0,282.56718788295984,0.0
74,-4.346003550465002,-526.7394112420579,0.8201286792755127,0.0,0.6415229439735413,0.0,0.6362835764884949,0.0,2.097935199737549,0.0,284.6651230826974,0.0
75,-3.747846280576892,-530.4872575226349,0.6681581735610962,0.0,0.542171061038971,0.0,0.6022865772247314,0.0,1.8126158118247986,0.0,286.4777388945222,0.0
76,-3.5653380188347206,-534.0525955414696,0.7459437847137451,0.0,0.4753127694129944,0.0,0.5948588848114014,0.0,1.8161154389381409,0.0,288.29385433346033,0.0
77,-6.199437673829782,-540.2520332152994,2.6711714267730713,0.0,0.9363222122192383,0.0,0.7580191493034363,0.0,4.365512788295746,0.0,292.6593671217561,0.0
78,-5.671196578966722,-545.9232297942661,0.7348698973655701,0.0,0.733414351940155,0.0,2.050172805786133,0.0,3.518457055091858,0.0,296.17782417684793,0.0
79,-4.437391968840385,-550.3606217631066,0.7980636358261108,0.0,0.6852517127990723,0.0,0.7995492815971375,0.0,2.2828646302223206,0.0,298.46068880707026,0.0
80,-6.0072920825001255,-556.3679138456067,0.40550732612609863,0.0,0.6451716423034668,0.0,1.8004841804504395,0.0,2.851163148880005,0.0,301.31185195595026,0.0
81,-5.396107268168138,-561.7640211137749,0.0,0.10203564167022705,0.8074817657470703,0.0,0.5597712397575378,0.0,1.265217363834381,0.0,302.57706931978464,0.0
