cost_function,value,name,level
all_time_peak_average,1.1299705110341831,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.7223246367771248,District,district
cost_total,0.7326254729729152,District,district
daily_one_minus_load_factor_average,1.3359459446967166,District,district
daily_peak_average,1.3231059438150827,District,district
discomfort_cold_delta_average,0.8706269798455414,District,district
discomfort_cold_delta_maximum,9.221301714579264,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.17460249236533143,District,district
discomfort_hot_delta_average,2.8109106876232004,District,district
discomfort_hot_delta_maximum,12.361015319824219,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.5506905907508707,District,district
discomfort_proportion,0.7252930831162021,District,district
electricity_consumption_total,0.7353680921759774,District,district
monthly_one_minus_load_factor_average,1.1009868480110658,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,2.16527070814916,District,district
zero_net_energy,0.6248045905188688,District,district
electricity_consumption_total,0.7094950677973358,Building_1,building
zero_net_energy,0.5634557613656309,Building_1,building
carbon_emissions_total,0.6957718674391443,Building_1,building
cost_total,0.6783292687829104,Building_1,building
discomfort_proportion,0.7068723702664796,Building_1,building
discomfort_cold_proportion,0.2482468443197756,Building_1,building
discomfort_hot_proportion,0.4586255259467041,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,12.874567031860352,Building_1,building
discomfort_cold_delta_average,1.4298954804738362,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,12.880863189697266,Building_1,building
discomfort_hot_delta_average,2.5406488842434354,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.7587467113522334,Building_2,building
zero_net_energy,0.6466481277343779,Building_2,building
carbon_emissions_total,0.7472624969662534,Building_2,building
cost_total,0.8067901913591827,Building_2,building
discomfort_proportion,0.8134328358208955,Building_2,building
discomfort_cold_proportion,0.19402985074626866,Building_2,building
discomfort_hot_proportion,0.6194029850746269,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,9.906311988830566,Building_2,building
discomfort_cold_delta_average,0.8541576213306851,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,12.830406188964844,Building_2,building
discomfort_hot_delta_average,3.2926348447799683,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.7378624973783631,Building_3,building
zero_net_energy,0.6643098824565977,Building_3,building
carbon_emissions_total,0.7239395459259768,Building_3,building
cost_total,0.7127569587766525,Building_3,building
discomfort_proportion,0.6555740432612313,Building_3,building
discomfort_cold_proportion,0.08153078202995008,Building_3,building
discomfort_hot_proportion,0.5740432612312812,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,4.883026123046875,Building_3,building
discomfort_cold_delta_average,0.3278278377321031,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,11.371776580810547,Building_3,building
discomfort_hot_delta_average,2.599448333846198,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
