cost_function,value,name,level
all_time_peak_average,0.9204772484000736,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.6031305650193013,District,district
cost_total,0.575983987754848,District,district
daily_one_minus_load_factor_average,1.3848367832721193,District,district
daily_peak_average,1.3060311441327235,District,district
discomfort_cold_delta_average,0.4597510721948412,District,district
discomfort_cold_delta_maximum,8.512360254923502,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.0857877353216137,District,district
discomfort_hot_delta_average,4.184354565761708,District,district
discomfort_hot_delta_maximum,14.603972752888998,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.7045875005121552,District,district
discomfort_proportion,0.7903752358337689,District,district
electricity_consumption_total,0.6123853108628884,District,district
monthly_one_minus_load_factor_average,1.105320552856326,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.9787723383208593,District,district
zero_net_energy,0.4867295811102544,District,district
electricity_consumption_total,0.596079538717834,Building_1,building
zero_net_energy,0.4428534303633993,Building_1,building
carbon_emissions_total,0.5909125933791044,Building_1,building
cost_total,0.5751021178883154,Building_1,building
discomfort_proportion,0.7503506311360448,Building_1,building
discomfort_cold_proportion,0.13604488078541374,Building_1,building
discomfort_hot_proportion,0.6143057503506312,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,11.606612205505371,Building_1,building
discomfort_cold_delta_average,0.7824687626626756,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.79342269897461,Building_1,building
discomfort_hot_delta_average,3.8082603322135076,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.6096007431728121,Building_2,building
zero_net_energy,0.4709417165643856,Building_2,building
carbon_emissions_total,0.5964173965438924,Building_2,building
cost_total,0.5586806402718343,Building_2,building
discomfort_proportion,0.832089552238806,Building_2,building
discomfort_cold_proportion,0.10634328358208955,Building_2,building
discomfort_hot_proportion,0.7257462686567164,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,10.0968599319458,Building_2,building
discomfort_cold_delta_average,0.48355578581492104,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,13.707054138183594,Building_2,building
discomfort_hot_delta_average,4.5826237228181625,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.6314756506980188,Building_3,building
zero_net_energy,0.5463935964029784,Building_3,building
carbon_emissions_total,0.6220617051349071,Building_3,building
cost_total,0.5941692051043943,Building_3,building
discomfort_proportion,0.7886855241264559,Building_3,building
discomfort_cold_proportion,0.014975041597337771,Building_3,building
discomfort_hot_proportion,0.7737104825291181,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,3.833608627319336,Building_3,building
discomfort_cold_delta_average,0.1132286681069268,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.311441421508789,Building_3,building
discomfort_hot_delta_average,4.162179642253452,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
