time_step,reward,all_rewards,grid_import_Building_1_kwh,grid_import_Building_2_kwh,grid_import_Building_3_kwh,grid_import_kwh,cumulative_grid_import_kwh
0,-5.139645386752277,-5.139645386752277,2.033644199371338,0.5619984865188599,1.689454197883606,4.285096883773804,4.285096883773804
1,-1.6839745004054711,-6.823619887157748,0.8462807536125183,0.18591776490211487,0.47319296002388,1.5053914785385132,5.790488362312317
2,-1.4726600649483959,-8.296279952106143,0.7249863147735596,0.18461598455905914,0.4455188810825348,1.3551211804151535,7.14560954272747
3,-1.3522917836373631,-9.648571735743506,0.6327978372573853,0.1873515099287033,0.433448851108551,1.2535981982946396,8.39920774102211
4,-1.3404934578582597,-10.989065193601766,0.6071555614471436,0.20223666727542877,0.4351603388786316,1.244552567601204,9.643760308623314
5,-1.9118836324615909,-12.900948826063356,1.00062894821167,0.23087537288665771,0.49980950355529785,1.7313138246536255,11.37507413327694
6,-3.354300748708435,-16.255249574771792,1.607621669769287,0.24817126989364624,1.033126950263977,2.8889198899269104,14.26399402320385
7,-1.9811749608502816,-18.236424535622074,0.5342340469360352,0.3452141582965851,0.8840543627738953,1.7635025680065155,16.027496591210365
8,-13.564181395953787,-31.80060593157586,4.653266429901123,2.933849573135376,2.187143325805664,9.774259328842163,25.80175592005253
9,-3.905401891423189,-35.70600782299905,0.48263463377952576,0.6722479462623596,2.1317636966705322,3.2866462767124176,29.088402196764946
10,-2.179013477481447,-37.885021300480496,0.0,0.6334824562072754,1.284489393234253,1.5610186755657196,30.649420872330666
11,-4.024840580057725,-41.90986188053822,1.8172708749771118,0.6685148477554321,0.969410240650177,3.455195963382721,34.10461683571339
12,-4.211990281093831,-46.121852161632056,0.26597872376441956,0.9704316258430481,0.7307910919189453,1.967201441526413,36.0718182772398
13,-6.081906914395315,-52.20375907602737,0.7617638111114502,0.8456850647926331,2.1458687782287598,3.753317654132843,39.82513593137264
14,-6.286925782155605,-58.49068485818297,1.1042695045471191,0.9623680114746094,0.6150459051132202,2.6816834211349487,42.50681935250759
15,-42.074483534677704,-100.56516839286067,3.3655996322631836,4.297515869140625,1.6174429655075073,9.280558466911316,51.78737781941891
16,-34.99577234598857,-135.56094073884924,4.0934271812438965,0.4465761184692383,0.9405831098556519,5.480586409568787,57.267964228987694
17,-33.16873848486404,-168.72967922371328,0.18822060525417328,0.31456097960472107,0.1994214504957199,0.7022030353546143,57.97016726434231
18,-28.79714013202593,-197.5268193557392,1.6145128011703491,0.1620878130197525,1.7380175590515137,3.5146181732416153,61.48478543758392
19,-5.549345657676587,-203.0761650134158,1.033536672592163,0.5874648094177246,1.2083773612976074,2.829378843307495,64.31416428089142
20,-6.381352976413785,-209.45751798982957,2.5424444675445557,0.0,1.4813404083251953,3.859474927186966,68.17363920807838
21,-19.29596097426525,-228.75347896409482,0.9365671873092651,0.3484174609184265,1.962751865386963,3.2477365136146545,71.42137572169304
22,-26.233920743528437,-254.98739970762327,0.4215100109577179,0.19325745105743408,1.9681999683380127,2.5829674303531647,74.0043431520462
