cost_function,value,name,level
all_time_peak_average,0.8965982445489507,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,1.1052543527646292,District,district
cost_total,1.0404689305531096,District,district
daily_one_minus_load_factor_average,1.0852039997699152,District,district
daily_peak_average,1.1800231500638587,District,district
discomfort_cold_delta_average,1.572575934286471,District,district
discomfort_cold_delta_maximum,8.717495282491049,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.33584590245571305,District,district
discomfort_hot_delta_average,0.6196667547579165,District,district
discomfort_hot_delta_maximum,8.065054575602213,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.14838683351276327,District,district
discomfort_proportion,0.4842327359684764,District,district
electricity_consumption_total,1.0958853625145784,District,district
monthly_one_minus_load_factor_average,0.9667604145424568,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.942864295885275,District,district
zero_net_energy,1.047356457733987,District,district
electricity_consumption_total,1.0018443964127801,Building_1,building
zero_net_energy,0.9414932259006884,Building_1,building
carbon_emissions_total,1.014784236649647,Building_1,building
cost_total,0.9426338756194667,Building_1,building
discomfort_proportion,0.6115007012622721,Building_1,building
discomfort_cold_proportion,0.4488078541374474,Building_1,building
discomfort_hot_proportion,0.16269284712482468,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,12.12031078338623,Building_1,building
discomfort_cold_delta_average,2.650529425674015,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,8.898857116699219,Building_1,building
discomfort_hot_delta_average,0.753861575656467,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,1.2339434238407445,Building_2,building
zero_net_energy,1.169792268694358,Building_2,building
carbon_emissions_total,1.23955143007359,Building_2,building
cost_total,1.1723567474884338,Building_2,building
discomfort_proportion,0.4701492537313433,Building_2,building
discomfort_cold_proportion,0.2891791044776119,Building_2,building
discomfort_hot_proportion,0.18097014925373134,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,9.109140396118164,Building_2,building
discomfort_cold_delta_average,1.056128700574239,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,9.42050552368164,Building_2,building
discomfort_hot_delta_average,0.6471684853235881,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,1.0518682672902102,Building_3,building
zero_net_energy,1.0307838786069143,Building_3,building
carbon_emissions_total,1.0614273915706505,Building_3,building
cost_total,1.0064161685514288,Building_3,building
discomfort_proportion,0.37104825291181365,Building_3,building
discomfort_cold_proportion,0.26955074875207985,Building_3,building
discomfort_hot_proportion,0.10149750415973377,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,4.92303466796875,Building_3,building
discomfort_cold_delta_average,1.0110696766111587,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,5.875801086425781,Building_3,building
discomfort_hot_delta_average,0.45797020329369437,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
