cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.48432711365597614,District,district
cost_total,0.4500593473988436,District,district
daily_one_minus_load_factor_average,1.320729959974372,District,district
daily_peak_average,0.7769118229550714,District,district
discomfort_cold_delta_average,0.05548465384377374,District,district
discomfort_cold_delta_maximum,6.534349759419759,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.010743966004479704,District,district
discomfort_hot_delta_average,7.143117110817521,District,district
discomfort_hot_delta_maximum,15.073697408040365,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9384919970789185,District,district
discomfort_proportion,0.9492359630833982,District,district
electricity_consumption_total,0.4875698417990392,District,district
monthly_one_minus_load_factor_average,1.1186390502676173,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.2164739707831826,District,district
zero_net_energy,0.39380202474993403,District,district
electricity_consumption_total,0.4377693881447636,Building_1,building
zero_net_energy,0.31162504856344975,Building_1,building
carbon_emissions_total,0.43610903155396097,Building_1,building
cost_total,0.40940080109060206,Building_1,building
discomfort_proportion,0.9340813464235624,Building_1,building
discomfort_cold_proportion,0.021037868162692847,Building_1,building
discomfort_hot_proportion,0.9130434782608695,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,8.94754409790039,Building_1,building
discomfort_cold_delta_average,0.11790521409776476,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.79342269897461,Building_1,building
discomfort_hot_delta_average,7.880394654803806,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.489152226733419,Building_2,building
zero_net_energy,0.39485298972583127,Building_2,building
carbon_emissions_total,0.4852553722580542,Building_2,building
cost_total,0.4449863581151552,Building_2,building
discomfort_proportion,0.9552238805970149,Building_2,building
discomfort_cold_proportion,0.011194029850746268,Building_2,building
discomfort_hot_proportion,0.9440298507462687,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,9.654253959655762,Building_2,building
discomfort_cold_delta_average,0.046485210789574516,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.746271133422852,Building_2,building
discomfort_hot_delta_average,6.494063181347317,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5357879105189349,Building_3,building
zero_net_energy,0.4749280359605211,Building_3,building
carbon_emissions_total,0.5316169371559133,Building_3,building
cost_total,0.4957908829907736,Building_3,building
discomfort_proportion,0.9584026622296173,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9584026622296173,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,1.001251220703125,Building_3,building
discomfort_cold_delta_average,0.0020635366439819337,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.681398391723633,Building_3,building
discomfort_hot_delta_average,7.054893496301439,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
