episode,episode_reward,epsilon
1,-4261.8045806926675,0.9704455335485082
2,-4234.074036965147,0.9417645335842487
3,-4018.669074951089,0.9139311852712282
4,-3978.5688858833164,0.8869204367171575
5,-3964.5701182773337,0.8607079764250578
6,-3781.042658839375,0.835270211411272
7,-3693.977109138854,0.8105842459701871
8,-3802.710076484829,0.7866278610665535
9,-3741.4539346615784,0.7633794943368531
10,-3723.396784252487,0.7408182206817179
11,-3662.4982449356467,0.7189237334319262
12,-3758.8063717540354,0.697676326071031
13,-3554.5057266801596,0.6770568744981647
14,-3335.7738896743394,0.6570468198150567
15,-3245.9954841658473,0.6376281516217733
16,-3161.8562618233263,0.6187833918061408
17,-2905.8493277467787,0.6004955788122659
18,-2876.081120130606,0.5827482523739896
19,-2890.026857936755,0.5655254386995371
20,-2899.9586185481166,0.5488116360940265
21,-2989.2735905034933,0.5325918010068972
22,-2908.908668340184,0.5168513344916993
23,-2892.8506302395836,0.5015760690660556
24,-3004.9183624391444,0.4867522559599717
25,-3120.99534815643,0.4723665527410147
26,-2918.905767613789,0.4584060113052235
27,-2921.694774507545,0.44485806622294116
28,-2790.7914848512737,0.43171052342907973
29,-2822.5371948168613,0.35
30,-2385.236133807339,0.40656965974059917
