episode,episode_reward,epsilon
1,-4401.114724334795,0.9704455335485082
2,-4335.479697326198,0.9417645335842487
3,-4274.837043093867,0.9139311852712282
4,-4227.203489070758,0.8869204367171575
5,-4172.886078100302,0.8607079764250578
6,-4044.1944535765797,0.835270211411272
7,-4065.096945885569,0.8105842459701871
8,-4080.59267705027,0.7866278610665535
9,-3885.51174249826,0.7633794943368531
10,-3814.8281658201595,0.7408182206817179
11,-3728.931911862921,0.7189237334319262
12,-3808.169499326963,0.697676326071031
13,-3643.8767469581217,0.6770568744981647
14,-3545.66469980916,0.6570468198150567
15,-3556.004659441707,0.6376281516217733
16,-3555.0193694200134,0.6187833918061408
17,-3479.650935546495,0.6004955788122659
18,-3431.1359296636656,0.5827482523739896
19,-3445.7557288812823,0.5655254386995371
20,-3333.7482395949773,0.5488116360940265
21,-3311.1389754808624,0.5325918010068972
22,-3232.890406618768,0.5168513344916993
23,-3092.8096251580864,0.5015760690660556
24,-3024.283831822104,0.4867522559599717
25,-3132.118093687808,0.4723665527410147
26,-2963.329727074015,0.4584060113052235
27,-3004.8711078339256,0.44485806622294116
28,-2886.5053174461937,0.43171052342907973
29,-2956.9833321594633,0.418951549247639
30,-2796.9470326164737,0.40656965974059917
