cost_function,value,name,level
all_time_peak_average,1.0,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.99999999838581,District,district
cost_total,0.9999999985929353,District,district
daily_one_minus_load_factor_average,0.9988955618028532,District,district
daily_peak_average,1.0,District,district
discomfort_cold_delta_average,1.7410326666302152,District,district
discomfort_cold_delta_maximum,4.877500534057617,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.4067321178120617,District,district
discomfort_hot_delta_average,0.011228028933207195,District,district
discomfort_hot_delta_maximum,0.8886489868164062,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.0,District,district
discomfort_proportion,0.4067321178120617,District,district
electricity_consumption_total,1.0,District,district
monthly_one_minus_load_factor_average,0.9997316754143125,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.0000000006677932,District,district
zero_net_energy,1.0,District,district
electricity_consumption_total,1.0,Building_1,building
zero_net_energy,1.0,Building_1,building
carbon_emissions_total,0.99999999838581,Building_1,building
cost_total,0.9999999985929353,Building_1,building
discomfort_proportion,0.4067321178120617,Building_1,building
discomfort_cold_proportion,0.4067321178120617,Building_1,building
discomfort_hot_proportion,0.0,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,4.877500534057617,Building_1,building
discomfort_cold_delta_average,1.7410326666302152,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,0.8886489868164062,Building_1,building
discomfort_hot_delta_average,0.011228028933207195,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
