episode,episode_reward,epsilon
1,-1244.683457385006,0.9704455335485082
2,-1243.1580879037174,0.9417645335842487
3,-1239.4512355264872,0.9139311852712282
4,-1228.3972855292373,0.8869204367171575
5,-1242.7099356766282,0.8607079764250578
6,-1245.0552754813832,0.835270211411272
7,-1242.0458681989392,0.8105842459701871
8,-1258.4966874294503,0.7866278610665535
9,-1250.9375561810134,0.7633794943368531
10,-1249.5529600000148,0.7408182206817179
11,-1249.8478758240053,0.7189237334319262
12,-1259.163359026067,0.697676326071031
13,-1232.4817955593035,0.6770568744981647
14,-1239.752828771376,0.6570468198150567
15,-1253.6405198376644,0.35
16,-1205.2284072646842,0.6187833918061408
17,-1229.9370781279072,0.6004955788122659
18,-1246.3483301078131,0.5827482523739896
19,-1222.5259384242938,0.5655254386995371
20,-1237.8970068147821,0.5488116360940265
21,-1236.7164315441134,0.5325918010068972
22,-1228.8442471464907,0.5168513344916993
23,-1221.8176857972085,0.5015760690660556
24,-1214.6752693669575,0.4867522559599717
25,-1221.4683072389614,0.4723665527410147
26,-1228.72954259347,0.4584060113052235
27,-1211.4815407669635,0.44485806622294116
28,-1231.6887325684622,0.43171052342907973
29,-1205.4456497981491,0.418951549247639
30,-1222.6932540475686,0.40656965974059917
31,-1208.89240560981,0.39455371037160114
32,-1224.8141188619284,0.38289288597511206
33,-1208.6655582389728,0.3715766910220457
34,-1220.9957632333383,0.3605949401730783
35,-1207.9545397174056,0.3499377491111553
36,-1210.9777422422808,0.3395955256449391
37,-1202.8157900454203,0.3295589610751891
38,-1210.3373010818366,0.31981902181630395
39,-1197.9147561163732,0.31036694126548503
40,-1218.9595104235195,0.30119421191220214
41,-1199.9946487833581,0.2922925776808594
42,-1213.366514392797,0.2836540264997704
43,-1214.2362225388786,0.27527078308975234
44,-1190.963898017885,0.2671353019658504
45,-1210.494911495957,0.25924026064589156
46,-1205.7786182696063,0.2515785530597565
47,-1189.1511394889033,0.2441432831534371
48,-1200.5488042381473,0.23692775868212176
49,-1181.339547645238,0.22992548518672384
50,-1197.182474209705,0.22313016014842982
