episode,episode_reward,epsilon
1,-3876.4884924334156,0.9704455335485082
2,-3792.282232761539,0.9417645335842487
3,-3719.894497211949,0.9139311852712282
4,-3633.9000285470174,0.8869204367171575
5,-3752.805995319588,0.8607079764250578
6,-3904.548990620766,0.835270211411272
7,-3914.5651256407727,0.8105842459701871
8,-3789.197983465143,0.7866278610665535
9,-3849.0907656129566,0.7633794943368531
10,-3935.413909406796,0.7408182206817179
11,-3790.2112944728224,0.7189237334319262
12,-3945.92899841673,0.697676326071031
13,-3761.1838555764416,0.35
14,-3354.5943835456565,0.6570468198150567
15,-3888.258975323746,0.6376281516217733
16,-3830.513496402972,0.6187833918061408
17,-3584.154361570174,0.6004955788122659
18,-3924.485655744612,0.5827482523739896
19,-3758.256954708515,0.5655254386995371
20,-3628.6140308547156,0.5488116360940265
21,-3802.478842708255,0.5325918010068972
22,-3829.0636582813922,0.5168513344916993
23,-3714.5786356322315,0.5015760690660556
24,-3621.358919247483,0.4867522559599717
25,-3692.537689682562,0.35
26,-3506.71989186058,0.4584060113052235
27,-3559.1741755736266,0.44485806622294116
28,-3876.5498000290536,0.43171052342907973
29,-3577.5256702438055,0.418951549247639
30,-3502.2020741133138,0.40656965974059917
31,-3323.7521440361134,0.39455371037160114
32,-3508.894801850457,0.38289288597511206
33,-3482.3973954766307,0.3715766910220457
34,-3525.0344980839227,0.3605949401730783
35,-3458.155918600117,0.3499377491111553
36,-3477.954196710657,0.3395955256449391
37,-3493.4690776349426,0.3295589610751891
38,-3699.104272386169,0.31981902181630395
39,-3281.0542666449846,0.31036694126548503
40,-3592.5788487021027,0.30119421191220214
41,-3397.535729921132,0.2922925776808594
42,-3366.153363492002,0.2836540264997704
43,-3606.319404672773,0.27527078308975234
44,-3251.221478481253,0.2671353019658504
45,-3351.340522760126,0.25924026064589156
46,-3351.9320810627805,0.2515785530597565
47,-3201.569908813305,0.2441432831534371
48,-3330.030273276534,0.23692775868212176
49,-3248.511926891916,0.22992548518672384
50,-3235.390608409155,0.22313016014842982
