episode,episode_reward,epsilon
1,-1744.3351372852921,0.9704455335485082
2,-1637.1596674760804,0.9417645335842487
3,-1564.0739870397374,0.9139311852712282
4,-1498.2995066596195,0.8869204367171575
5,-1464.2704026950523,0.8607079764250578
6,-1406.2113380804658,0.835270211411272
7,-1390.8138699531555,0.8105842459701871
8,-1369.6384370592423,0.7866278610665535
9,-1367.7341985963285,0.7633794943368531
10,-1379.6419985953398,0.7408182206817179
11,-1391.6697689560242,0.7189237334319262
12,-1363.4509778064676,0.697676326071031
13,-1293.891639427282,0.6770568744981647
14,-1205.2305067731068,0.6570468198150567
15,-1261.5641022069613,0.6376281516217733
16,-1194.019997985568,0.6187833918061408
17,-1214.4508350035176,0.6004955788122659
18,-1266.47717070207,0.5827482523739896
19,-1352.8394707231782,0.5655254386995371
20,-1440.7809701059014,0.5488116360940265
21,-1570.9770204108208,0.5325918010068972
22,-1612.3683002445614,0.5168513344916993
23,-1734.635480222758,0.5015760690660556
24,-1692.0931067827623,0.4867522559599717
25,-1677.285301909782,0.4723665527410147
26,-1605.3615935426205,0.35
27,-1558.1135191754438,0.44485806622294116
28,-1496.1145927938633,0.43171052342907973
29,-1431.75162542006,0.418951549247639
30,-1395.609052871354,0.40656965974059917
31,-1321.68484281376,0.39455371037160114
32,-1322.3695535869338,0.38289288597511206
33,-1371.2996205906384,0.3715766910220457
34,-1359.5934755033813,0.35
35,-1347.0361745366827,0.3499377491111553
36,-1319.0544722676277,0.3395955256449391
37,-1300.2081921144854,0.3295589610751891
38,-1237.3283931366168,0.31981902181630395
39,-1151.4596100407653,0.31036694126548503
40,-1188.1189725026488,0.30119421191220214
41,-1143.65337684704,0.2922925776808594
42,-1223.3615319267847,0.2836540264997704
43,-1328.5816972050816,0.27527078308975234
44,-1434.0517988698557,0.2671353019658504
45,-1475.0192011455074,0.25924026064589156
46,-1636.129929468967,0.2515785530597565
47,-1626.5598986903206,0.2441432831534371
48,-1669.9111718703061,0.23692775868212176
49,-1656.3523579942994,0.22992548518672384
50,-1580.5256588200573,0.3031301601484298
