time_step,reward,all_rewards,grid_import_Building_1_kwh,export_Building_1_kwh,grid_import_kwh,export_kwh,net_grid_balance_kwh,cumulative_grid_import_kwh,cumulative_export_kwh,cumulative_net_grid_balance_kwh
0,-6.688830375671387,-6.688830375671387,2.033644199371338,0.0,2.033644199371338,0.0,2.033644199371338,2.033644199371338,0.0,2.033644199371338
1,-2.712027072906494,-9.40085744857788,0.8462807536125183,0.0,0.8462807536125183,0.0,0.8462807536125183,2.879924952983856,0.0,2.879924952983856
2,-2.4215073585510254,-11.822364807128906,0.7249863147735596,0.0,0.7249863147735596,0.0,0.7249863147735596,3.6049112677574158,0.0,3.6049112677574158
3,-2.2847628593444824,-14.107127666473389,0.6327978372573853,0.0,0.6327978372573853,0.0,0.6327978372573853,4.237709105014801,0.0,4.237709105014801
4,-2.175642490386963,-16.28277015686035,0.6071555614471436,0.0,0.6071555614471436,0.0,0.6071555614471436,4.844864666461945,0.0,4.844864666461945
5,-3.685107946395874,-19.967878103256226,1.00062894821167,0.0,1.00062894821167,0.0,1.00062894821167,5.8454936146736145,0.0,5.8454936146736145
6,-5.637269020080566,-25.605147123336792,1.607621669769287,0.0,1.607621669769287,0.0,1.607621669769287,7.453115284442902,0.0,7.453115284442902
7,-1.9554922580718994,-27.56063938140869,0.5342340469360352,0.0,0.5342340469360352,0.0,0.5342340469360352,7.987349331378937,0.0,7.987349331378937
8,-17.128013610839844,-44.688652992248535,4.653266429901123,0.0,4.653266429901123,0.0,4.653266429901123,12.64061576128006,0.0,12.64061576128006
9,-1.8033959865570068,-46.49204897880554,0.48263463377952576,0.0,0.48263463377952576,0.0,0.48263463377952576,13.123250395059586,0.0,13.123250395059586
10,0.0,-46.49204897880554,0.0,0.3569531738758087,0.0,0.3569531738758087,-0.3569531738758087,13.123250395059586,0.3569531738758087,12.766297221183777
11,-6.686670780181885,-53.17871975898743,1.8172708749771118,0.0,1.8172708749771118,0.0,1.8172708749771118,14.940521270036697,0.3569531738758087,14.583568096160889
12,-0.9923986792564392,-54.171118438243866,0.26597872376441956,0.0,0.26597872376441956,0.0,0.26597872376441956,15.206499993801117,0.3569531738758087,14.849546819925308
13,-0.3086870312690735,-54.47980546951294,0.21866975724697113,0.0,0.21866975724697113,0.0,0.21866975724697113,15.425169751048088,0.3569531738758087,15.06821657717228
14,-1.2995377779006958,-55.779343247413635,0.9449853897094727,0.0,0.9449853897094727,0.0,0.9449853897094727,16.37015514075756,0.3569531738758087,16.013201966881752
15,-9.784008979797363,-65.563352227211,2.8237063884735107,0.0,2.8237063884735107,0.0,2.8237063884735107,19.19386152923107,0.3569531738758087,18.836908355355263
16,-4.0962815284729,-69.6596337556839,3.039090394973755,0.0,3.039090394973755,0.0,3.039090394973755,22.232951924204826,0.3569531738758087,21.875998750329018
17,-6.7305426597595215,-76.39017641544342,2.1396560668945312,0.0,2.1396560668945312,0.0,2.1396560668945312,24.372607991099358,0.3569531738758087,24.01565481722355
18,-4.254177570343018,-80.64435398578644,1.4193060398101807,0.0,1.4193060398101807,0.0,1.4193060398101807,25.79191403090954,0.3569531738758087,25.43496085703373
