episode,episode_reward,epsilon
1,-3806.7673420226993,0.9704455335485082
2,-3736.322587683006,0.9417645335842487
3,-3652.168802545911,0.9139311852712282
4,-3630.665242293322,0.8869204367171575
5,-3515.3710244937183,0.8607079764250578
6,-3649.897579687289,0.835270211411272
7,-3400.5061683835625,0.8105842459701871
8,-3276.4316398364367,0.7866278610665535
9,-3474.675183401725,0.7633794943368531
10,-3323.047876072652,0.7408182206817179
11,-3069.0732789655476,0.7189237334319262
12,-3198.2274498102015,0.697676326071031
13,-3091.1756513059695,0.6770568744981647
14,-3030.003835620141,0.6570468198150567
15,-3023.943799161602,0.6376281516217733
16,-3005.326062622403,0.6187833918061408
17,-2958.3733311155347,0.6004955788122659
18,-2753.220324768888,0.5827482523739896
19,-2897.3965684779414,0.5655254386995371
20,-2765.8386092093865,0.5488116360940265
21,-2721.546934579196,0.5325918010068972
22,-2677.115129685682,0.5168513344916993
23,-2597.2537690665463,0.5015760690660556
24,-2742.6298736723047,0.4867522559599717
25,-2636.5973399179993,0.4723665527410147
26,-2469.4393670216023,0.4584060113052235
27,-2486.701822280276,0.44485806622294116
28,-2479.6096133178576,0.43171052342907973
29,-2508.7372769532326,0.418951549247639
30,-2568.1768696659237,0.40656965974059917
31,-2312.777219244966,0.39455371037160114
32,-2421.7597669119273,0.38289288597511206
33,-2278.0589949513305,0.3715766910220457
34,-2119.4258459104135,0.3605949401730783
35,-2391.190648999574,0.3499377491111553
36,-2261.157726527853,0.3395955256449391
37,-2303.619102157423,0.3295589610751891
38,-2227.9972300680433,0.31981902181630395
39,-2243.15234984146,0.31036694126548503
40,-2111.969261695503,0.30119421191220214
41,-2260.451794538785,0.2922925776808594
42,-2289.073542852137,0.2836540264997704
43,-2127.6470512131896,0.27527078308975234
44,-2099.734416771929,0.2671353019658504
45,-2230.838035143817,0.25924026064589156
46,-2125.5645979181977,0.2515785530597565
47,-2250.0639595643897,0.2441432831534371
48,-2153.620490689851,0.23692775868212176
49,-2079.902483036571,0.22992548518672384
50,-2307.160610474663,0.22313016014842982
51,-2122.4498734389654,0.21653566731600707
52,-2045.5593260364108,0.21013607120076472
53,-1996.2337834190212,0.20392561173421347
54,-2139.243466803482,0.1978986990836147
55,-2014.8716092638863,0.19204990862075413
56,-2172.4124509168446,0.18637397603940997
57,-2065.9481167404647,0.1808657926171221
58,-2016.9400221448807,0.17552040061699686
59,-2043.0434738803249,0.17033298882540943
60,-2052.5320725415913,0.16529888822158656
61,-1918.130819466269,0.1604135677751728
62,-1972.5153308023662,0.15567263036799733
63,-1942.4263794652825,0.15107180883637086
64,-2027.3989689647037,0.14660696213035015
65,-1973.9571426944788,0.1422740715865136
66,-2003.8521372635585,0.13806923731089282
67,-1917.422914221922,0.13398867466880499
68,-1985.9143263611136,0.1300287108784259
69,-1894.2092177506183,0.12618578170503877
70,-1969.4768804665785,0.1224564282529819
71,-1839.720847635365,0.11883729385240965
72,-1875.3756777854044,0.11532512103806251
73,-1872.0066163794759,0.11191674861732888
74,-1886.9221986535613,0.10860910882495801
75,-1908.2103136793398,0.10539922456186433
76,-1866.731276515145,0.10228420671553748
77,-1886.3441791427658,0.09926125155964566
78,-1863.5909577797765,0.09632763823049303
79,-1990.4402197458733,0.09348072627805847
80,-1756.5565840999147,0.09071795328941251
