run_id,seed,policy,reward,grid_import_kwh,net_consumption_kwh,discomfort_proportion,cumulative_reward,training_seconds,stability_episode,last_10_episode_reward_mean,is_best_fixed
1,7,FixedCooling(0.50),EnergyOnlyReward,1728.141,1727.784,0.9748,-1728.141,,,,True
1,7,FixedCooling(0.70),EnergyOnlyReward,2308.419,2308.062,0.9804,-2308.419,,,,False
1,7,FixedCooling(0.90),EnergyOnlyReward,2888.697,2888.34,0.9804,-2888.697,,,,False
1,7,OwnAdaptiveTabularQLearning,EnergyOnlyReward,797.137,733.256,0.6059,-797.137,206.76,,-872.536,False
2,8,FixedCooling(0.50),EnergyOnlyReward,1728.141,1727.784,0.9748,-1728.141,,,,True
2,8,FixedCooling(0.70),EnergyOnlyReward,2308.419,2308.062,0.9804,-2308.419,,,,False
2,8,FixedCooling(0.90),EnergyOnlyReward,2888.697,2888.34,0.9804,-2888.697,,,,False
2,8,OwnAdaptiveTabularQLearning,EnergyOnlyReward,747.381,664.933,0.7195,-747.381,202.7,58.0,-873.369,False
3,9,FixedCooling(0.50),EnergyOnlyReward,1728.141,1727.784,0.9748,-1728.141,,,,True
3,9,FixedCooling(0.70),EnergyOnlyReward,2308.419,2308.062,0.9804,-2308.419,,,,False
3,9,FixedCooling(0.90),EnergyOnlyReward,2888.697,2888.34,0.9804,-2888.697,,,,False
3,9,OwnAdaptiveTabularQLearning,EnergyOnlyReward,762.864,691.646,0.6452,-762.864,200.97,77.0,-880.256,False
4,10,FixedCooling(0.50),EnergyOnlyReward,1728.141,1727.784,0.9748,-1728.141,,,,True
4,10,FixedCooling(0.70),EnergyOnlyReward,2308.419,2308.062,0.9804,-2308.419,,,,False
4,10,FixedCooling(0.90),EnergyOnlyReward,2888.697,2888.34,0.9804,-2888.697,,,,False
4,10,OwnAdaptiveTabularQLearning,EnergyOnlyReward,783.906,732.742,0.6199,-783.906,202.83,76.0,-876.714,False
5,11,FixedCooling(0.50),EnergyOnlyReward,1728.141,1727.784,0.9748,-1728.141,,,,True
5,11,FixedCooling(0.70),EnergyOnlyReward,2308.419,2308.062,0.9804,-2308.419,,,,False
5,11,FixedCooling(0.90),EnergyOnlyReward,2888.697,2888.34,0.9804,-2888.697,,,,False
5,11,OwnAdaptiveTabularQLearning,EnergyOnlyReward,720.814,670.584,0.6199,-720.814,202.61,76.0,-901.605,False
1,7,FixedCooling(0.50),WeatherOccupancyReward,1728.141,1727.784,0.9748,-3750.742,,,,True
1,7,FixedCooling(0.70),WeatherOccupancyReward,2308.419,2308.062,0.9804,-4993.447,,,,False
1,7,FixedCooling(0.90),WeatherOccupancyReward,2888.697,2888.34,0.9804,-6236.152,,,,False
1,7,OwnAdaptiveTabularQLearning,WeatherOccupancyReward,821.212,758.941,0.5624,-1738.102,205.99,,-1874.59,False
2,8,FixedCooling(0.50),WeatherOccupancyReward,1728.141,1727.784,0.9748,-3750.742,,,,True
2,8,FixedCooling(0.70),WeatherOccupancyReward,2308.419,2308.062,0.9804,-4993.447,,,,False
2,8,FixedCooling(0.90),WeatherOccupancyReward,2888.697,2888.34,0.9804,-6236.152,,,,False
2,8,OwnAdaptiveTabularQLearning,WeatherOccupancyReward,886.261,825.722,0.6199,-1872.219,210.6,58.0,-1922.359,False
3,9,FixedCooling(0.50),WeatherOccupancyReward,1728.141,1727.784,0.9748,-3750.742,,,,True
3,9,FixedCooling(0.70),WeatherOccupancyReward,2308.419,2308.062,0.9804,-4993.447,,,,False
3,9,FixedCooling(0.90),WeatherOccupancyReward,2888.697,2888.34,0.9804,-6236.152,,,,False
3,9,OwnAdaptiveTabularQLearning,WeatherOccupancyReward,831.767,797.982,0.5919,-1781.265,213.83,61.0,-1869.615,False
4,10,FixedCooling(0.50),WeatherOccupancyReward,1728.141,1727.784,0.9748,-3750.742,,,,True
4,10,FixedCooling(0.70),WeatherOccupancyReward,2308.419,2308.062,0.9804,-4993.447,,,,False
4,10,FixedCooling(0.90),WeatherOccupancyReward,2888.697,2888.34,0.9804,-6236.152,,,,False
4,10,OwnAdaptiveTabularQLearning,WeatherOccupancyReward,724.513,656.201,0.7083,-1534.606,204.92,76.0,-1912.428,False
5,11,FixedCooling(0.50),WeatherOccupancyReward,1728.141,1727.784,0.9748,-3750.742,,,,True
5,11,FixedCooling(0.70),WeatherOccupancyReward,2308.419,2308.062,0.9804,-4993.447,,,,False
5,11,FixedCooling(0.90),WeatherOccupancyReward,2888.697,2888.34,0.9804,-6236.152,,,,False
5,11,OwnAdaptiveTabularQLearning,WeatherOccupancyReward,813.362,751.749,0.5933,-1721.637,205.77,,-1871.882,False
