episode,episode_reward,epsilon
1,-3875.397051686126,0.9704455335485082
2,-3973.251776671264,0.9417645335842487
3,-3870.7963934625795,0.9139311852712282
4,-3724.8493478538276,0.8869204367171575
5,-3890.0095035476443,0.8607079764250578
6,-3888.194344460531,0.835270211411272
7,-3660.7479895579754,0.8105842459701871
8,-3753.790527142995,0.7866278610665535
9,-3550.419885299841,0.7633794943368531
10,-3769.322688108397,0.7408182206817179
11,-3559.03352058027,0.7189237334319262
12,-3638.818905999637,0.697676326071031
13,-3639.560269684899,0.6770568744981647
14,-3543.2590995983023,0.6570468198150567
15,-3716.6512595978998,0.6376281516217733
16,-3698.973480698351,0.6187833918061408
17,-3482.325686946485,0.6004955788122659
18,-3417.946099020958,0.5827482523739896
19,-3404.660491032207,0.5655254386995371
20,-3464.6796371423316,0.5488116360940265
21,-3411.0095022621454,0.5325918010068972
22,-3342.5678312398445,0.5168513344916993
23,-3388.6026575740398,0.5015760690660556
24,-3214.802158081071,0.4867522559599717
25,-3349.2720169326662,0.4723665527410147
26,-3124.089058044745,0.4584060113052235
27,-3357.7804466820057,0.44485806622294116
28,-3085.0121459386405,0.43171052342907973
29,-3006.0515678218385,0.418951549247639
30,-3224.895757745091,0.40656965974059917
31,-2970.3679213421015,0.39455371037160114
32,-3123.495540038399,0.38289288597511206
33,-2964.547600161359,0.3715766910220457
34,-3065.203522903454,0.3605949401730783
35,-2897.034822990147,0.3499377491111553
36,-2738.223306886841,0.3395955256449391
37,-2641.137990739192,0.3295589610751891
38,-2555.322590233843,0.31981902181630395
39,-2604.86994878736,0.31036694126548503
40,-2752.504793289111,0.30119421191220214
41,-2696.3093198172282,0.2922925776808594
42,-2619.292587239104,0.2836540264997704
43,-2600.1410140240505,0.27527078308975234
44,-2682.7840565430547,0.2671353019658504
45,-2558.0551607068,0.25924026064589156
46,-2618.5715853970964,0.2515785530597565
47,-2476.622616439609,0.2441432831534371
48,-2510.265961667788,0.23692775868212176
49,-2548.2845242234125,0.22992548518672384
50,-2583.72034992877,0.22313016014842982
51,-2422.796162995466,0.21653566731600707
52,-2549.326007546455,0.21013607120076472
53,-2572.0744934819977,0.20392561173421347
54,-2444.9789996456125,0.1978986990836147
55,-2459.200976417852,0.19204990862075413
56,-2439.1002036425243,0.18637397603940997
57,-2477.760680137991,0.1808657926171221
58,-2248.584886582452,0.17552040061699686
59,-2453.7999594976864,0.17033298882540943
60,-2298.320549562149,0.16529888822158656
61,-2302.34965775668,0.1604135677751728
62,-2113.291231732918,0.15567263036799733
63,-2095.5832723387216,0.15107180883637086
64,-2106.624195083765,0.14660696213035015
65,-2259.7807484769287,0.1422740715865136
66,-2216.481978034622,0.13806923731089282
67,-2156.875508256608,0.13398867466880499
68,-2165.185917232749,0.1300287108784259
69,-2123.658850789794,0.12618578170503877
70,-2148.8632160948023,0.1224564282529819
71,-2113.942892417912,0.11883729385240965
72,-2091.5283827105427,0.11532512103806251
73,-1989.2023976296896,0.11191674861732888
74,-1990.5711530955034,0.10860910882495801
75,-2137.3712521261014,0.10539922456186433
76,-2042.6273918381987,0.10228420671553748
77,-2121.9770174619275,0.09926125155964566
78,-2097.464794641635,0.09632763823049303
79,-1982.2590692487654,0.09348072627805847
80,-2096.619476293808,0.09071795328941251
81,-2209.184140115374,0.08803683258237259
82,-2193.105913352719,0.08543495096732123
83,-2067.0013067076534,0.0829099665751727
84,-2053.044509635668,0.16045960674953244
85,-2270.8957860685878,0.07808166600115317
86,-2163.285233729332,0.07577400402284548
87,-2033.1917083051896,0.0735345437630571
88,-2148.621575638545,0.07136126955638608
89,-2055.5281014208244,0.069252225309346
90,-2014.739340683328,0.06720551273974978
91,-2084.526740147186,0.06521928966812753
92,-2076.543492299534,0.14329176835964075
93,-2215.772976995594,0.06142121391500013
94,-2029.9490493601447,0.05960594270893937
95,-2133.7395123271103,0.057844320874838456
96,-2008.2653852072235,0.056134762834133725
97,-2053.5375747297853,0.05447572986918988
98,-1979.19513509291,0.05286572873835037
99,-2181.746741637948,0.051303310331919136
100,-2163.2430426298356,0.05
101,-2135.6942564227743,0.05
102,-2147.369877654568,0.05
103,-2038.0960127942026,0.05
104,-2000.31954509591,0.05
105,-2096.291800524652,0.05
106,-2214.3768624531276,0.13
107,-2204.3432558833,0.05
108,-2066.344521232576,0.05
109,-2052.027190087164,0.05
110,-2052.9514426893406,0.05
111,-2133.510468069382,0.05
112,-2041.330756312915,0.05
113,-2042.8073158466243,0.05
114,-1892.9880807567904,0.05
115,-2167.6893934461373,0.05
116,-2057.480051620297,0.05
117,-2130.620543138709,0.05
118,-2242.6767892235057,0.05
119,-2084.446980154411,0.05
120,-2124.52203690805,0.05
121,-2013.6757168295794,0.05
122,-2106.110696662408,0.13
123,-2443.6116957198715,0.05
124,-2178.624766680154,0.05
125,-2115.107731153347,0.05
126,-2217.0770189806717,0.05
127,-2281.877224105165,0.05
128,-2133.691737723163,0.05
129,-2040.2917639766035,0.05
130,-2160.3067955285946,0.13
131,-2321.1436806254133,0.05
132,-2128.070155825098,0.05
133,-2056.626729581686,0.05
134,-2147.77367757651,0.05
135,-2158.6982519059497,0.05
136,-2039.3220631376269,0.05
137,-2025.450119127741,0.05
138,-2070.7340879604776,0.13
139,-2288.9342656772465,0.05
140,-2107.4564127356352,0.05
141,-2123.0036609050276,0.05
142,-2077.2484656313136,0.05
143,-2108.5437863829184,0.05
144,-2068.1247681444465,0.05
145,-2037.686520104816,0.05
146,-2055.9571500109128,0.13
147,-2315.6547532936297,0.05
148,-2033.8575363342595,0.05
149,-2016.0859687648292,0.05
150,-2068.3024531386327,0.05
151,-2103.010094877548,0.05
152,-2137.403579802102,0.05
153,-2133.982544133437,0.05
154,-2176.9007320830615,0.13
155,-2213.3093682503645,0.05
156,-2146.200365651608,0.05
157,-2137.390497186296,0.05
158,-2171.6020817137182,0.05
159,-2105.867481339752,0.05
160,-2160.5949645772293,0.05
161,-2081.0779248312565,0.05
162,-2065.426991817552,0.13
163,-2169.4190282803506,0.05
164,-2114.323448331301,0.05
165,-2117.384100526746,0.05
166,-2065.012033435951,0.05
167,-2112.5347191632327,0.05
168,-2000.3088123564778,0.05
169,-1937.9151171139122,0.05
170,-2081.8568433852934,0.13
171,-2335.598661398596,0.05
172,-2123.6843837610213,0.05
173,-2050.036312645515,0.05
174,-2132.5908055379523,0.05
175,-2116.376101603881,0.05
176,-2193.0111741937953,0.05
177,-2027.2776586511952,0.05
178,-2076.8964697045144,0.13
179,-2329.4380276151182,0.05
180,-2021.024231258527,0.05
181,-2022.9512886094772,0.05
182,-2057.3145577081627,0.05
183,-2048.58011778195,0.05
184,-2029.0171541419031,0.05
185,-1891.1529552925738,0.05
186,-2146.883216701939,0.05
187,-2219.6620196060794,0.05
188,-2010.1999765926485,0.05
189,-2185.3713229597315,0.05
190,-2043.64368237192,0.05
191,-2027.0848388606678,0.05
192,-2059.4971467380683,0.05
193,-2007.3945603910379,0.13
194,-2203.936133881554,0.05
195,-2019.3369709107492,0.05
196,-2239.21088523653,0.05
197,-2231.930982851714,0.05
198,-2121.253640624091,0.05
199,-1991.9902838521934,0.05
200,-2201.7940931107355,0.05
201,-2137.924951835265,0.13
202,-2109.0571382447265,0.05
203,-2034.939192047849,0.05
204,-2121.084048757061,0.05
205,-2074.105842115229,0.05
206,-2085.0357361333918,0.05
207,-2167.6736241694107,0.05
208,-2199.0096044498187,0.05
209,-2100.4681087210124,0.13
210,-2290.9203202276044,0.05
211,-1981.1920838824906,0.05
212,-2093.663634183201,0.05
213,-2107.8225637874316,0.05
214,-2109.6831572257142,0.05
215,-2047.094724662057,0.05
216,-2049.0136240914157,0.05
217,-1948.407711344318,0.13
218,-2323.601546413228,0.05
219,-2047.7215573661113,0.05
220,-2129.195638733472,0.05
221,-1990.6326086974304,0.05
222,-2097.988601094389,0.05
223,-2055.2063862418076,0.05
224,-1944.6271274160806,0.05
225,-1999.6805265092216,0.13
226,-2223.7731514567386,0.05
227,-1979.9127568093002,0.05
228,-2014.8876600217402,0.05
229,-1987.835822527725,0.05
230,-2119.5628791100958,0.05
231,-2028.3133480063536,0.05
232,-2030.6159676142304,0.05
233,-2086.5373781928683,0.13
234,-2341.2451115893423,0.05
235,-1914.6967803728996,0.05
236,-2077.1907549435223,0.05
237,-2093.766233290041,0.05
238,-2043.0493331291893,0.05
239,-2114.220134122089,0.05
240,-2056.5897592146853,0.05
241,-2057.2665921229504,0.13
242,-2348.411541895761,0.05
243,-2010.9838264980742,0.05
244,-2004.9949952835598,0.05
245,-2052.774493854718,0.05
246,-1966.0728140894914,0.05
247,-1956.4890984533477,0.05
248,-2130.2475271405015,0.05
249,-2019.1875310895775,0.05
250,-2213.4947115075756,0.05
251,-2048.2897252151965,0.05
252,-2017.5197634845827,0.05
253,-2035.502255672933,0.05
254,-2114.943726195632,0.05
255,-2205.3317998128164,0.13
256,-2308.5965295164924,0.05
257,-1977.7984595844923,0.05
258,-2032.5759098172637,0.05
259,-1871.0380793625352,0.05
260,-2083.2276890266876,0.05
261,-2032.6408435678152,0.05
262,-2040.0452043143584,0.05
263,-2157.327139557355,0.13
264,-2147.319242734202,0.05
265,-2001.2959468918293,0.05
266,-2083.351825431585,0.05
267,-2051.62422359101,0.05
268,-2090.1700074228097,0.05
269,-2016.7382850229442,0.05
270,-2095.7762840635924,0.05
271,-2178.4461261668625,0.13
272,-2392.2306760875654,0.05
273,-1998.1373985104776,0.05
274,-2022.5727693689091,0.05
275,-2083.444255960802,0.05
276,-2105.0813789185154,0.05
277,-2055.6529488234464,0.05
278,-1925.6359929920923,0.05
279,-2138.377623892099,0.13
280,-2204.852053153834,0.05
281,-2111.475947922433,0.05
282,-2014.5812800501028,0.05
283,-1968.180865212456,0.05
284,-2011.650334253798,0.05
285,-2021.8490500855416,0.05
286,-2006.0017633181258,0.05
287,-2010.2660089312906,0.13
288,-2142.5589795949377,0.05
289,-2045.6332682297866,0.05
290,-2135.779527029144,0.05
291,-1975.683599595872,0.05
292,-1872.6503772207363,0.05
293,-2040.1405574281766,0.05
294,-1988.1562605342344,0.05
295,-1957.8482153801199,0.05
296,-2031.8350648156572,0.05
297,-2070.1558556536374,0.05
298,-2087.4560642385336,0.05
299,-2066.8634535752194,0.05
300,-2078.134176147499,0.05
301,-1838.9508296194451,0.05
302,-1944.2209783410378,0.05
303,-2001.4944732342897,0.13
304,-2293.4671933548175,0.05
305,-1964.8932866128787,0.05
306,-1903.6922119176404,0.05
307,-2114.8536162263863,0.05
308,-1984.786528182892,0.05
309,-1994.9611399541686,0.05
310,-2033.9860744354341,0.05
311,-2018.262002108589,0.13
312,-2382.3800400474342,0.05
313,-1882.4026906356999,0.05
314,-1995.9591145344143,0.05
315,-2030.1284931206776,0.05
316,-1935.2262576821663,0.05
317,-2013.1968823401633,0.05
318,-2005.0508692075844,0.05
319,-1937.119520896088,0.13
320,-2212.344732458445,0.05
321,-2073.001402360667,0.05
322,-1907.3848753652726,0.05
323,-1871.262180112243,0.05
324,-1948.3147629388875,0.05
325,-2125.3665292004225,0.05
326,-2028.0558931951964,0.05
327,-2042.954147581377,0.13
328,-2229.254318905152,0.05
329,-1925.5976626956565,0.05
330,-1737.4485239182525,0.05
331,-1967.0073972118757,0.05
332,-1915.0867696191133,0.05
333,-1835.1389305838147,0.05
334,-2057.907922725398,0.05
335,-1956.8667516995188,0.05
336,-1936.0676700366248,0.05
337,-1944.810026239768,0.05
338,-2047.132438841445,0.05
339,-1983.8188749254648,0.05
340,-1946.5950462152368,0.05
341,-2018.2599912516428,0.13
342,-2247.2026441916146,0.05
343,-1966.5466939094736,0.05
344,-1994.1106808772117,0.05
345,-2013.4295929846926,0.05
346,-2023.808437251675,0.05
347,-2048.9194101860303,0.05
348,-1841.309971492932,0.05
349,-1920.2051250481948,0.13
350,-2110.2395433775337,0.05
351,-1784.2642413546291,0.05
352,-1928.9207587440687,0.05
353,-2013.7596295893823,0.05
354,-1802.6993478176744,0.05
355,-1935.312842471656,0.05
356,-1958.2462293019166,0.05
357,-1997.9960107506693,0.13
358,-2098.8878476633936,0.05
359,-1993.0379431091023,0.05
360,-1990.0285279449092,0.05
361,-1874.5395727389755,0.05
362,-1972.8261952894893,0.05
363,-1982.8452146596635,0.05
364,-2032.3399668769625,0.05
365,-2078.580118711671,0.13
366,-2203.2236061428657,0.05
367,-1825.334631289059,0.05
368,-1935.1950306487158,0.05
369,-1918.383438520949,0.05
370,-1898.8194584123366,0.05
371,-1943.4186486835897,0.05
372,-2030.956898194544,0.05
373,-1844.079379479506,0.13
374,-2046.3991335328044,0.05
375,-2022.2920609239093,0.05
376,-1934.9120076095062,0.05
377,-2033.3895071959787,0.05
378,-1781.4407963833703,0.05
379,-1980.2117102178831,0.05
380,-1886.636210976999,0.05
381,-2011.68428616171,0.13
382,-2113.271685665128,0.05
383,-1845.680472020524,0.05
384,-1888.7374268723054,0.05
385,-1925.162101180135,0.05
386,-1840.123939472264,0.05
387,-1925.559958254286,0.05
388,-1896.8202172894719,0.05
389,-1914.1383704804457,0.13
390,-2209.1422568786593,0.05
391,-1950.0031241571983,0.05
392,-1937.120433757635,0.05
393,-1859.1173933509886,0.05
394,-1899.5104954134829,0.05
395,-1887.203198846516,0.05
396,-1989.1762776502264,0.05
397,-2010.4838239225921,0.13
398,-2079.466493047667,0.05
399,-1830.1775466607587,0.05
400,-1878.8021750632608,0.05
401,-1842.5084215386485,0.05
402,-1853.3749166719642,0.05
403,-1909.4566742002246,0.05
404,-1862.0056732472713,0.05
405,-1897.6080903812026,0.05
406,-1913.9856339883975,0.05
407,-1953.4566625906143,0.05
408,-2012.919501504636,0.05
409,-2086.3748581230775,0.05
410,-1891.5143092078815,0.05
411,-1926.792723632422,0.13
412,-2113.5536431884652,0.05
413,-1835.691649263629,0.05
414,-1810.9842992556469,0.05
415,-1900.2174246273523,0.05
416,-1916.6487549759088,0.05
417,-1820.4537260744066,0.05
418,-1853.9420969910975,0.05
419,-1865.225290903538,0.05
420,-1897.1714356014802,0.05
421,-2039.317211012979,0.05
422,-1951.615128724903,0.05
423,-2019.2044812641225,0.05
424,-1990.5926302022274,0.05
425,-2119.5183921275975,0.13
426,-2175.088177085468,0.05
427,-1964.7570951376993,0.05
428,-1976.6277993194685,0.05
429,-1726.9489323806677,0.05
430,-1923.1098417617557,0.05
431,-1812.0319757539555,0.05
432,-1832.7007269948097,0.05
433,-1929.339020305327,0.05
434,-1910.3957344058563,0.05
435,-1902.6670473930915,0.05
436,-1836.4083093838663,0.05
437,-1806.3650611431135,0.05
438,-1854.8671946564643,0.05
439,-1923.2629227146463,0.05
440,-1822.479360809865,0.05
441,-1884.4383359615488,0.13
442,-2146.8867234319487,0.05
443,-1875.0530468651311,0.05
444,-1795.4420232534203,0.05
445,-1907.954243170517,0.05
446,-1954.1755029033864,0.05
447,-1981.3507375902302,0.05
448,-1814.0693998643726,0.05
449,-1830.5354475191882,0.13
450,-2174.723522750247,0.05
451,-1876.2717673893455,0.05
452,-1801.8659397203535,0.05
453,-2007.8103254547257,0.05
454,-1946.7991941833714,0.05
455,-2025.337664517126,0.05
456,-1963.3200872273617,0.05
457,-1875.6771456533081,0.13
458,-2218.992953720907,0.05
459,-1919.805622621605,0.05
460,-1901.9291225738393,0.05
461,-1780.3803397639,0.05
462,-1853.951832427291,0.05
463,-1898.4026513409774,0.05
464,-1962.158261888796,0.05
465,-1843.0112333246602,0.13
466,-2143.211903933795,0.05
467,-1807.939763661548,0.05
468,-1887.9741855893906,0.05
469,-1869.0007032865367,0.05
470,-1786.4157281040175,0.05
471,-1899.9401951970005,0.05
472,-2001.561428670251,0.05
473,-2064.949854117727,0.13
474,-2169.0383491360635,0.05
475,-1846.8056670336985,0.05
476,-1931.523322257054,0.05
477,-1949.2052293613199,0.05
478,-1903.7821542729057,0.05
479,-1852.827843309031,0.05
480,-1812.06725440018,0.05
481,-1891.7211049772811,0.13
482,-2159.2566973384346,0.05
483,-1792.556412561998,0.05
484,-1712.08972069513,0.05
485,-1789.6031338153493,0.05
486,-1789.2893051088718,0.05
487,-1908.8005118388933,0.05
488,-1842.343403580244,0.05
489,-1765.3431312029193,0.05
490,-1849.4547088656043,0.05
491,-1789.58299963259,0.05
492,-1843.989744329524,0.05
493,-1878.4694365293558,0.05
494,-1846.7619621893086,0.05
495,-1865.0234756891869,0.13
496,-1944.6949450644545,0.05
497,-1741.1400630195528,0.05
498,-1958.4959913480418,0.05
499,-1886.9977783155946,0.05
500,-1812.2190821156291,0.05
501,-1911.5144120215484,0.05
502,-1910.3668198250791,0.05
503,-1837.0914221555931,0.13
504,-2075.7804382664913,0.05
505,-1918.4760310576821,0.05
506,-1832.1153633360668,0.05
507,-2052.1171532138114,0.05
508,-1912.54381666915,0.05
509,-2054.3584279789766,0.05
510,-1778.0412118171605,0.05
511,-1723.3943863369993,0.13
512,-1980.6436574667075,0.05
513,-1731.1632878670098,0.05
514,-1747.83113195698,0.05
515,-1850.1414140449313,0.05
516,-1792.2434993642876,0.05
517,-1924.2311064519827,0.05
518,-1845.7731925247556,0.05
519,-1895.1916186331564,0.05
520,-1926.9539726337036,0.05
521,-1884.336204424114,0.05
522,-1975.7820241809998,0.13
523,-2259.112545316641,0.05
524,-1741.2644442231174,0.05
525,-1782.8078616972725,0.05
526,-1859.731311292018,0.05
527,-1884.736365059182,0.05
528,-1911.0602875048544,0.05
529,-1913.6267644169143,0.05
530,-1977.7059591437971,0.13
