episode,episode_reward,epsilon
1,-6600.403265594759,0.9704455335485082
2,-6558.212192993431,0.9417645335842487
3,-6407.901066069817,0.9139311852712282
4,-6456.869520623701,0.8869204367171575
5,-6330.533620374288,0.8607079764250578
6,-6151.036575813195,0.835270211411272
7,-6398.792757023223,0.8105842459701871
8,-6186.124956202692,0.7866278610665535
9,-6112.382879782056,0.7633794943368531
10,-6282.141848252002,0.7408182206817179
11,-6152.3561323891245,0.7189237334319262
12,-6228.765233788582,0.697676326071031
13,-5995.878449023,0.6770568744981647
14,-6076.471527821058,0.6570468198150567
15,-6082.963429789831,0.6376281516217733
16,-6038.430653991317,0.6187833918061408
17,-6174.257036979916,0.6004955788122659
18,-6017.726566367636,0.5827482523739896
19,-5957.347775120263,0.5655254386995371
20,-5976.55925457405,0.5488116360940265
21,-5776.920089161921,0.5325918010068972
22,-5923.019057955567,0.5168513344916993
23,-5679.80552426456,0.5015760690660556
24,-5862.204285515479,0.4867522559599717
25,-5829.700421027159,0.4723665527410147
26,-5589.400835406991,0.4584060113052235
27,-5711.341096773467,0.44485806622294116
28,-5687.634896864674,0.43171052342907973
29,-5572.216699390009,0.418951549247639
30,-5625.2509492397085,0.40656965974059917
31,-5825.7441897535355,0.39455371037160114
32,-5931.636185791953,0.38289288597511206
33,-5420.601831469876,0.3715766910220457
34,-5551.935044176713,0.3605949401730783
35,-5733.913351377242,0.3499377491111553
36,-5437.845878055012,0.3395955256449391
37,-5687.273404797034,0.3295589610751891
38,-5695.284741535596,0.31981902181630395
39,-5578.087562775567,0.31036694126548503
40,-5709.177991519475,0.30119421191220214
41,-5673.657141587334,0.2922925776808594
42,-5732.782048553479,0.2836540264997704
43,-5397.274945602503,0.27527078308975234
44,-5566.495617376973,0.2671353019658504
45,-5572.324534986698,0.3392402606458916
46,-5781.633739692323,0.2515785530597565
47,-5544.386384280901,0.2441432831534371
48,-5393.756505858555,0.23692775868212176
49,-5675.887362378479,0.22992548518672384
50,-5435.215046002222,0.22313016014842982
