episode,episode_reward,epsilon
1,-12781.504026331872,0.9704455335485082
2,-12619.620035428465,0.9417645335842487
3,-12286.520298261394,0.9139311852712282
4,-12794.361306932151,0.8869204367171575
5,-12188.595787699638,0.8607079764250578
6,-11882.147184952826,0.835270211411272
7,-12143.692595897879,0.8105842459701871
8,-11791.048659044152,0.7866278610665535
9,-11647.48119160706,0.7633794943368531
10,-12699.989221189831,0.7408182206817179
11,-12563.595366328283,0.7189237334319262
12,-12524.690299537708,0.697676326071031
13,-11755.172718901638,0.6770568744981647
14,-11638.056062539365,0.6570468198150567
15,-12103.05139552565,0.6376281516217733
16,-12105.616702487208,0.6187833918061408
17,-12626.053130974358,0.35
18,-11179.030545841166,0.5827482523739896
19,-12029.062842510319,0.5655254386995371
20,-12049.133182076515,0.5488116360940265
21,-11034.694617932522,0.5325918010068972
22,-11286.193963263964,0.5168513344916993
23,-11103.448389382529,0.5015760690660556
24,-11515.034349246462,0.4867522559599717
25,-11455.476843287635,0.4723665527410147
26,-11822.543964284327,0.4584060113052235
27,-12036.632840259552,0.44485806622294116
28,-11432.804037491293,0.43171052342907973
29,-11142.186532433558,0.418951549247639
30,-11985.181619807288,0.40656965974059917
31,-11777.547975218882,0.39455371037160114
32,-10809.949507268037,0.38289288597511206
33,-10876.541877962958,0.35
34,-11250.360810681412,0.3605949401730783
35,-11361.58703689351,0.3499377491111553
36,-11386.365884483519,0.3395955256449391
37,-11339.09544846641,0.3295589610751891
38,-11345.466131328832,0.31981902181630395
39,-11227.611571263731,0.31036694126548503
40,-11581.64772497348,0.30119421191220214
41,-11090.703675239183,0.2922925776808594
42,-10920.428910853216,0.2836540264997704
43,-10942.050713037012,0.27527078308975234
44,-11040.145388889614,0.2671353019658504
45,-10873.58680829044,0.25924026064589156
46,-10659.25630750219,0.2515785530597565
47,-11097.371716618984,0.2441432831534371
48,-10526.179990612469,0.23692775868212176
49,-11167.747435219446,0.22992548518672384
50,-11158.104426294418,0.22313016014842982
