cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.42994473319713994,District,district
cost_total,0.40198310494102363,District,district
daily_one_minus_load_factor_average,1.2959423840789135,District,district
daily_peak_average,0.704537749750121,District,district
discomfort_cold_delta_average,0.007570403593557852,District,district
discomfort_cold_delta_maximum,3.1097208658854165,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.0009350163627863487,District,district
discomfort_hot_delta_average,7.785342366607101,District,district
discomfort_hot_delta_maximum,15.071100870768229,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9740241499607697,District,district
discomfort_proportion,0.974959166323556,District,district
electricity_consumption_total,0.4336973090246659,District,district
monthly_one_minus_load_factor_average,1.125231794745594,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,0.9604341877878193,District,district
zero_net_energy,0.36844677084250455,District,district
electricity_consumption_total,0.40027972076014096,Building_1,building
zero_net_energy,0.28861345613163103,Building_1,building
carbon_emissions_total,0.3983126376377509,Building_1,building
cost_total,0.374259880159421,Building_1,building
discomfort_proportion,0.9761570827489481,Building_1,building
discomfort_cold_proportion,0.002805049088359046,Building_1,building
discomfort_hot_proportion,0.9733520336605891,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,8.515743255615234,Building_1,building
discomfort_cold_delta_average,0.018353546990288627,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.79342269897461,Building_1,building
discomfort_hot_delta_average,8.988307523727418,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.38858293646166103,Building_2,building
zero_net_energy,0.36284063939455996,Building_2,building
carbon_emissions_total,0.3834399056171051,Building_2,building
cost_total,0.35722076900842153,Building_2,building
discomfort_proportion,0.9720149253731343,Building_2,building
discomfort_cold_proportion,0.0,Building_2,building
discomfort_hot_proportion,0.9720149253731343,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,0.5813179016113281,Building_2,building
discomfort_cold_delta_average,0.003684753841824002,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.772619247436523,Building_2,building
discomfort_hot_delta_average,6.730073663923475,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5122292698521957,Building_3,building
zero_net_energy,0.45388621700132264,Building_3,building
carbon_emissions_total,0.5080816563365637,Building_3,building
cost_total,0.47446866565522827,Building_3,building
discomfort_proportion,0.9767054908485857,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9767054908485857,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.647260665893555,Building_3,building
discomfort_hot_delta_average,7.63764591217041,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
