episode,episode_reward,epsilon
1,-13097.798828647314,0.9704455335485082
2,-13196.510895500101,0.9417645335842487
3,-12700.324959197183,0.9139311852712282
4,-12690.609029382089,0.8869204367171575
5,-12388.284229591769,0.8607079764250578
6,-11992.815696682586,0.835270211411272
7,-12397.237532167823,0.8105842459701871
8,-12255.56697855533,0.7866278610665535
9,-11767.093719095057,0.7633794943368531
10,-11515.751688322844,0.7408182206817179
11,-11577.898362024573,0.7189237334319262
12,-11124.159746834212,0.697676326071031
13,-11070.828344277434,0.6770568744981647
14,-11024.888065692776,0.6570468198150567
15,-10973.977549349882,0.6376281516217733
16,-10821.724723245228,0.6187833918061408
17,-10432.6025288927,0.6004955788122659
18,-10214.657654328264,0.5827482523739896
19,-10390.416123243602,0.5655254386995371
20,-10295.957275213272,0.5488116360940265
21,-9703.855000990683,0.5325918010068972
22,-9949.976743339921,0.5168513344916993
23,-9252.245366102421,0.5015760690660556
24,-9593.184884903758,0.4867522559599717
25,-9487.919531982307,0.4723665527410147
26,-8889.046988575683,0.4584060113052235
27,-9030.167066638629,0.44485806622294116
28,-9208.74569211838,0.43171052342907973
29,-8838.687480808523,0.418951549247639
30,-8523.709227164198,0.40656965974059917
31,-8878.965665289674,0.39455371037160114
32,-8509.25799930719,0.38289288597511206
33,-8290.993820378082,0.3715766910220457
34,-8301.851179046691,0.3605949401730783
35,-8146.145584165997,0.3499377491111553
36,-8113.623112886117,0.3395955256449391
37,-8236.536582050954,0.3295589610751891
38,-7806.430030457698,0.31981902181630395
39,-7613.90904299707,0.31036694126548503
40,-7998.725329621754,0.30119421191220214
41,-7857.257464144667,0.2922925776808594
42,-7916.316585594817,0.2836540264997704
43,-7766.457333164694,0.27527078308975234
44,-7397.58568000829,0.2671353019658504
45,-7364.624470750051,0.25924026064589156
46,-7632.243125700001,0.2515785530597565
47,-7618.139105118695,0.2441432831534371
48,-7633.399772595532,0.23692775868212176
49,-7334.331023306703,0.22992548518672384
50,-6933.24440300546,0.22313016014842982
51,-6941.434943285424,0.21653566731600707
52,-6839.139345957479,0.21013607120076472
53,-6853.967420758496,0.20392561173421347
54,-6829.749382861077,0.1978986990836147
55,-7053.789030191061,0.19204990862075413
56,-7028.829482385119,0.18637397603940997
57,-6545.415507735163,0.1808657926171221
58,-6415.607169453952,0.17552040061699686
59,-6937.589772425824,0.17033298882540943
60,-6467.822431410197,0.16529888822158656
61,-6683.142039722884,0.1604135677751728
62,-6515.8757135725455,0.15567263036799733
63,-6194.288773653399,0.15107180883637086
64,-6297.3952185568205,0.14660696213035015
65,-6494.068215587702,0.1422740715865136
66,-6463.8912710389095,0.13806923731089282
67,-6446.267618591545,0.13398867466880499
68,-6164.458769382787,0.1300287108784259
69,-6596.695479430182,0.12618578170503877
70,-6094.792849822986,0.1224564282529819
71,-5805.305445702671,0.11883729385240965
72,-5739.957019453219,0.11532512103806251
73,-6262.880629858857,0.11191674861732888
74,-6476.715131517524,0.10860910882495801
75,-6291.971993527931,0.10539922456186433
76,-6147.95250933269,0.10228420671553748
77,-5822.202141582955,0.09926125155964566
78,-5883.338357772985,0.09632763823049303
79,-5671.8659852398805,0.09348072627805847
80,-5917.541088492318,0.09071795328941251
81,-6155.7611759400825,0.08803683258237259
82,-5984.392555458341,0.08543495096732123
