cost_function,value,name,level
all_time_peak_average,1.01221634560491,District,district
annual_normalized_unserved_energy_total,0.00963912558277495,District,district
carbon_emissions_total,1.6549738078487788,District,district
cost_total,1.5955584960635079,District,district
daily_one_minus_load_factor_average,0.788686647727904,District,district
daily_peak_average,1.1112657239575998,District,district
discomfort_cold_delta_average,2.929101287454799,District,district
discomfort_cold_delta_maximum,6.253976821899414,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.8713738368910783,District,district
discomfort_hot_delta_average,0.017331294391466225,District,district
discomfort_hot_delta_maximum,3.913454055786133,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.006568144499178982,District,district
discomfort_proportion,0.8779419813902573,District,district
electricity_consumption_total,1.6621278885459874,District,district
monthly_one_minus_load_factor_average,0.9379772990039437,District,district
one_minus_thermal_resilience_proportion,0.5714285714285714,District,district
power_outage_normalized_unserved_energy_total,0.7147301528405072,District,district
ramping_average,0.9099070311832643,District,district
zero_net_energy,1.6744536298335204,District,district
electricity_consumption_total,1.6621278885459874,Building_3,building
zero_net_energy,1.6744536298335204,Building_3,building
carbon_emissions_total,1.6549738078487788,Building_3,building
cost_total,1.5955584960635079,Building_3,building
discomfort_proportion,0.8779419813902573,Building_3,building
discomfort_cold_proportion,0.8713738368910783,Building_3,building
discomfort_hot_proportion,0.006568144499178982,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,6.253976821899414,Building_3,building
discomfort_cold_delta_average,2.929101287454799,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,3.913454055786133,Building_3,building
discomfort_hot_delta_average,0.017331294391466225,Building_3,building
one_minus_thermal_resilience_proportion,0.5714285714285714,Building_3,building
power_outage_normalized_unserved_energy_total,0.7147301528405072,Building_3,building
annual_normalized_unserved_energy_total,0.00963912558277495,Building_3,building
