episode,episode_reward,epsilon
1,-24097.760750203932,0.9704455335485082
2,-23532.705984452048,0.9417645335842487
3,-23332.329439081706,0.9139311852712282
4,-22238.988466182916,0.8869204367171575
5,-21873.86611623444,0.8607079764250578
6,-21513.80618139054,0.835270211411272
7,-20744.049033929627,0.8105842459701871
8,-20467.714835310224,0.7866278610665535
9,-20073.308769133004,0.7633794943368531
10,-19880.32800458997,0.7408182206817179
11,-19362.71476389575,0.7189237334319262
12,-19229.63043996125,0.697676326071031
13,-18698.90637658122,0.6770568744981647
14,-17971.391298696944,0.6570468198150567
15,-17626.651773415462,0.6376281516217733
16,-17356.225360068773,0.6187833918061408
17,-17238.198071450905,0.6004955788122659
18,-16422.222709042406,0.5827482523739896
19,-16630.78203110745,0.5655254386995371
20,-16130.050082562579,0.5488116360940265
21,-16208.45978143717,0.5325918010068972
22,-15555.603464669803,0.5168513344916993
23,-14981.066970642938,0.5015760690660556
24,-15218.303835351282,0.4867522559599717
25,-14527.852463903397,0.4723665527410147
26,-14373.799806285127,0.4584060113052235
27,-14062.66332814582,0.44485806622294116
28,-13195.775833542271,0.43171052342907973
29,-13579.735992053098,0.418951549247639
30,-13403.932802879552,0.40656965974059917
31,-13081.979400650378,0.39455371037160114
32,-13093.59691532689,0.38289288597511206
33,-12499.017797816274,0.3715766910220457
34,-12600.840955996853,0.3605949401730783
35,-12170.097554816659,0.3499377491111553
36,-11712.755410565122,0.3395955256449391
37,-11870.690555287005,0.3295589610751891
38,-11914.601473585513,0.31981902181630395
39,-11747.694697154058,0.31036694126548503
40,-11200.916456402569,0.30119421191220214
41,-11143.456865943246,0.2922925776808594
42,-11144.028042979742,0.2836540264997704
43,-11054.187916527044,0.27527078308975234
44,-10845.242563435624,0.2671353019658504
45,-10504.548068418839,0.25924026064589156
46,-10259.536387253525,0.2515785530597565
47,-10304.594314010648,0.2441432831534371
48,-10246.739154165203,0.23692775868212176
49,-10275.165624465055,0.22992548518672384
50,-9743.113940894105,0.22313016014842982
51,-9650.517243686289,0.21653566731600707
52,-9549.836427577948,0.21013607120076472
53,-9224.921241992606,0.20392561173421347
54,-9338.195329309905,0.1978986990836147
55,-9469.544588278532,0.19204990862075413
56,-9081.722810057303,0.18637397603940997
57,-8829.952054391371,0.1808657926171221
58,-8943.378139973634,0.17552040061699686
59,-9197.79914224738,0.17033298882540943
60,-8836.670072773097,0.16529888822158656
61,-8908.711893729662,0.1604135677751728
62,-8799.648919402893,0.15567263036799733
63,-8417.174215128141,0.15107180883637086
64,-8439.524687263487,0.14660696213035015
65,-8436.369268426202,0.1422740715865136
66,-8195.618913011502,0.13806923731089282
67,-8167.229708384965,0.13398867466880499
68,-7857.647498752417,0.1300287108784259
69,-7779.38292028057,0.12618578170503877
70,-7985.643646786245,0.1224564282529819
71,-7888.236757803626,0.11883729385240965
72,-7934.084120422662,0.11532512103806251
73,-7600.99496716378,0.11191674861732888
74,-7461.552585655043,0.10860910882495801
75,-7831.632706933371,0.10539922456186433
76,-7512.264574830653,0.10228420671553748
77,-7406.502163530407,0.09926125155964566
78,-7421.309387758931,0.09632763823049303
79,-7305.923452980071,0.09348072627805847
80,-7478.211279842118,0.09071795328941251
81,-7432.754754546918,0.08803683258237259
82,-7286.555974453685,0.08543495096732123
83,-7207.756982066247,0.0829099665751727
84,-7299.062066925586,0.08045960674953244
85,-7161.424576294156,0.07808166600115317
86,-6924.350165397794,0.07577400402284548
87,-7131.589837998337,0.0735345437630571
88,-6909.558683363719,0.07136126955638608
89,-6960.058859276995,0.069252225309346
90,-6863.6391222841585,0.06720551273974978
91,-6854.107229949373,0.06521928966812753
92,-6755.620828974911,0.06329176835964073
93,-6784.026342038869,0.06142121391500013
94,-6590.726529563422,0.05960594270893937
95,-6920.107470928346,0.057844320874838456
96,-6900.286254020702,0.056134762834133725
97,-6819.728368160185,0.05447572986918988
98,-6579.953516540993,0.05286572873835037
99,-6530.135533313494,0.051303310331919136
100,-6576.881918748487,0.05
101,-6528.785811694883,0.05
102,-6486.130726903114,0.05
103,-6713.334724867534,0.05
104,-6604.27101140457,0.05
105,-6274.285467991454,0.05
106,-6624.24858317752,0.05
107,-6493.001546423435,0.05
108,-6476.554184051246,0.05
109,-6596.288883739447,0.05
110,-6620.538434028986,0.05
111,-6521.093429637712,0.05
112,-6592.97575020541,0.05
113,-6511.410151139352,0.05
114,-6604.17832337991,0.05
115,-6476.068749509237,0.05
116,-6316.251690544274,0.05
117,-6448.821237512157,0.05
118,-6838.954882749987,0.05
119,-6482.9320254824615,0.05
120,-6427.359520280092,0.05
121,-6581.58515538313,0.05
122,-6643.455281574473,0.05
123,-6706.265025531917,0.05
124,-6499.801045495473,0.05
125,-6567.45084033515,0.13
126,-8181.462165231412,0.05
127,-6553.686186650314,0.05
128,-6490.50202598494,0.05
129,-6433.861376455229,0.05
130,-6444.378133855281,0.05
131,-6606.792415065559,0.05
132,-6535.909795629576,0.05
133,-6478.643746756809,0.13
134,-7934.997257250392,0.05
135,-6536.1874560102815,0.05
136,-6498.776073758581,0.05
137,-6540.031922539829,0.05
138,-6440.974390485583,0.05
139,-6685.683991576846,0.05
140,-6785.286981123759,0.05
141,-6473.955733247589,0.13
142,-7909.17719742747,0.05
143,-6723.716249878032,0.05
144,-6435.607421867932,0.05
145,-6304.677300646114,0.05
146,-6653.501920493537,0.05
147,-6611.7558524556425,0.05
148,-6415.641099512008,0.05
149,-6474.057692097836,0.13
150,-8085.278380557152,0.05
151,-6583.428262089118,0.05
152,-6464.833166234378,0.05
153,-6607.507115450551,0.05
154,-6579.513043721076,0.05
155,-6597.403136406025,0.05
156,-6604.475572423219,0.05
157,-6528.3583876521025,0.13
158,-8071.858742747894,0.05
159,-6466.027737605665,0.05
160,-6579.754368659223,0.05
161,-6627.226371907689,0.05
162,-6577.996873074192,0.05
163,-6522.216279060859,0.05
164,-6580.0057602105635,0.05
165,-6289.840214068369,0.13
166,-7966.786913080831,0.05
167,-6469.405042657513,0.05
168,-6606.951782908721,0.05
169,-6706.128891847755,0.05
170,-6618.540525419619,0.05
171,-6534.30138361982,0.05
172,-6302.863630965758,0.05
173,-6561.815793662085,0.13
174,-8057.646738575747,0.05
175,-6478.753295866594,0.05
176,-6577.489136680298,0.05
177,-6539.709765300059,0.05
178,-6721.418798695628,0.05
179,-6571.369851621486,0.05
180,-6467.826759028475,0.05
181,-6815.119321400126,0.13
182,-8019.191303592856,0.05
183,-6610.015535771251,0.05
184,-6640.910554308903,0.05
185,-6520.679323514586,0.05
186,-6661.4710819485435,0.05
187,-6648.877699723693,0.05
188,-6513.389440238138,0.05
189,-6504.682746259041,0.13
190,-8199.490158408764,0.05
191,-6304.067023094936,0.05
192,-6534.108520405227,0.05
193,-6466.86921604491,0.05
194,-6441.435306297611,0.05
195,-6612.918685924801,0.05
196,-6533.682089683165,0.05
197,-6628.106780781909,0.13
198,-8047.199679351812,0.05
199,-6614.275833212893,0.05
200,-6529.786192412546,0.05
201,-6346.619266710556,0.05
202,-6356.271548521393,0.05
203,-6495.153020297419,0.05
204,-6368.6944842653365,0.05
205,-6601.121815585181,0.05
206,-6537.730317863553,0.05
207,-6553.784664713311,0.05
208,-6593.047521631435,0.05
209,-6692.338907944559,0.05
210,-6636.389241192051,0.05
211,-6827.011294447869,0.05
212,-6511.595387315578,0.13
213,-8147.020104335975,0.05
214,-6767.785403077305,0.05
215,-6663.170472704362,0.05
216,-6715.076276048023,0.05
217,-6617.114992690106,0.05
218,-6409.762340080813,0.05
219,-6540.298779621443,0.05
220,-6584.581307315451,0.13
221,-8093.622399134716,0.05
222,-6669.304851300626,0.05
223,-6661.5908989288555,0.05
224,-6450.7018618983775,0.05
225,-6681.295097794588,0.05
226,-6611.944868823115,0.05
227,-6429.99568317319,0.05
228,-6665.764298576847,0.13
229,-8080.73978090773,0.05
230,-6356.80623420533,0.05
231,-6503.355740036718,0.05
232,-6577.327284386436,0.05
233,-6740.462912225548,0.05
234,-6751.7003839404915,0.05
235,-6690.209363653246,0.05
236,-6466.80906531591,0.13
237,-7926.632062805576,0.05
238,-6656.460632096171,0.05
239,-6768.312497345399,0.05
240,-6786.767280193988,0.05
241,-6511.665266445394,0.05
242,-6720.874755347593,0.05
243,-6557.9607419935855,0.05
244,-6339.755989550705,0.13
245,-8087.878915467952,0.05
246,-6452.564391238941,0.05
247,-6528.865208250269,0.05
248,-6506.777748357121,0.05
249,-6546.423537088271,0.05
250,-6479.840401601918,0.05
251,-6419.987413586437,0.05
252,-6543.310895027273,0.13
253,-8030.382130551235,0.05
254,-6458.503271657401,0.05
255,-6605.906349740094,0.05
256,-6396.3529352001815,0.05
257,-6710.877308272126,0.05
258,-6668.93741844858,0.05
259,-6486.979361441838,0.05
260,-6549.23994823766,0.13
261,-7968.618552230386,0.05
262,-6458.583628409666,0.05
263,-6387.650069696769,0.05
264,-6672.175748372181,0.05
265,-6514.761031135828,0.05
266,-6595.92436630315,0.05
267,-6590.682816841289,0.05
268,-6377.093750008807,0.13
269,-8219.28849236222,0.05
270,-6401.267248091979,0.05
271,-6509.5694868556875,0.05
272,-6593.478180616496,0.05
273,-6735.67304594983,0.05
274,-6483.527220298737,0.05
275,-6580.000442291055,0.05
276,-6797.82551679231,0.13
277,-8084.676719976508,0.05
278,-6485.4005307280395,0.05
279,-6332.24291335152,0.05
280,-6892.9514324963575,0.05
281,-6714.453514951996,0.05
282,-6545.7074290364335,0.05
